Category: All categories

Day,colors: (Worldwide)
2017-11-14,86
2017-11-15,91
2017-11-16,88
2017-11-17,87
2017-11-18,85
2017-11-19,86
2017-11-20,80
2017-11-21,80
2017-11-22,85
2017-11-23,71
2017-11-24,80
2017-11-25,86
2017-11-26,90
2017-11-27,83
2017-11-28,84
2017-11-29,83
2017-11-30,84
2017-12-01,85
2017-12-02,84
2017-12-03,82
2017-12-04,80
2017-12-05,83
2017-12-06,81
2017-12-07,82
2017-12-08,83
2017-12-09,82
2017-12-10,81
2017-12-11,79
2017-12-12,83
2017-12-13,80
2017-12-14,81
2017-12-15,76
2017-12-16,79
2017-12-17,83
2017-12-18,81
2017-12-19,82
2017-12-20,80
2017-12-21,79
2017-12-22,74
2017-12-23,77
2017-12-24,74
2017-12-25,71
2017-12-26,76
2017-12-27,78
2017-12-28,81
2017-12-29,84
2017-12-30,89
2017-12-31,84
2018-01-01,70
2018-01-02,75
2018-01-03,81
2018-01-04,76
2018-01-05,78
2018-01-06,86
2018-01-07,86
2018-01-08,76
2018-01-09,81
2018-01-10,77
2018-01-11,82
2018-01-12,83
2018-01-13,85
2018-01-14,96
2018-01-15,79
2018-01-16,74
2018-01-17,79
2018-01-18,80
2018-01-19,81
2018-01-20,84
2018-01-21,86
2018-01-22,79
2018-01-23,82
2018-01-24,82
2018-01-25,83
2018-01-26,80
2018-01-27,85
2018-01-28,86
2018-01-29,81
2018-01-30,83
2018-01-31,84
2018-02-01,82
2018-02-02,85
2018-02-03,87
2018-02-04,100
2018-02-05,81
2018-02-06,86
2018-02-07,84
2018-02-08,88
2018-02-09,82
2018-02-10,81
2018-02-11,84
2018-02-12,82
2018-02-13,87
2018-02-14,81
2018-02-15,79
2018-02-16,80
2018-02-17,81
2018-02-18,83
2018-02-19,81
2018-02-20,84
2018-02-21,87
2018-02-22,87
2018-02-23,89
2018-02-24,84
2018-02-25,83
2018-02-26,85
2018-02-27,86
2018-02-28,82
2018-03-01,89
2018-03-02,86
2018-03-03,88
2018-03-04,84
2018-03-05,84
2018-03-06,87
2018-03-07,89
2018-03-08,85
2018-03-09,83
2018-03-10,87
2018-03-11,88
2018-03-12,83
2018-03-13,85
2018-03-14,86
2018-03-15,86
2018-03-16,87
2018-03-17,87
2018-03-18,87
2018-03-19,86
2018-03-20,84
2018-03-21,86
2018-03-22,87
2018-03-23,85
2018-03-24,95
2018-03-25,89
2018-03-26,83
2018-03-27,85
2018-03-28,87
2018-03-29,88
2018-03-30,90
2018-03-31,94
2018-04-01,87
2018-04-02,84
2018-04-03,84
2018-04-04,88
2018-04-05,86
2018-04-06,87
2018-04-07,89
2018-04-08,87
2018-04-09,86
2018-04-10,86
2018-04-11,87
2018-04-12,91
2018-04-13,90
2018-04-14,91
2018-04-15,92
2018-04-16,87
2018-04-17,90
2018-04-18,87
2018-04-19,88
2018-04-20,89
2018-04-21,89
2018-04-22,87
2018-04-23,86
2018-04-24,85
2018-04-25,89
2018-04-26,83
2018-04-27,84
2018-04-28,86
2018-04-29,84
2018-04-30,85
2018-05-01,88
2018-05-02,90
2018-05-03,88
2018-05-04,92
2018-05-05,86
2018-05-06,86
2018-05-07,82
2018-05-08,85
2018-05-09,87
2018-05-10,87
2018-05-11,89
2018-05-12,83
2018-05-13,78
2018-05-14,79
2018-05-15,82
2018-05-16,84
2018-05-17,85
2018-05-18,87
2018-05-19,86
2018-05-20,88
2018-05-21,85
2018-05-22,87
2018-05-23,84
2018-05-24,83
2018-05-25,86
2018-05-26,82
2018-05-27,80
2018-05-28,81
2018-05-29,82
2018-05-30,83
2018-05-31,87
2018-06-01,86
2018-06-02,90
2018-06-03,89
2018-06-04,85
2018-06-05,86
2018-06-06,84
2018-06-07,81
2018-06-08,85
2018-06-09,92
2018-06-10,88
2018-06-11,83
2018-06-12,87
2018-06-13,84
2018-06-14,85
