date,tag,trend_score
2017-11-14,5-minute,36
2017-11-15,5-minute,39
2017-11-16,5-minute,0
2017-11-17,5-minute,45
2017-11-18,5-minute,42
2017-11-19,5-minute,43
2017-11-20,5-minute,0
2017-11-21,5-minute,39
2017-11-22,5-minute,0
2017-11-23,5-minute,41
2017-11-24,5-minute,60
2017-11-25,5-minute,56
2017-11-26,5-minute,62
2017-11-27,5-minute,0
2017-11-28,5-minute,44
2017-11-29,5-minute,59
2017-11-30,5-minute,60
2017-12-01,5-minute,42
2017-12-02,5-minute,0
2017-12-03,5-minute,50
2017-12-04,5-minute,60
2017-12-05,5-minute,36
2017-12-06,5-minute,0
2017-12-07,5-minute,43
2017-12-08,5-minute,38
2017-12-09,5-minute,88
2017-12-10,5-minute,51
2017-12-11,5-minute,50
2017-12-12,5-minute,47
2017-12-13,5-minute,68
2017-12-14,5-minute,60
2017-12-15,5-minute,41
2017-12-16,5-minute,44
2017-12-17,5-minute,58
2017-12-18,5-minute,57
2017-12-19,5-minute,42
2017-12-20,5-minute,0
2017-12-21,5-minute,55
2017-12-22,5-minute,74
2017-12-23,5-minute,52
2017-12-24,5-minute,82
2017-12-25,5-minute,62
2017-12-26,5-minute,59
2017-12-27,5-minute,0
2017-12-28,5-minute,61
2017-12-29,5-minute,59
2017-12-30,5-minute,0
2017-12-31,5-minute,66
2018-01-01,5-minute,41
2018-01-02,5-minute,46
2018-01-03,5-minute,48
2018-01-04,5-minute,76
2018-01-05,5-minute,43
2018-01-06,5-minute,52
2018-01-07,5-minute,43
2018-01-08,5-minute,54
2018-01-09,5-minute,34
2018-01-10,5-minute,44
2018-01-11,5-minute,0
2018-01-12,5-minute,63
2018-01-13,5-minute,63
2018-01-14,5-minute,92
2018-01-15,5-minute,0
2018-01-16,5-minute,0
2018-01-17,5-minute,56
2018-01-18,5-minute,56
2018-01-19,5-minute,0
2018-01-20,5-minute,40
2018-01-21,5-minute,67
2018-01-22,5-minute,57
2018-01-23,5-minute,0
2018-01-24,5-minute,39
2018-01-25,5-minute,47
2018-01-26,5-minute,60
2018-01-27,5-minute,45
2018-01-28,5-minute,0
2018-01-29,5-minute,41
2018-01-30,5-minute,43
2018-01-31,5-minute,0
2018-02-01,5-minute,66
2018-02-02,5-minute,40
2018-02-03,5-minute,52
2018-02-04,5-minute,49
2018-02-05,5-minute,44
2018-02-06,5-minute,41
2018-02-07,5-minute,62
2018-02-08,5-minute,49
2018-02-09,5-minute,38
2018-02-10,5-minute,93
2018-02-11,5-minute,96
2018-02-12,5-minute,33
2018-02-13,5-minute,42
2018-02-14,5-minute,42
2018-02-15,5-minute,42
2018-02-16,5-minute,39
2018-02-17,5-minute,75
2018-02-18,5-minute,74
2018-02-19,5-minute,56
