Category: All categories

Day,crafts: (Worldwide)
2017-11-14,95
2017-11-15,97
2017-11-16,89
2017-11-17,83
2017-11-18,94
2017-11-19,99
2017-11-20,96
2017-11-21,88
2017-11-22,78
2017-11-23,69
2017-11-24,74
2017-11-25,87
2017-11-26,89
2017-11-27,82
2017-11-28,94
2017-11-29,92
2017-11-30,88
2017-12-01,87
2017-12-02,92
2017-12-03,96
2017-12-04,94
2017-12-05,100
2017-12-06,97
2017-12-07,88
2017-12-08,86
2017-12-09,87
2017-12-10,91
2017-12-11,83
2017-12-12,95
2017-12-13,90
2017-12-14,82
2017-12-15,84
2017-12-16,90
2017-12-17,86
2017-12-18,82
2017-12-19,82
2017-12-20,85
2017-12-21,76
2017-12-22,75
2017-12-23,75
2017-12-24,63
2017-12-25,46
2017-12-26,55
2017-12-27,64
2017-12-28,61
2017-12-29,63
2017-12-30,60
2017-12-31,57
2018-01-01,57
2018-01-02,63
2018-01-03,64
2018-01-04,63
2018-01-05,60
2018-01-06,65
2018-01-07,64
2018-01-08,64
2018-01-09,65
2018-01-10,63
2018-01-11,63
2018-01-12,68
2018-01-13,64
2018-01-14,67
2018-01-15,64
2018-01-16,61
2018-01-17,65
2018-01-18,62
2018-01-19,70
2018-01-20,65
2018-01-21,65
2018-01-22,62
2018-01-23,64
2018-01-24,71
2018-01-25,63
2018-01-26,64
2018-01-27,65
2018-01-28,78
2018-01-29,71
2018-01-30,71
2018-01-31,63
2018-02-01,67
2018-02-02,66
2018-02-03,71
2018-02-04,74
2018-02-05,71
2018-02-06,75
2018-02-07,72
2018-02-08,74
2018-02-09,77
2018-02-10,74
2018-02-11,76
2018-02-12,80
2018-02-13,79
2018-02-14,70
2018-02-15,61
2018-02-16,65
2018-02-17,64
2018-02-18,64
2018-02-19,64
2018-02-20,63
2018-02-21,61
2018-02-22,69
2018-02-23,61
2018-02-24,67
2018-02-25,67
2018-02-26,66
2018-02-27,67
2018-02-28,63
2018-03-01,68
2018-03-02,66
2018-03-03,65
2018-03-04,75
2018-03-05,67
2018-03-06,69
2018-03-07,69
2018-03-08,65
2018-03-09,66
2018-03-10,70
2018-03-11,69
2018-03-12,68
2018-03-13,68
2018-03-14,71
2018-03-15,68
2018-03-16,74
2018-03-17,74
2018-03-18,68
2018-03-19,72
2018-03-20,69
2018-03-21,69
2018-03-22,68
2018-03-23,71
2018-03-24,74
2018-03-25,79
2018-03-26,68
2018-03-27,72
2018-03-28,73
2018-03-29,70
2018-03-30,69
2018-03-31,68
2018-04-01,63
2018-04-02,64
2018-04-03,59
2018-04-04,63
2018-04-05,64
2018-04-06,66
2018-04-07,67
2018-04-08,66
2018-04-09,60
2018-04-10,61
2018-04-11,63
2018-04-12,61
2018-04-13,65
2018-04-14,63
2018-04-15,71
2018-04-16,65
2018-04-17,65
2018-04-18,70
2018-04-19,65
2018-04-20,66
2018-04-21,63
2018-04-22,69
2018-04-23,62
2018-04-24,61
2018-04-25,63
2018-04-26,63
2018-04-27,63
2018-04-28,67
2018-04-29,65
2018-04-30,70
2018-05-01,82
2018-05-02,69
2018-05-03,70
2018-05-04,66
2018-05-05,65
2018-05-06,70
2018-05-07,73
2018-05-08,72
2018-05-09,76
2018-05-10,74
2018-05-11,74
2018-05-12,79
2018-05-13,68
2018-05-14,61
2018-05-15,58
2018-05-16,63
2018-05-17,58
2018-05-18,58
2018-05-19,58
2018-05-20,60
2018-05-21,60
2018-05-22,60
2018-05-23,60
2018-05-24,58
2018-05-25,58
2018-05-26,56
2018-05-27,63
2018-05-28,55
2018-05-29,60
2018-05-30,63
2018-05-31,63
2018-06-01,59
2018-06-02,67
2018-06-03,67
2018-06-04,65
2018-06-05,66
2018-06-06,65
2018-06-07,65
2018-06-08,58
2018-06-09,61
2018-06-10,67
2018-06-11,71
2018-06-12,71
2018-06-13,73
2018-06-14,65
