Category: All categories

Day,dave: (Worldwide)
2017-11-14,43
2017-11-15,43
2017-11-16,41
2017-11-17,42
2017-11-18,49
2017-11-19,44
2017-11-20,40
2017-11-21,39
2017-11-22,39
2017-11-23,35
2017-11-24,40
2017-11-25,48
2017-11-26,44
2017-11-27,39
2017-11-28,39
2017-11-29,43
2017-11-30,49
2017-12-01,42
2017-12-02,47
2017-12-03,47
2017-12-04,37
2017-12-05,40
2017-12-06,39
2017-12-07,40
2017-12-08,44
2017-12-09,47
2017-12-10,49
2017-12-11,40
2017-12-12,40
2017-12-13,40
2017-12-14,43
2017-12-15,43
2017-12-16,46
2017-12-17,49
2017-12-18,39
2017-12-19,40
2017-12-20,43
2017-12-21,43
2017-12-22,46
2017-12-23,49
2017-12-24,46
2017-12-25,47
2017-12-26,45
2017-12-27,52
2017-12-28,50
2017-12-29,55
2017-12-30,58
2017-12-31,77
2018-01-01,100
2018-01-02,77
2018-01-03,70
2018-01-04,67
2018-01-05,64
2018-01-06,71
2018-01-07,67
2018-01-08,62
2018-01-09,51
2018-01-10,53
2018-01-11,51
2018-01-12,51
2018-01-13,62
2018-01-14,62
2018-01-15,51
2018-01-16,52
2018-01-17,49
2018-01-18,48
2018-01-19,53
2018-01-20,57
2018-01-21,55
2018-01-22,55
2018-01-23,49
2018-01-24,46
2018-01-25,48
2018-01-26,49
2018-01-27,55
2018-01-28,56
2018-01-29,58
2018-01-30,47
2018-01-31,44
2018-02-01,47
2018-02-02,56
2018-02-03,57
2018-02-04,51
2018-02-05,42
2018-02-06,44
2018-02-07,46
2018-02-08,44
2018-02-09,45
2018-02-10,50
2018-02-11,50
2018-02-12,43
2018-02-13,41
2018-02-14,45
2018-02-15,39
2018-02-16,46
2018-02-17,53
2018-02-18,51
2018-02-19,45
2018-02-20,42
2018-02-21,45
2018-02-22,45
2018-02-23,47
2018-02-24,56
2018-02-25,55
2018-02-26,44
2018-02-27,41
2018-02-28,42
2018-03-01,44
2018-03-02,46
2018-03-03,56
2018-03-04,52
2018-03-05,43
2018-03-06,40
2018-03-07,42
2018-03-08,42
2018-03-09,46
2018-03-10,53
2018-03-11,49
2018-03-12,43
2018-03-13,42
2018-03-14,40
2018-03-15,42
2018-03-16,44
2018-03-17,51
2018-03-18,48
2018-03-19,41
2018-03-20,40
2018-03-21,44
2018-03-22,42
2018-03-23,44
2018-03-24,52
2018-03-25,50
2018-03-26,43
2018-03-27,42
2018-03-28,45
2018-03-29,45
2018-03-30,49
2018-03-31,52
2018-04-01,51
2018-04-02,66
2018-04-03,47
2018-04-04,45
2018-04-05,44
2018-04-06,45
2018-04-07,53
2018-04-08,48
2018-04-09,45
2018-04-10,41
2018-04-11,42
2018-04-12,41
2018-04-13,44
2018-04-14,46
2018-04-15,48
2018-04-16,40
2018-04-17,41
2018-04-18,42
2018-04-19,41
2018-04-20,45
2018-04-21,50
2018-04-22,47
2018-04-23,41
2018-04-24,40
2018-04-25,43
2018-04-26,42
2018-04-27,43
2018-04-28,47
2018-04-29,46
2018-04-30,41
2018-05-01,44
2018-05-02,44
2018-05-03,42
2018-05-04,44
2018-05-05,46
2018-05-06,68
2018-05-07,42
2018-05-08,41
2018-05-09,42
2018-05-10,42
2018-05-11,47
2018-05-12,45
2018-05-13,42
2018-05-14,41
2018-05-15,43
2018-05-16,44
2018-05-17,56
2018-05-18,57
2018-05-19,51
2018-05-20,49
2018-05-21,43
2018-05-22,43
2018-05-23,43
2018-05-24,44
2018-05-25,43
2018-05-26,47
2018-05-27,48
2018-05-28,42
2018-05-29,41
2018-05-30,42
2018-05-31,44
2018-06-01,45
2018-06-02,48
2018-06-03,50
2018-06-04,41
2018-06-05,46
2018-06-06,46
2018-06-07,47
2018-06-08,49
2018-06-09,52
2018-06-10,53
2018-06-11,48
2018-06-12,45
2018-06-13,47
2018-06-14,47
