Category: All categories

Day,day: (Worldwide)
2017-11-14,24
2017-11-15,19
2017-11-16,17
2017-11-17,19
2017-11-18,17
2017-11-19,18
2017-11-20,18
2017-11-21,16
2017-11-22,18
2017-11-23,23
2017-11-24,17
2017-11-25,15
2017-11-26,17
2017-11-27,19
2017-11-28,18
2017-11-29,17
2017-11-30,19
2017-12-01,17
2017-12-02,16
2017-12-03,16
2017-12-04,16
2017-12-05,18
2017-12-06,18
2017-12-07,19
2017-12-08,17
2017-12-09,15
2017-12-10,17
2017-12-11,17
2017-12-12,18
2017-12-13,19
2017-12-14,17
2017-12-15,17
2017-12-16,17
2017-12-17,17
2017-12-18,17
2017-12-19,17
2017-12-20,18
2017-12-21,20
2017-12-22,21
2017-12-23,20
2017-12-24,25
2017-12-25,51
2017-12-26,41
2017-12-27,20
2017-12-28,18
2017-12-29,17
2017-12-30,19
2017-12-31,25
2018-01-01,39
2018-01-02,21
2018-01-03,20
2018-01-04,19
2018-01-05,19
2018-01-06,18
2018-01-07,19
2018-01-08,21
2018-01-09,20
2018-01-10,19
2018-01-11,19
2018-01-12,21
2018-01-13,19
2018-01-14,20
2018-01-15,27
2018-01-16,22
2018-01-17,21
2018-01-18,20
2018-01-19,20
2018-01-20,19
2018-01-21,20
2018-01-22,22
2018-01-23,22
2018-01-24,23
2018-01-25,36
2018-01-26,38
2018-01-27,20
2018-01-28,21
2018-01-29,23
2018-01-30,22
2018-01-31,23
2018-02-01,25
2018-02-02,32
2018-02-03,23
2018-02-04,25
2018-02-05,25
2018-02-06,30
2018-02-07,43
2018-02-08,41
2018-02-09,40
2018-02-10,36
2018-02-11,40
2018-02-12,42
2018-02-13,59
2018-02-14,95
2018-02-15,30
2018-02-16,23
2018-02-17,21
2018-02-18,23
2018-02-19,31
2018-02-20,22
2018-02-21,23
2018-02-22,23
2018-02-23,21
2018-02-24,21
2018-02-25,21
2018-02-26,22
2018-02-27,24
2018-02-28,23
2018-03-01,24
2018-03-02,23
2018-03-03,21
2018-03-04,22
2018-03-05,24
2018-03-06,27
2018-03-07,32
2018-03-08,58
2018-03-09,27
2018-03-10,27
2018-03-11,31
2018-03-12,26
2018-03-13,24
2018-03-14,34
2018-03-15,27
2018-03-16,33
2018-03-17,45
2018-03-18,25
2018-03-19,24
2018-03-20,27
2018-03-21,25
2018-03-22,21
2018-03-23,21
2018-03-24,20
2018-03-25,21
2018-03-26,20
2018-03-27,21
2018-03-28,21
2018-03-29,24
2018-03-30,21
2018-03-31,20
2018-04-01,24
2018-04-02,23
2018-04-03,22
2018-04-04,21
2018-04-05,21
2018-04-06,20
2018-04-07,20
2018-04-08,20
2018-04-09,22
2018-04-10,24
2018-04-11,24
2018-04-12,22
2018-04-13,22
2018-04-14,20
2018-04-15,22
2018-04-16,23
2018-04-17,23
2018-04-18,22
2018-04-19,23
2018-04-20,24
2018-04-21,24
2018-04-22,26
2018-04-23,27
2018-04-24,26
2018-04-25,28
2018-04-26,22
2018-04-27,25
2018-04-28,23
2018-04-29,23
2018-04-30,27
2018-05-01,34
2018-05-02,26
2018-05-03,27
2018-05-04,27
2018-05-05,27
2018-05-06,31
2018-05-07,31
2018-05-08,33
2018-05-09,31
2018-05-10,35
2018-05-11,36
2018-05-12,52
2018-05-13,100
2018-05-14,27
2018-05-15,22
2018-05-16,21
2018-05-17,21
2018-05-18,20
2018-05-19,20
2018-05-20,21
2018-05-21,25
2018-05-22,22
2018-05-23,22
2018-05-24,25
2018-05-25,26
2018-05-26,25
2018-05-27,30
2018-05-28,44
2018-05-29,25
2018-05-30,22
2018-05-31,22
2018-06-01,26
2018-06-02,21
2018-06-03,22
2018-06-04,22
2018-06-05,25
2018-06-06,24
2018-06-07,22
2018-06-08,26
2018-06-09,23
2018-06-10,27
2018-06-11,24
2018-06-12,24
2018-06-13,24
2018-06-14,25
