Category: All categories

Day,dude: (Worldwide)
2017-11-14,46
2017-11-15,47
2017-11-16,49
2017-11-17,46
2017-11-18,58
2017-11-19,54
2017-11-20,48
2017-11-21,55
2017-11-22,48
2017-11-23,46
2017-11-24,55
2017-11-25,53
2017-11-26,54
2017-11-27,46
2017-11-28,50
2017-11-29,46
2017-11-30,48
2017-12-01,53
2017-12-02,55
2017-12-03,56
2017-12-04,48
2017-12-05,51
2017-12-06,53
2017-12-07,50
2017-12-08,68
2017-12-09,55
2017-12-10,52
2017-12-11,46
2017-12-12,57
2017-12-13,49
2017-12-14,53
2017-12-15,53
2017-12-16,61
2017-12-17,57
2017-12-18,48
2017-12-19,47
2017-12-20,51
2017-12-21,52
2017-12-22,52
2017-12-23,56
2017-12-24,66
2017-12-25,61
2017-12-26,50
2017-12-27,55
2017-12-28,57
2017-12-29,58
2017-12-30,59
2017-12-31,55
2018-01-01,57
2018-01-02,47
2018-01-03,47
2018-01-04,52
2018-01-05,47
2018-01-06,50
2018-01-07,51
2018-01-08,49
2018-01-09,50
2018-01-10,47
2018-01-11,49
2018-01-12,52
2018-01-13,52
2018-01-14,50
2018-01-15,53
2018-01-16,53
2018-01-17,46
2018-01-18,48
2018-01-19,47
2018-01-20,51
2018-01-21,51
2018-01-22,48
2018-01-23,50
2018-01-24,51
2018-01-25,50
2018-01-26,51
2018-01-27,55
2018-01-28,54
2018-01-29,46
2018-01-30,57
2018-01-31,49
2018-02-01,47
2018-02-02,49
2018-02-03,53
2018-02-04,53
2018-02-05,51
2018-02-06,52
2018-02-07,52
2018-02-08,53
2018-02-09,56
2018-02-10,55
2018-02-11,54
2018-02-12,48
2018-02-13,49
2018-02-14,46
2018-02-15,46
2018-02-16,48
2018-02-17,52
2018-02-18,48
2018-02-19,48
2018-02-20,48
2018-02-21,52
2018-02-22,48
2018-02-23,51
2018-02-24,58
2018-02-25,54
2018-02-26,48
2018-02-27,44
2018-02-28,47
2018-03-01,47
2018-03-02,46
2018-03-03,48
2018-03-04,48
2018-03-05,47
2018-03-06,53
2018-03-07,50
2018-03-08,51
2018-03-09,54
2018-03-10,54
2018-03-11,53
2018-03-12,48
2018-03-13,50
2018-03-14,51
2018-03-15,49
2018-03-16,50
2018-03-17,54
2018-03-18,50
2018-03-19,49
2018-03-20,46
2018-03-21,46
2018-03-22,45
2018-03-23,46
2018-03-24,54
2018-03-25,50
2018-03-26,48
2018-03-27,52
2018-03-28,54
2018-03-29,52
2018-03-30,55
2018-03-31,54
2018-04-01,55
2018-04-02,54
2018-04-03,50
2018-04-04,47
2018-04-05,51
2018-04-06,49
2018-04-07,51
2018-04-08,50
2018-04-09,47
2018-04-10,49
2018-04-11,47
2018-04-12,46
2018-04-13,49
2018-04-14,51
2018-04-15,53
2018-04-16,44
2018-04-17,47
2018-04-18,47
2018-04-19,47
2018-04-20,70
2018-04-21,95
2018-04-22,100
2018-04-23,82
2018-04-24,72
2018-04-25,63
2018-04-26,62
2018-04-27,65
2018-04-28,72
2018-04-29,64
2018-04-30,58
2018-05-01,59
2018-05-02,54
2018-05-03,52
2018-05-04,54
2018-05-05,58
2018-05-06,62
2018-05-07,55
2018-05-08,55
2018-05-09,52
2018-05-10,53
2018-05-11,55
2018-05-12,56
2018-05-13,55
2018-05-14,51
2018-05-15,48
2018-05-16,52
2018-05-17,51
2018-05-18,53
2018-05-19,58
2018-05-20,56
2018-05-21,51
2018-05-22,50
2018-05-23,52
2018-05-24,48
2018-05-25,51
2018-05-26,57
2018-05-27,54
2018-05-28,50
2018-05-29,53
2018-05-30,49
2018-05-31,52
2018-06-01,53
2018-06-02,65
2018-06-03,56
2018-06-04,50
2018-06-05,53
2018-06-06,49
2018-06-07,47
2018-06-08,52
2018-06-09,57
2018-06-10,55
2018-06-11,51
2018-06-12,46
2018-06-13,47
2018-06-14,46
