Category: All categories

Day,fever: (United States)
2017-11-14,59
2017-11-15,57
2017-11-16,58
2017-11-17,52
2017-11-18,59
2017-11-19,53
2017-11-20,57
2017-11-21,52
2017-11-22,54
2017-11-23,52
2017-11-24,52
2017-11-25,50
2017-11-26,57
2017-11-27,54
2017-11-28,65
2017-11-29,61
2017-11-30,59
2017-12-01,54
2017-12-02,55
2017-12-03,56
2017-12-04,57
2017-12-05,57
2017-12-06,52
2017-12-07,53
2017-12-08,54
2017-12-09,55
2017-12-10,60
2017-12-11,64
2017-12-12,63
2017-12-13,64
2017-12-14,63
2017-12-15,61
2017-12-16,61
2017-12-17,70
2017-12-18,73
2017-12-19,82
2017-12-20,78
2017-12-21,76
2017-12-22,72
2017-12-23,74
2017-12-24,75
2017-12-25,70
2017-12-26,79
2017-12-27,82
2017-12-28,89
2017-12-29,87
2017-12-30,85
2017-12-31,76
2018-01-01,71
2018-01-02,77
2018-01-03,82
2018-01-04,80
2018-01-05,74
2018-01-06,81
2018-01-07,81
2018-01-08,77
2018-01-09,80
2018-01-10,82
2018-01-11,85
2018-01-12,79
2018-01-13,83
2018-01-14,82
2018-01-15,78
2018-01-16,82
2018-01-17,80
2018-01-18,82
2018-01-19,81
2018-01-20,82
2018-01-21,91
2018-01-22,86
2018-01-23,93
2018-01-24,87
2018-01-25,86
2018-01-26,85
2018-01-27,91
2018-01-28,96
2018-01-29,92
2018-01-30,92
2018-01-31,89
2018-02-01,91
2018-02-02,89
2018-02-03,95
2018-02-04,100
2018-02-05,91
2018-02-06,100
2018-02-07,95
2018-02-08,92
2018-02-09,87
2018-02-10,91
2018-02-11,97
2018-02-12,92
2018-02-13,88
2018-02-14,85
2018-02-15,83
2018-02-16,81
2018-02-17,76
2018-02-18,83
2018-02-19,77
2018-02-20,80
2018-02-21,78
2018-02-22,75
2018-02-23,68
2018-02-24,65
2018-02-25,64
2018-02-26,67
2018-02-27,69
2018-02-28,64
2018-03-01,63
2018-03-02,54
2018-03-03,58
2018-03-04,60
2018-03-05,65
2018-03-06,64
2018-03-07,60
2018-03-08,61
2018-03-09,61
2018-03-10,57
2018-03-11,59
2018-03-12,61
2018-03-13,60
2018-03-14,56
2018-03-15,59
2018-03-16,53
2018-03-17,56
2018-03-18,59
2018-03-19,66
2018-03-20,60
2018-03-21,60
2018-03-22,62
2018-03-23,60
2018-03-24,59
2018-03-25,59
2018-03-26,65
2018-03-27,64
2018-03-28,56
2018-03-29,59
2018-03-30,52
2018-03-31,55
2018-04-01,58
2018-04-02,52
2018-04-03,57
2018-04-04,57
2018-04-05,55
2018-04-06,54
2018-04-07,54
2018-04-08,54
2018-04-09,52
2018-04-10,56
2018-04-11,53
2018-04-12,55
2018-04-13,55
2018-04-14,55
2018-04-15,55
2018-04-16,54
2018-04-17,51
2018-04-18,53
2018-04-19,50
2018-04-20,50
2018-04-21,55
2018-04-22,51
2018-04-23,62
2018-04-24,58
2018-04-25,57
2018-04-26,53
2018-04-27,53
2018-04-28,54
2018-04-29,59
2018-04-30,59
2018-05-01,52
2018-05-02,58
2018-05-03,55
2018-05-04,52
2018-05-05,52
2018-05-06,61
2018-05-07,55
2018-05-08,58
2018-05-09,52
2018-05-10,58
2018-05-11,58
2018-05-12,51
2018-05-13,56
2018-05-14,55
2018-05-15,64
2018-05-16,63
2018-05-17,53
2018-05-18,49
2018-05-19,53
2018-05-20,57
2018-05-21,57
2018-05-22,53
2018-05-23,51
2018-05-24,57
2018-05-25,49
2018-05-26,56
2018-05-27,56
2018-05-28,60
2018-05-29,54
2018-05-30,49
2018-05-31,50
2018-06-01,50
2018-06-02,53
2018-06-03,55
2018-06-04,49
2018-06-05,53
2018-06-06,50
2018-06-07,51
2018-06-08,49
2018-06-09,50
2018-06-10,56
2018-06-11,51
2018-06-12,53
2018-06-13,53
2018-06-14,50
