Category: All categories

Day,full: (Worldwide)
2017-11-14,69
2017-11-15,67
2017-11-16,69
2017-11-17,75
2017-11-18,85
2017-11-19,84
2017-11-20,69
2017-11-21,68
2017-11-22,73
2017-11-23,70
2017-11-24,79
2017-11-25,85
2017-11-26,84
2017-11-27,70
2017-11-28,70
2017-11-29,68
2017-11-30,71
2017-12-01,76
2017-12-02,88
2017-12-03,87
2017-12-04,70
2017-12-05,67
2017-12-06,71
2017-12-07,73
2017-12-08,77
2017-12-09,84
2017-12-10,80
2017-12-11,70
2017-12-12,68
2017-12-13,72
2017-12-14,72
2017-12-15,76
2017-12-16,84
2017-12-17,81
2017-12-18,72
2017-12-19,70
2017-12-20,71
2017-12-21,74
2017-12-22,84
2017-12-23,97
2017-12-24,96
2017-12-25,100
2017-12-26,91
2017-12-27,86
2017-12-28,84
2017-12-29,88
2017-12-30,94
2017-12-31,93
2018-01-01,91
2018-01-02,81
2018-01-03,77
2018-01-04,76
2018-01-05,78
2018-01-06,89
2018-01-07,88
2018-01-08,75
2018-01-09,72
2018-01-10,72
2018-01-11,74
2018-01-12,81
2018-01-13,84
2018-01-14,85
2018-01-15,75
2018-01-16,70
2018-01-17,70
2018-01-18,72
2018-01-19,74
2018-01-20,88
2018-01-21,86
2018-01-22,72
2018-01-23,73
2018-01-24,72
2018-01-25,75
2018-01-26,79
2018-01-27,90
2018-01-28,90
2018-01-29,76
2018-01-30,78
2018-01-31,80
2018-02-01,74
2018-02-02,76
2018-02-03,85
2018-02-04,84
2018-02-05,73
2018-02-06,73
2018-02-07,71
2018-02-08,75
2018-02-09,75
2018-02-10,86
2018-02-11,88
2018-02-12,76
2018-02-13,69
2018-02-14,69
2018-02-15,71
2018-02-16,78
2018-02-17,91
2018-02-18,85
2018-02-19,75
2018-02-20,73
2018-02-21,71
2018-02-22,73
2018-02-23,78
2018-02-24,87
2018-02-25,83
2018-02-26,71
2018-02-27,75
2018-02-28,71
2018-03-01,77
2018-03-02,80
2018-03-03,89
2018-03-04,86
2018-03-05,72
2018-03-06,73
2018-03-07,72
2018-03-08,73
2018-03-09,75
2018-03-10,89
2018-03-11,84
2018-03-12,73
2018-03-13,72
2018-03-14,72
2018-03-15,75
2018-03-16,76
2018-03-17,89
2018-03-18,81
2018-03-19,71
2018-03-20,73
2018-03-21,74
2018-03-22,75
2018-03-23,78
2018-03-24,93
2018-03-25,89
2018-03-26,75
2018-03-27,76
2018-03-28,81
2018-03-29,86
2018-03-30,93
2018-03-31,98
2018-04-01,95
2018-04-02,82
2018-04-03,77
2018-04-04,77
2018-04-05,79
2018-04-06,79
2018-04-07,88
2018-04-08,84
2018-04-09,75
2018-04-10,71
2018-04-11,72
2018-04-12,71
2018-04-13,76
2018-04-14,85
2018-04-15,89
2018-04-16,76
2018-04-17,75
2018-04-18,71
2018-04-19,76
2018-04-20,74
2018-04-21,87
2018-04-22,90
2018-04-23,73
2018-04-24,73
2018-04-25,71
2018-04-26,72
2018-04-27,82
2018-04-28,92
2018-04-29,95
2018-04-30,88
2018-05-01,81
2018-05-02,73
2018-05-03,76
2018-05-04,79
2018-05-05,87
2018-05-06,89
2018-05-07,73
2018-05-08,75
2018-05-09,74
2018-05-10,74
2018-05-11,77
2018-05-12,86
2018-05-13,81
2018-05-14,74
2018-05-15,75
2018-05-16,70
2018-05-17,73
2018-05-18,75
2018-05-19,87
2018-05-20,86
2018-05-21,73
2018-05-22,74
2018-05-23,75
2018-05-24,78
2018-05-25,81
2018-05-26,92
2018-05-27,88
2018-05-28,83
2018-05-29,80
2018-05-30,78
2018-05-31,77
2018-06-01,76
2018-06-02,92
2018-06-03,86
2018-06-04,73
2018-06-05,75
2018-06-06,73
2018-06-07,75
2018-06-08,79
2018-06-09,88
2018-06-10,89
2018-06-11,77
2018-06-12,75
2018-06-13,78
2018-06-14,76
