Category: All categories

Day,comedy: (Worldwide)
2017-11-14,52
2017-11-15,54
2017-11-16,54
2017-11-17,60
2017-11-18,72
2017-11-19,69
2017-11-20,51
2017-11-21,50
2017-11-22,51
2017-11-23,53
2017-11-24,56
2017-11-25,69
2017-11-26,66
2017-11-27,51
2017-11-28,51
2017-11-29,51
2017-11-30,55
2017-12-01,59
2017-12-02,70
2017-12-03,67
2017-12-04,51
2017-12-05,52
2017-12-06,51
2017-12-07,52
2017-12-08,58
2017-12-09,70
2017-12-10,67
2017-12-11,52
2017-12-12,54
2017-12-13,54
2017-12-14,55
2017-12-15,60
2017-12-16,73
2017-12-17,68
2017-12-18,54
2017-12-19,54
2017-12-20,57
2017-12-21,61
2017-12-22,60
2017-12-23,70
2017-12-24,73
2017-12-25,77
2017-12-26,66
2017-12-27,68
2017-12-28,64
2017-12-29,72
2017-12-30,84
2017-12-31,80
2018-01-01,78
2018-01-02,63
2018-01-03,58
2018-01-04,65
2018-01-05,66
2018-01-06,81
2018-01-07,74
2018-01-08,59
2018-01-09,57
2018-01-10,61
2018-01-11,61
2018-01-12,69
2018-01-13,76
2018-01-14,72
2018-01-15,59
2018-01-16,59
2018-01-17,59
2018-01-18,60
2018-01-19,66
2018-01-20,77
2018-01-21,75
2018-01-22,53
2018-01-23,60
2018-01-24,59
2018-01-25,60
2018-01-26,65
2018-01-27,79
2018-01-28,74
2018-01-29,58
2018-01-30,57
2018-01-31,56
2018-02-01,58
2018-02-02,65
2018-02-03,75
2018-02-04,70
2018-02-05,54
2018-02-06,56
2018-02-07,58
2018-02-08,60
2018-02-09,68
2018-02-10,78
2018-02-11,76
2018-02-12,58
2018-02-13,60
2018-02-14,59
2018-02-15,60
2018-02-16,69
2018-02-17,74
2018-02-18,74
2018-02-19,60
2018-02-20,57
2018-02-21,57
2018-02-22,61
2018-02-23,65
2018-02-24,78
2018-02-25,72
2018-02-26,58
2018-02-27,60
2018-02-28,57
2018-03-01,60
2018-03-02,70
2018-03-03,84
2018-03-04,76
2018-03-05,61
2018-03-06,59
2018-03-07,60
2018-03-08,66
2018-03-09,70
2018-03-10,84
2018-03-11,80
2018-03-12,59
2018-03-13,61
2018-03-14,62
2018-03-15,66
2018-03-16,71
2018-03-17,85
2018-03-18,79
2018-03-19,65
2018-03-20,65
2018-03-21,65
2018-03-22,67
2018-03-23,75
2018-03-24,91
2018-03-25,83
2018-03-26,65
2018-03-27,68
2018-03-28,71
2018-03-29,72
2018-03-30,84
2018-03-31,80
2018-04-01,88
2018-04-02,70
2018-04-03,65
2018-04-04,65
2018-04-05,68
2018-04-06,73
2018-04-07,83
2018-04-08,78
2018-04-09,65
2018-04-10,61
2018-04-11,65
2018-04-12,69
2018-04-13,74
2018-04-14,86
2018-04-15,83
2018-04-16,64
2018-04-17,66
2018-04-18,66
2018-04-19,68
2018-04-20,76
2018-04-21,86
2018-04-22,83
2018-04-23,64
2018-04-24,63
2018-04-25,67
2018-04-26,69
2018-04-27,76
2018-04-28,87
2018-04-29,82
2018-04-30,75
2018-05-01,75
2018-05-02,72
2018-05-03,71
2018-05-04,76
2018-05-05,83
2018-05-06,84
2018-05-07,68
2018-05-08,68
2018-05-09,69
2018-05-10,73
2018-05-11,79
2018-05-12,86
2018-05-13,86
2018-05-14,71
2018-05-15,68
2018-05-16,71
2018-05-17,72
2018-05-18,81
2018-05-19,87
2018-05-20,88
2018-05-21,74
2018-05-22,72
2018-05-23,74
2018-05-24,78
2018-05-25,81
2018-05-26,97
2018-05-27,96
2018-05-28,80
2018-05-29,80
2018-05-30,80
2018-05-31,87
2018-06-01,87
2018-06-02,100
2018-06-03,93
2018-06-04,76
2018-06-05,76
2018-06-06,76
2018-06-07,76
2018-06-08,83
2018-06-09,100
2018-06-10,100
2018-06-11,81
2018-06-12,84
2018-06-13,86
2018-06-14,83
