Category: All categories

Day,doctor: (Worldwide)
2017-11-14,82
2017-11-15,75
2017-11-16,75
2017-11-17,69
2017-11-18,67
2017-11-19,66
2017-11-20,72
2017-11-21,76
2017-11-22,71
2017-11-23,64
2017-11-24,62
2017-11-25,65
2017-11-26,62
2017-11-27,73
2017-11-28,79
2017-11-29,74
2017-11-30,74
2017-12-01,71
2017-12-02,63
2017-12-03,65
2017-12-04,75
2017-12-05,80
2017-12-06,75
2017-12-07,72
2017-12-08,68
2017-12-09,63
2017-12-10,63
2017-12-11,72
2017-12-12,70
2017-12-13,71
2017-12-14,69
2017-12-15,70
2017-12-16,63
2017-12-17,62
2017-12-18,68
2017-12-19,70
2017-12-20,69
2017-12-21,66
2017-12-22,65
2017-12-23,64
2017-12-24,64
2017-12-25,87
2017-12-26,100
2017-12-27,87
2017-12-28,81
2017-12-29,77
2017-12-30,67
2017-12-31,62
2018-01-01,66
2018-01-02,86
2018-01-03,80
2018-01-04,76
2018-01-05,73
2018-01-06,74
2018-01-07,72
2018-01-08,83
2018-01-09,88
2018-01-10,82
2018-01-11,81
2018-01-12,79
2018-01-13,73
2018-01-14,70
2018-01-15,78
2018-01-16,85
2018-01-17,82
2018-01-18,80
2018-01-19,79
2018-01-20,75
2018-01-21,70
2018-01-22,79
2018-01-23,87
2018-01-24,88
2018-01-25,83
2018-01-26,74
2018-01-27,70
2018-01-28,67
2018-01-29,77
2018-01-30,84
2018-01-31,75
2018-02-01,74
2018-02-02,74
2018-02-03,69
2018-02-04,67
2018-02-05,78
2018-02-06,85
2018-02-07,78
2018-02-08,77
2018-02-09,70
2018-02-10,65
2018-02-11,67
2018-02-12,76
2018-02-13,78
2018-02-14,70
2018-02-15,70
2018-02-16,72
2018-02-17,70
2018-02-18,63
2018-02-19,75
2018-02-20,74
2018-02-21,77
2018-02-22,70
2018-02-23,70
2018-02-24,62
2018-02-25,62
2018-02-26,75
2018-02-27,79
2018-02-28,70
2018-03-01,68
2018-03-02,71
2018-03-03,65
2018-03-04,62
2018-03-05,75
2018-03-06,76
2018-03-07,73
2018-03-08,70
2018-03-09,67
2018-03-10,63
2018-03-11,61
2018-03-12,76
2018-03-13,79
2018-03-14,76
2018-03-15,71
2018-03-16,67
2018-03-17,66
2018-03-18,60
2018-03-19,76
2018-03-20,76
2018-03-21,71
2018-03-22,69
2018-03-23,66
2018-03-24,64
2018-03-25,64
2018-03-26,71
2018-03-27,81
2018-03-28,74
2018-03-29,73
2018-03-30,68
2018-03-31,63
2018-04-01,64
2018-04-02,76
2018-04-03,77
2018-04-04,76
2018-04-05,71
2018-04-06,68
2018-04-07,64
2018-04-08,63
2018-04-09,74
2018-04-10,74
2018-04-11,73
2018-04-12,70
2018-04-13,67
2018-04-14,64
2018-04-15,65
2018-04-16,76
2018-04-17,73
2018-04-18,71
2018-04-19,69
2018-04-20,67
2018-04-21,62
2018-04-22,61
2018-04-23,73
2018-04-24,72
2018-04-25,74
2018-04-26,73
2018-04-27,74
2018-04-28,69
2018-04-29,68
2018-04-30,82
2018-05-01,81
2018-05-02,76
2018-05-03,76
2018-05-04,74
2018-05-05,68
2018-05-06,71
2018-05-07,79
2018-05-08,75
2018-05-09,74
2018-05-10,74
2018-05-11,70
2018-05-12,66
2018-05-13,62
2018-05-14,74
2018-05-15,75
2018-05-16,71
2018-05-17,70
2018-05-18,72
2018-05-19,59
2018-05-20,61
2018-05-21,75
2018-05-22,70
2018-05-23,70
2018-05-24,69
2018-05-25,67
2018-05-26,60
2018-05-27,61
2018-05-28,62
2018-05-29,73
2018-05-30,79
2018-05-31,70
2018-06-01,66
2018-06-02,63
2018-06-03,61
2018-06-04,72
2018-06-05,71
2018-06-06,71
2018-06-07,66
2018-06-08,70
2018-06-09,62
2018-06-10,65
2018-06-11,74
2018-06-12,70
2018-06-13,70
2018-06-14,68
