Category: All categories

Day,film: (Worldwide)
2017-11-14,56
2017-11-15,60
2017-11-16,58
2017-11-17,63
2017-11-18,78
2017-11-19,82
2017-11-20,56
2017-11-21,49
2017-11-22,57
2017-11-23,56
2017-11-24,60
2017-11-25,79
2017-11-26,78
2017-11-27,58
2017-11-28,56
2017-11-29,59
2017-11-30,59
2017-12-01,65
2017-12-02,78
2017-12-03,77
2017-12-04,55
2017-12-05,54
2017-12-06,56
2017-12-07,59
2017-12-08,68
2017-12-09,79
2017-12-10,82
2017-12-11,57
2017-12-12,56
2017-12-13,61
2017-12-14,60
2017-12-15,65
2017-12-16,74
2017-12-17,80
2017-12-18,59
2017-12-19,60
2017-12-20,64
2017-12-21,63
2017-12-22,69
2017-12-23,84
2017-12-24,90
2017-12-25,98
2017-12-26,88
2017-12-27,82
2017-12-28,79
2017-12-29,84
2017-12-30,90
2017-12-31,83
2018-01-01,100
2018-01-02,76
2018-01-03,73
2018-01-04,74
2018-01-05,74
2018-01-06,91
2018-01-07,88
2018-01-08,63
2018-01-09,62
2018-01-10,62
2018-01-11,64
2018-01-12,74
2018-01-13,84
2018-01-14,89
2018-01-15,64
2018-01-16,61
2018-01-17,62
2018-01-18,62
2018-01-19,68
2018-01-20,88
2018-01-21,85
2018-01-22,61
2018-01-23,63
2018-01-24,64
2018-01-25,65
2018-01-26,69
2018-01-27,83
2018-01-28,85
2018-01-29,63
2018-01-30,63
2018-01-31,65
2018-02-01,63
2018-02-02,67
2018-02-03,85
2018-02-04,82
2018-02-05,64
2018-02-06,60
2018-02-07,63
2018-02-08,63
2018-02-09,69
2018-02-10,83
2018-02-11,87
2018-02-12,61
2018-02-13,63
2018-02-14,63
2018-02-15,61
2018-02-16,67
2018-02-17,82
2018-02-18,86
2018-02-19,62
2018-02-20,63
2018-02-21,61
2018-02-22,61
2018-02-23,70
2018-02-24,84
2018-02-25,84
2018-02-26,63
2018-02-27,62
2018-02-28,59
2018-03-01,66
2018-03-02,71
2018-03-03,85
2018-03-04,88
2018-03-05,69
2018-03-06,63
2018-03-07,61
2018-03-08,64
2018-03-09,74
2018-03-10,78
2018-03-11,83
2018-03-12,63
2018-03-13,59
2018-03-14,61
2018-03-15,65
2018-03-16,68
2018-03-17,83
2018-03-18,86
2018-03-19,64
2018-03-20,63
2018-03-21,63
2018-03-22,64
2018-03-23,66
2018-03-24,83
2018-03-25,84
2018-03-26,64
2018-03-27,60
2018-03-28,68
2018-03-29,66
2018-03-30,79
2018-03-31,80
2018-04-01,90
2018-04-02,73
2018-04-03,61
2018-04-04,61
2018-04-05,59
2018-04-06,67
2018-04-07,74
2018-04-08,77
2018-04-09,65
2018-04-10,59
2018-04-11,59
2018-04-12,60
2018-04-13,67
2018-04-14,78
2018-04-15,79
2018-04-16,60
2018-04-17,58
2018-04-18,56
2018-04-19,57
2018-04-20,60
2018-04-21,73
2018-04-22,76
2018-04-23,57
2018-04-24,55
2018-04-25,60
2018-04-26,59
2018-04-27,66
2018-04-28,78
2018-04-29,81
2018-04-30,63
2018-05-01,70
2018-05-02,59
2018-05-03,64
2018-05-04,63
2018-05-05,74
2018-05-06,75
2018-05-07,59
2018-05-08,62
2018-05-09,63
2018-05-10,67
2018-05-11,68
2018-05-12,80
2018-05-13,79
2018-05-14,63
2018-05-15,58
2018-05-16,58
2018-05-17,59
2018-05-18,64
2018-05-19,74
2018-05-20,80
2018-05-21,65
2018-05-22,58
2018-05-23,59
2018-05-24,60
2018-05-25,62
2018-05-26,73
2018-05-27,83
2018-05-28,65
2018-05-29,58
2018-05-30,63
2018-05-31,64
2018-06-01,63
2018-06-02,78
2018-06-03,77
2018-06-04,62
2018-06-05,61
2018-06-06,61
2018-06-07,61
2018-06-08,64
2018-06-09,76
2018-06-10,77
2018-06-11,64
2018-06-12,63
2018-06-13,67
2018-06-14,60
