Category: All categories

Day,funny: (Worldwide)
2017-11-14,68
2017-11-15,68
2017-11-16,68
2017-11-17,66
2017-11-18,65
2017-11-19,65
2017-11-20,62
2017-11-21,64
2017-11-22,66
2017-11-23,80
2017-11-24,61
2017-11-25,65
2017-11-26,66
2017-11-27,61
2017-11-28,63
2017-11-29,65
2017-11-30,68
2017-12-01,71
2017-12-02,64
2017-12-03,68
2017-12-04,63
2017-12-05,67
2017-12-06,67
2017-12-07,68
2017-12-08,72
2017-12-09,67
2017-12-10,68
2017-12-11,64
2017-12-12,70
2017-12-13,68
2017-12-14,72
2017-12-15,69
2017-12-16,66
2017-12-17,66
2017-12-18,63
2017-12-19,67
2017-12-20,70
2017-12-21,70
2017-12-22,70
2017-12-23,69
2017-12-24,83
2017-12-25,87
2017-12-26,61
2017-12-27,61
2017-12-28,59
2017-12-29,64
2017-12-30,67
2017-12-31,83
2018-01-01,74
2018-01-02,54
2018-01-03,58
2018-01-04,57
2018-01-05,60
2018-01-06,60
2018-01-07,63
2018-01-08,56
2018-01-09,64
2018-01-10,59
2018-01-11,62
2018-01-12,68
2018-01-13,61
2018-01-14,60
2018-01-15,58
2018-01-16,57
2018-01-17,58
2018-01-18,60
2018-01-19,62
2018-01-20,61
2018-01-21,62
2018-01-22,56
2018-01-23,56
2018-01-24,60
2018-01-25,63
2018-01-26,63
2018-01-27,60
2018-01-28,60
2018-01-29,54
2018-01-30,61
2018-01-31,62
2018-02-01,62
2018-02-02,63
2018-02-03,59
2018-02-04,59
2018-02-05,60
2018-02-06,61
2018-02-07,62
2018-02-08,65
2018-02-09,62
2018-02-10,62
2018-02-11,65
2018-02-12,66
2018-02-13,69
2018-02-14,100
2018-02-15,63
2018-02-16,64
2018-02-17,61
2018-02-18,58
2018-02-19,58
2018-02-20,55
2018-02-21,58
2018-02-22,60
2018-02-23,66
2018-02-24,60
2018-02-25,58
2018-02-26,58
2018-02-27,60
2018-02-28,58
2018-03-01,64
2018-03-02,66
2018-03-03,61
2018-03-04,58
2018-03-05,54
2018-03-06,57
2018-03-07,63
2018-03-08,62
2018-03-09,65
2018-03-10,61
2018-03-11,64
2018-03-12,58
2018-03-13,60
2018-03-14,61
2018-03-15,57
2018-03-16,61
2018-03-17,65
2018-03-18,61
2018-03-19,58
2018-03-20,61
2018-03-21,62
2018-03-22,60
2018-03-23,64
2018-03-24,61
2018-03-25,57
2018-03-26,56
2018-03-27,62
2018-03-28,64
2018-03-29,65
2018-03-30,64
2018-03-31,64
2018-04-01,78
2018-04-02,55
2018-04-03,58
2018-04-04,57
2018-04-05,61
2018-04-06,63
2018-04-07,60
2018-04-08,58
2018-04-09,56
2018-04-10,63
2018-04-11,58
2018-04-12,60
2018-04-13,63
2018-04-14,58
2018-04-15,59
2018-04-16,55
2018-04-17,60
2018-04-18,58
2018-04-19,61
2018-04-20,63
2018-04-21,57
2018-04-22,57
2018-04-23,56
2018-04-24,57
2018-04-25,60
2018-04-26,59
2018-04-27,63
2018-04-28,58
2018-04-29,55
2018-04-30,60
2018-05-01,61
2018-05-02,59
2018-05-03,61
2018-05-04,62
2018-05-05,57
2018-05-06,58
2018-05-07,57
2018-05-08,59
2018-05-09,60
2018-05-10,61
2018-05-11,63
2018-05-12,60
2018-05-13,71
2018-05-14,57
2018-05-15,64
2018-05-16,59
2018-05-17,60
2018-05-18,61
2018-05-19,55
2018-05-20,56
2018-05-21,59
2018-05-22,60
2018-05-23,60
2018-05-24,59
2018-05-25,61
2018-05-26,60
2018-05-27,60
2018-05-28,52
2018-05-29,56
2018-05-30,60
2018-05-31,61
2018-06-01,63
2018-06-02,60
2018-06-03,60
2018-06-04,57
2018-06-05,60
2018-06-06,57
2018-06-07,59
2018-06-08,61
2018-06-09,59
2018-06-10,62
2018-06-11,55
2018-06-12,56
2018-06-13,61
2018-06-14,56
