Category: All categories

Day,gulati: (Worldwide)
2017-11-14,62
2017-11-15,75
2017-11-16,67
2017-11-17,64
2017-11-18,70
2017-11-19,59
2017-11-20,57
2017-11-21,68
2017-11-22,58
2017-11-23,61
2017-11-24,73
2017-11-25,87
2017-11-26,68
2017-11-27,65
2017-11-28,76
2017-11-29,72
2017-11-30,90
2017-12-01,72
2017-12-02,68
2017-12-03,79
2017-12-04,80
2017-12-05,91
2017-12-06,84
2017-12-07,80
2017-12-08,96
2017-12-09,86
2017-12-10,86
2017-12-11,77
2017-12-12,71
2017-12-13,68
2017-12-14,65
2017-12-15,75
2017-12-16,73
2017-12-17,78
2017-12-18,72
2017-12-19,66
2017-12-20,74
2017-12-21,81
2017-12-22,70
2017-12-23,72
2017-12-24,72
2017-12-25,78
2017-12-26,74
2017-12-27,69
2017-12-28,73
2017-12-29,70
2017-12-30,67
2017-12-31,62
2018-01-01,65
2018-01-02,62
2018-01-03,68
2018-01-04,66
2018-01-05,70
2018-01-06,69
2018-01-07,76
2018-01-08,65
2018-01-09,74
2018-01-10,67
2018-01-11,83
2018-01-12,99
2018-01-13,100
2018-01-14,100
2018-01-15,88
2018-01-16,80
2018-01-17,73
2018-01-18,86
2018-01-19,99
2018-01-20,93
2018-01-21,73
2018-01-22,73
2018-01-23,73
2018-01-24,65
2018-01-25,59
2018-01-26,76
2018-01-27,71
2018-01-28,65
2018-01-29,70
2018-01-30,68
2018-01-31,66
2018-02-01,58
2018-02-02,73
2018-02-03,67
2018-02-04,70
2018-02-05,65
2018-02-06,76
2018-02-07,74
2018-02-08,74
2018-02-09,63
2018-02-10,86
2018-02-11,71
2018-02-12,63
2018-02-13,65
2018-02-14,55
2018-02-15,53
2018-02-16,63
2018-02-17,66
2018-02-18,67
2018-02-19,61
2018-02-20,63
2018-02-21,50
2018-02-22,56
2018-02-23,60
2018-02-24,63
2018-02-25,63
2018-02-26,61
2018-02-27,66
2018-02-28,46
2018-03-01,56
2018-03-02,61
2018-03-03,66
2018-03-04,65
2018-03-05,56
2018-03-06,55
2018-03-07,71
2018-03-08,60
2018-03-09,62
2018-03-10,75
2018-03-11,61
2018-03-12,49
2018-03-13,53
2018-03-14,68
2018-03-15,61
2018-03-16,57
2018-03-17,91
2018-03-18,67
2018-03-19,71
2018-03-20,64
2018-03-21,65
2018-03-22,67
2018-03-23,73
2018-03-24,66
2018-03-25,93
2018-03-26,63
2018-03-27,69
2018-03-28,66
2018-03-29,67
2018-03-30,74
2018-03-31,65
2018-04-01,71
2018-04-02,72
2018-04-03,65
2018-04-04,65
2018-04-05,57
2018-04-06,64
2018-04-07,77
2018-04-08,64
2018-04-09,62
2018-04-10,62
2018-04-11,68
2018-04-12,55
2018-04-13,61
2018-04-14,61
2018-04-15,64
2018-04-16,61
2018-04-17,58
2018-04-18,71
2018-04-19,66
2018-04-20,65
2018-04-21,76
2018-04-22,61
2018-04-23,66
2018-04-24,57
2018-04-25,62
2018-04-26,70
2018-04-27,68
2018-04-28,69
2018-04-29,73
2018-04-30,70
2018-05-01,74
2018-05-02,62
2018-05-03,68
2018-05-04,71
2018-05-05,65
2018-05-06,69
2018-05-07,62
2018-05-08,69
2018-05-09,62
2018-05-10,58
2018-05-11,76
2018-05-12,62
2018-05-13,71
2018-05-14,64
2018-05-15,61
2018-05-16,72
2018-05-17,62
2018-05-18,63
2018-05-19,83
2018-05-20,74
2018-05-21,59
2018-05-22,77
2018-05-23,70
2018-05-24,70
2018-05-25,66
2018-05-26,72
2018-05-27,72
2018-05-28,68
2018-05-29,77
2018-05-30,73
2018-05-31,71
2018-06-01,66
2018-06-02,77
2018-06-03,74
2018-06-04,75
2018-06-05,74
2018-06-06,71
2018-06-07,69
2018-06-08,59
2018-06-09,90
2018-06-10,79
2018-06-11,79
2018-06-12,68
2018-06-13,84
2018-06-14,74
