Category: All categories

Day,hacks: (Worldwide)
2017-11-14,69
2017-11-15,69
2017-11-16,70
2017-11-17,73
2017-11-18,83
2017-11-19,83
2017-11-20,69
2017-11-21,68
2017-11-22,73
2017-11-23,71
2017-11-24,72
2017-11-25,83
2017-11-26,85
2017-11-27,70
2017-11-28,68
2017-11-29,66
2017-11-30,69
2017-12-01,70
2017-12-02,84
2017-12-03,85
2017-12-04,68
2017-12-05,67
2017-12-06,67
2017-12-07,69
2017-12-08,75
2017-12-09,86
2017-12-10,82
2017-12-11,68
2017-12-12,70
2017-12-13,69
2017-12-14,68
2017-12-15,70
2017-12-16,81
2017-12-17,100
2017-12-18,70
2017-12-19,75
2017-12-20,73
2017-12-21,73
2017-12-22,77
2017-12-23,84
2017-12-24,85
2017-12-25,81
2017-12-26,84
2017-12-27,86
2017-12-28,82
2017-12-29,96
2017-12-30,91
2017-12-31,90
2018-01-01,89
2018-01-02,80
2018-01-03,78
2018-01-04,80
2018-01-05,77
2018-01-06,86
2018-01-07,90
2018-01-08,71
2018-01-09,66
2018-01-10,68
2018-01-11,72
2018-01-12,80
2018-01-13,89
2018-01-14,85
2018-01-15,74
2018-01-16,75
2018-01-17,71
2018-01-18,74
2018-01-19,74
2018-01-20,86
2018-01-21,85
2018-01-22,70
2018-01-23,72
2018-01-24,74
2018-01-25,71
2018-01-26,80
2018-01-27,88
2018-01-28,87
2018-01-29,70
2018-01-30,71
2018-01-31,69
2018-02-01,70
2018-02-02,71
2018-02-03,88
2018-02-04,92
2018-02-05,73
2018-02-06,71
2018-02-07,68
2018-02-08,72
2018-02-09,71
2018-02-10,88
2018-02-11,86
2018-02-12,73
2018-02-13,68
2018-02-14,67
2018-02-15,67
2018-02-16,71
2018-02-17,86
2018-02-18,88
2018-02-19,71
2018-02-20,70
2018-02-21,69
2018-02-22,67
2018-02-23,68
2018-02-24,80
2018-02-25,81
2018-02-26,67
2018-02-27,71
2018-02-28,64
2018-03-01,69
2018-03-02,73
2018-03-03,82
2018-03-04,94
2018-03-05,65
2018-03-06,73
2018-03-07,69
2018-03-08,70
2018-03-09,70
2018-03-10,83
2018-03-11,95
2018-03-12,68
2018-03-13,66
2018-03-14,69
2018-03-15,65
2018-03-16,72
2018-03-17,81
2018-03-18,81
2018-03-19,70
2018-03-20,66
2018-03-21,70
2018-03-22,68
2018-03-23,73
2018-03-24,81
2018-03-25,82
2018-03-26,84
2018-03-27,70
2018-03-28,72
2018-03-29,74
2018-03-30,80
2018-03-31,81
2018-04-01,83
2018-04-02,81
2018-04-03,68
2018-04-04,68
2018-04-05,70
2018-04-06,70
2018-04-07,81
2018-04-08,83
2018-04-09,67
2018-04-10,67
2018-04-11,67
2018-04-12,64
2018-04-13,67
2018-04-14,79
2018-04-15,86
2018-04-16,68
2018-04-17,66
2018-04-18,66
2018-04-19,65
2018-04-20,66
2018-04-21,80
2018-04-22,80
2018-04-23,67
2018-04-24,66
2018-04-25,67
2018-04-26,65
2018-04-27,69
2018-04-28,80
2018-04-29,77
2018-04-30,80
2018-05-01,71
2018-05-02,65
2018-05-03,68
2018-05-04,69
2018-05-05,72
2018-05-06,79
2018-05-07,66
2018-05-08,67
2018-05-09,65
2018-05-10,65
2018-05-11,69
2018-05-12,75
2018-05-13,74
2018-05-14,65
2018-05-15,66
2018-05-16,64
2018-05-17,69
2018-05-18,70
2018-05-19,76
2018-05-20,81
2018-05-21,72
2018-05-22,71
2018-05-23,72
2018-05-24,70
2018-05-25,73
2018-05-26,81
2018-05-27,81
2018-05-28,75
2018-05-29,72
2018-05-30,70
2018-05-31,73
2018-06-01,72
2018-06-02,80
2018-06-03,87
2018-06-04,72
2018-06-05,70
2018-06-06,69
2018-06-07,66
2018-06-08,71
2018-06-09,79
2018-06-10,81
2018-06-11,74
2018-06-12,68
2018-06-13,69
2018-06-14,69
