Category: All categories

Day,india: (Worldwide)
2017-11-14,50
2017-11-15,51
2017-11-16,61
2017-11-17,58
2017-11-18,58
2017-11-19,59
2017-11-20,60
2017-11-21,50
2017-11-22,49
2017-11-23,51
2017-11-24,57
2017-11-25,59
2017-11-26,61
2017-11-27,56
2017-11-28,49
2017-11-29,50
2017-11-30,50
2017-12-01,53
2017-12-02,65
2017-12-03,62
2017-12-04,60
2017-12-05,64
2017-12-06,66
2017-12-07,51
2017-12-08,52
2017-12-09,52
2017-12-10,73
2017-12-11,51
2017-12-12,51
2017-12-13,80
2017-12-14,52
2017-12-15,51
2017-12-16,53
2017-12-17,74
2017-12-18,59
2017-12-19,52
2017-12-20,67
2017-12-21,53
2017-12-22,69
2017-12-23,56
2017-12-24,67
2017-12-25,55
2017-12-26,56
2017-12-27,55
2017-12-28,53
2017-12-29,54
2017-12-30,52
2017-12-31,47
2018-01-01,52
2018-01-02,52
2018-01-03,53
2018-01-04,54
2018-01-05,83
2018-01-06,82
2018-01-07,65
2018-01-08,76
2018-01-09,55
2018-01-10,52
2018-01-11,56
2018-01-12,55
2018-01-13,68
2018-01-14,71
2018-01-15,73
2018-01-16,73
2018-01-17,67
2018-01-18,51
2018-01-19,49
2018-01-20,53
2018-01-21,51
2018-01-22,50
2018-01-23,51
2018-01-24,74
2018-01-25,74
2018-01-26,79
2018-01-27,77
2018-01-28,51
2018-01-29,53
2018-01-30,54
2018-01-31,60
2018-02-01,92
2018-02-02,61
2018-02-03,63
2018-02-04,80
2018-02-05,51
2018-02-06,52
2018-02-07,92
2018-02-08,56
2018-02-09,54
2018-02-10,100
2018-02-11,55
2018-02-12,50
2018-02-13,89
2018-02-14,54
2018-02-15,52
2018-02-16,81
2018-02-17,55
2018-02-18,81
2018-02-19,51
2018-02-20,55
2018-02-21,73
2018-02-22,56
2018-02-23,54
2018-02-24,80
2018-02-25,57
2018-02-26,52
2018-02-27,51
2018-02-28,49
2018-03-01,45
2018-03-02,43
2018-03-03,54
2018-03-04,48
2018-03-05,53
2018-03-06,74
2018-03-07,52
2018-03-08,66
2018-03-09,53
2018-03-10,53
2018-03-11,52
2018-03-12,69
2018-03-13,55
2018-03-14,69
2018-03-15,52
2018-03-16,52
2018-03-17,53
2018-03-18,85
2018-03-19,55
2018-03-20,51
2018-03-21,53
2018-03-22,50
2018-03-23,50
2018-03-24,52
2018-03-25,49
2018-03-26,50
2018-03-27,52
2018-03-28,51
2018-03-29,53
2018-03-30,53
2018-03-31,51
2018-04-01,51
2018-04-02,52
2018-04-03,50
2018-04-04,51
2018-04-05,52
2018-04-06,51
2018-04-07,55
2018-04-08,50
2018-04-09,55
2018-04-10,49
2018-04-11,48
2018-04-12,51
2018-04-13,51
2018-04-14,54
2018-04-15,50
2018-04-16,49
2018-04-17,48
2018-04-18,50
2018-04-19,49
2018-04-20,48
2018-04-21,50
2018-04-22,48
2018-04-23,48
2018-04-24,46
2018-04-25,46
2018-04-26,50
2018-04-27,50
2018-04-28,50
2018-04-29,50
2018-04-30,50
2018-05-01,48
2018-05-02,49
2018-05-03,53
2018-05-04,53
2018-05-05,53
2018-05-06,50
2018-05-07,52
2018-05-08,51
2018-05-09,53
2018-05-10,50
2018-05-11,49
2018-05-12,50
2018-05-13,48
2018-05-14,52
2018-05-15,59
2018-05-16,53
2018-05-17,50
2018-05-18,51
2018-05-19,55
2018-05-20,48
2018-05-21,53
2018-05-22,51
2018-05-23,55
2018-05-24,54
2018-05-25,53
2018-05-26,55
2018-05-27,51
2018-05-28,54
2018-05-29,52
2018-05-30,55
2018-05-31,59
2018-06-01,56
2018-06-02,55
2018-06-03,51
2018-06-04,56
2018-06-05,53
2018-06-06,62
2018-06-07,62
2018-06-08,59
2018-06-09,58
2018-06-10,57
2018-06-11,60
2018-06-12,60
2018-06-13,58
2018-06-14,71
