Category: All categories

Day,karnataka: (Worldwide)
2017-11-14,1
2017-11-15,1
2017-11-16,1
2017-11-17,1
2017-11-18,1
2017-11-19,1
2017-11-20,1
2017-11-21,1
2017-11-22,1
2017-11-23,1
2017-11-24,1
2017-11-25,1
2017-11-26,1
2017-11-27,1
2017-11-28,1
2017-11-29,1
2017-11-30,1
2017-12-01,1
2017-12-02,1
2017-12-03,1
2017-12-04,1
2017-12-05,1
2017-12-06,1
2017-12-07,1
2017-12-08,1
2017-12-09,1
2017-12-10,1
2017-12-11,1
2017-12-12,1
2017-12-13,1
2017-12-14,1
2017-12-15,1
2017-12-16,2
2017-12-17,1
2017-12-18,2
2017-12-19,2
2017-12-20,2
2017-12-21,2
2017-12-22,2
2017-12-23,2
2017-12-24,1
2017-12-25,1
2017-12-26,2
2017-12-27,2
2017-12-28,2
2017-12-29,2
2017-12-30,2
2017-12-31,1
2018-01-01,1
2018-01-02,2
2018-01-03,1
2018-01-04,2
2018-01-05,2
2018-01-06,2
2018-01-07,1
2018-01-08,2
2018-01-09,2
2018-01-10,2
2018-01-11,2
2018-01-12,2
2018-01-13,2
2018-01-14,1
2018-01-15,1
2018-01-16,1
2018-01-17,2
2018-01-18,2
2018-01-19,2
2018-01-20,2
2018-01-21,1
2018-01-22,2
2018-01-23,2
2018-01-24,3
2018-01-25,2
2018-01-26,1
2018-01-27,1
2018-01-28,1
2018-01-29,2
2018-01-30,2
2018-01-31,1
2018-02-01,2
2018-02-02,2
2018-02-03,1
2018-02-04,1
2018-02-05,1
2018-02-06,1
2018-02-07,1
2018-02-08,1
2018-02-09,1
2018-02-10,1
2018-02-11,1
2018-02-12,1
2018-02-13,1
2018-02-14,1
2018-02-15,2
2018-02-16,2
2018-02-17,2
2018-02-18,1
2018-02-19,2
2018-02-20,2
2018-02-21,2
2018-02-22,2
2018-02-23,2
2018-02-24,2
2018-02-25,1
2018-02-26,2
2018-02-27,2
2018-02-28,1
2018-03-01,2
2018-03-02,1
2018-03-03,2
2018-03-04,1
2018-03-05,2
2018-03-06,2
2018-03-07,2
2018-03-08,2
2018-03-09,2
2018-03-10,2
2018-03-11,1
2018-03-12,2
2018-03-13,2
2018-03-14,2
2018-03-15,2
2018-03-16,2
2018-03-17,2
2018-03-18,1
2018-03-19,2
2018-03-20,2
2018-03-21,2
2018-03-22,2
2018-03-23,2
2018-03-24,2
2018-03-25,1
2018-03-26,2
2018-03-27,2
2018-03-28,2
2018-03-29,2
2018-03-30,2
2018-03-31,2
2018-04-01,1
2018-04-02,2
2018-04-03,2
2018-04-04,2
2018-04-05,2
2018-04-06,2
2018-04-07,2
2018-04-08,2
2018-04-09,2
2018-04-10,2
2018-04-11,2
2018-04-12,2
2018-04-13,2
2018-04-14,2
2018-04-15,2
2018-04-16,2
2018-04-17,2
2018-04-18,2
2018-04-19,2
2018-04-20,2
2018-04-21,2
2018-04-22,1
2018-04-23,2
2018-04-24,2
2018-04-25,2
2018-04-26,2
2018-04-27,2
2018-04-28,2
2018-04-29,2
2018-04-30,5
2018-05-01,2
2018-05-02,2
2018-05-03,3
2018-05-04,3
2018-05-05,3
2018-05-06,3
2018-05-07,8
2018-05-08,3
2018-05-09,3
2018-05-10,3
2018-05-11,4
2018-05-12,10
2018-05-13,4
2018-05-14,5
2018-05-15,100
2018-05-16,17
2018-05-17,10
2018-05-18,8
2018-05-19,19
2018-05-20,5
2018-05-21,3
2018-05-22,3
2018-05-23,3
2018-05-24,2
2018-05-25,3
2018-05-26,2
2018-05-27,2
2018-05-28,2
2018-05-29,2
2018-05-30,2
2018-05-31,2
2018-06-01,3
2018-06-02,2
2018-06-03,2
2018-06-04,2
2018-06-05,2
2018-06-06,2
2018-06-07,2
2018-06-08,2
2018-06-09,2
2018-06-10,2
2018-06-11,2
2018-06-12,2
2018-06-13,2
2018-06-14,2
