Category: All categories

Day,late: (Worldwide)
2017-11-14,85
2017-11-15,91
2017-11-16,79
2017-11-17,81
2017-11-18,76
2017-11-19,77
2017-11-20,73
2017-11-21,71
2017-11-22,72
2017-11-23,77
2017-11-24,65
2017-11-25,71
2017-11-26,76
2017-11-27,73
2017-11-28,77
2017-11-29,81
2017-11-30,83
2017-12-01,94
2017-12-02,84
2017-12-03,82
2017-12-04,85
2017-12-05,82
2017-12-06,81
2017-12-07,81
2017-12-08,81
2017-12-09,77
2017-12-10,76
2017-12-11,77
2017-12-12,85
2017-12-13,84
2017-12-14,79
2017-12-15,80
2017-12-16,79
2017-12-17,81
2017-12-18,72
2017-12-19,75
2017-12-20,76
2017-12-21,81
2017-12-22,74
2017-12-23,73
2017-12-24,83
2017-12-25,65
2017-12-26,63
2017-12-27,75
2017-12-28,71
2017-12-29,73
2017-12-30,74
2017-12-31,75
2018-01-01,77
2018-01-02,81
2018-01-03,78
2018-01-04,78
2018-01-05,79
2018-01-06,79
2018-01-07,79
2018-01-08,80
2018-01-09,85
2018-01-10,81
2018-01-11,77
2018-01-12,81
2018-01-13,74
2018-01-14,73
2018-01-15,73
2018-01-16,81
2018-01-17,76
2018-01-18,76
2018-01-19,78
2018-01-20,76
2018-01-21,74
2018-01-22,72
2018-01-23,79
2018-01-24,77
2018-01-25,76
2018-01-26,73
2018-01-27,73
2018-01-28,76
2018-01-29,75
2018-01-30,77
2018-01-31,83
2018-02-01,78
2018-02-02,78
2018-02-03,73
2018-02-04,72
2018-02-05,73
2018-02-06,79
2018-02-07,76
2018-02-08,75
2018-02-09,74
2018-02-10,73
2018-02-11,77
2018-02-12,72
2018-02-13,73
2018-02-14,75
2018-02-15,75
2018-02-16,75
2018-02-17,74
2018-02-18,74
2018-02-19,71
2018-02-20,74
2018-02-21,73
2018-02-22,75
2018-02-23,78
2018-02-24,75
2018-02-25,74
2018-02-26,76
2018-02-27,72
2018-02-28,76
2018-03-01,80
2018-03-02,77
2018-03-03,74
2018-03-04,74
2018-03-05,73
2018-03-06,74
2018-03-07,75
2018-03-08,74
2018-03-09,75
2018-03-10,76
2018-03-11,78
2018-03-12,73
2018-03-13,82
2018-03-14,74
2018-03-15,76
2018-03-16,75
2018-03-17,75
2018-03-18,74
2018-03-19,72
2018-03-20,76
2018-03-21,73
2018-03-22,76
2018-03-23,77
2018-03-24,78
2018-03-25,76
2018-03-26,80
2018-03-27,79
2018-03-28,81
2018-03-29,78
2018-03-30,80
2018-03-31,75
2018-04-01,74
2018-04-02,73
2018-04-03,76
2018-04-04,74
2018-04-05,74
2018-04-06,76
2018-04-07,74
2018-04-08,80
2018-04-09,71
2018-04-10,74
2018-04-11,72
2018-04-12,73
2018-04-13,74
2018-04-14,80
2018-04-15,80
2018-04-16,81
2018-04-17,100
2018-04-18,91
2018-04-19,78
2018-04-20,75
2018-04-21,78
2018-04-22,76
2018-04-23,74
2018-04-24,74
2018-04-25,75
2018-04-26,74
2018-04-27,79
2018-04-28,81
2018-04-29,77
2018-04-30,77
2018-05-01,80
2018-05-02,75
2018-05-03,74
2018-05-04,76
2018-05-05,75
2018-05-06,73
2018-05-07,76
2018-05-08,73
2018-05-09,71
2018-05-10,77
2018-05-11,77
2018-05-12,76
2018-05-13,77
2018-05-14,75
2018-05-15,76
2018-05-16,73
2018-05-17,76
2018-05-18,74
2018-05-19,77
2018-05-20,78
2018-05-21,74
2018-05-22,73
2018-05-23,70
2018-05-24,76
2018-05-25,76
2018-05-26,77
2018-05-27,79
2018-05-28,73
2018-05-29,70
2018-05-30,75
2018-05-31,78
2018-06-01,75
2018-06-02,82
2018-06-03,77
2018-06-04,78
2018-06-05,81
2018-06-06,77
2018-06-07,71
2018-06-08,80
2018-06-09,82
2018-06-10,80
2018-06-11,73
2018-06-12,73
2018-06-13,71
2018-06-14,74
