Category: All categories

Day,latest: (Worldwide)
2017-11-14,76
2017-11-15,89
2017-11-16,85
2017-11-17,84
2017-11-18,92
2017-11-19,88
2017-11-20,80
2017-11-21,82
2017-11-22,77
2017-11-23,75
2017-11-24,76
2017-11-25,84
2017-11-26,81
2017-11-27,74
2017-11-28,76
2017-11-29,79
2017-11-30,79
2017-12-01,81
2017-12-02,85
2017-12-03,81
2017-12-04,76
2017-12-05,79
2017-12-06,78
2017-12-07,78
2017-12-08,79
2017-12-09,85
2017-12-10,82
2017-12-11,74
2017-12-12,76
2017-12-13,78
2017-12-14,78
2017-12-15,79
2017-12-16,84
2017-12-17,86
2017-12-18,89
2017-12-19,76
2017-12-20,80
2017-12-21,79
2017-12-22,78
2017-12-23,87
2017-12-24,85
2017-12-25,79
2017-12-26,86
2017-12-27,79
2017-12-28,79
2017-12-29,79
2017-12-30,86
2017-12-31,80
2018-01-01,84
2018-01-02,82
2018-01-03,81
2018-01-04,80
2018-01-05,80
2018-01-06,87
2018-01-07,84
2018-01-08,77
2018-01-09,76
2018-01-10,81
2018-01-11,78
2018-01-12,86
2018-01-13,90
2018-01-14,84
2018-01-15,78
2018-01-16,79
2018-01-17,83
2018-01-18,82
2018-01-19,81
2018-01-20,100
2018-01-21,87
2018-01-22,78
2018-01-23,79
2018-01-24,82
2018-01-25,78
2018-01-26,75
2018-01-27,83
2018-01-28,79
2018-01-29,76
2018-01-30,87
2018-01-31,83
2018-02-01,79
2018-02-02,74
2018-02-03,83
2018-02-04,77
2018-02-05,73
2018-02-06,74
2018-02-07,76
2018-02-08,79
2018-02-09,73
2018-02-10,81
2018-02-11,79
2018-02-12,73
2018-02-13,73
2018-02-14,74
2018-02-15,78
2018-02-16,78
2018-02-17,83
2018-02-18,73
2018-02-19,73
2018-02-20,76
2018-02-21,74
2018-02-22,71
2018-02-23,75
2018-02-24,81
2018-02-25,87
2018-02-26,85
2018-02-27,92
2018-02-28,90
2018-03-01,75
2018-03-02,79
2018-03-03,87
2018-03-04,77
2018-03-05,68
2018-03-06,71
2018-03-07,71
2018-03-08,67
2018-03-09,72
2018-03-10,82
2018-03-11,73
2018-03-12,69
2018-03-13,74
2018-03-14,75
2018-03-15,71
2018-03-16,73
2018-03-17,80
2018-03-18,76
2018-03-19,73
2018-03-20,74
2018-03-21,72
2018-03-22,70
2018-03-23,73
2018-03-24,77
2018-03-25,75
2018-03-26,72
2018-03-27,73
2018-03-28,77
2018-03-29,79
2018-03-30,84
2018-03-31,86
2018-04-01,80
2018-04-02,78
2018-04-03,73
2018-04-04,74
2018-04-05,79
2018-04-06,81
2018-04-07,86
2018-04-08,76
2018-04-09,69
2018-04-10,74
2018-04-11,74
2018-04-12,75
2018-04-13,76
2018-04-14,91
2018-04-15,80
2018-04-16,72
2018-04-17,72
2018-04-18,68
2018-04-19,70
2018-04-20,74
2018-04-21,83
2018-04-22,75
2018-04-23,75
2018-04-24,74
2018-04-25,77
2018-04-26,74
2018-04-27,71
2018-04-28,79
2018-04-29,75
2018-04-30,68
2018-05-01,71
2018-05-02,69
2018-05-03,72
2018-05-04,72
2018-05-05,78
2018-05-06,75
2018-05-07,71
2018-05-08,75
2018-05-09,75
2018-05-10,74
2018-05-11,75
2018-05-12,79
2018-05-13,75
2018-05-14,71
2018-05-15,92
2018-05-16,80
2018-05-17,75
2018-05-18,75
2018-05-19,95
2018-05-20,79
2018-05-21,74
2018-05-22,74
2018-05-23,73
2018-05-24,72
2018-05-25,78
2018-05-26,84
2018-05-27,78
2018-05-28,75
2018-05-29,75
2018-05-30,78
2018-05-31,77
2018-06-01,73
2018-06-02,80
2018-06-03,74
2018-06-04,74
2018-06-05,76
2018-06-06,77
2018-06-07,81
2018-06-08,77
2018-06-09,82
2018-06-10,81
2018-06-11,75
2018-06-12,77
2018-06-13,79
2018-06-14,81
