Category: All categories

Day,news: (Worldwide)
2017-11-14,66
2017-11-15,72
2017-11-16,71
2017-11-17,68
2017-11-18,65
2017-11-19,62
2017-11-20,69
2017-11-21,68
2017-11-22,67
2017-11-23,60
2017-11-24,68
2017-11-25,72
2017-11-26,69
2017-11-27,68
2017-11-28,68
2017-11-29,72
2017-11-30,74
2017-12-01,80
2017-12-02,65
2017-12-03,63
2017-12-04,70
2017-12-05,71
2017-12-06,74
2017-12-07,76
2017-12-08,76
2017-12-09,65
2017-12-10,63
2017-12-11,73
2017-12-12,71
2017-12-13,74
2017-12-14,74
2017-12-15,68
2017-12-16,61
2017-12-17,65
2017-12-18,96
2017-12-19,69
2017-12-20,70
2017-12-21,70
2017-12-22,69
2017-12-23,65
2017-12-24,65
2017-12-25,62
2017-12-26,66
2017-12-27,69
2017-12-28,65
2017-12-29,66
2017-12-30,66
2017-12-31,70
2018-01-01,77
2018-01-02,77
2018-01-03,85
2018-01-04,80
2018-01-05,74
2018-01-06,69
2018-01-07,69
2018-01-08,76
2018-01-09,74
2018-01-10,77
2018-01-11,77
2018-01-12,83
2018-01-13,72
2018-01-14,70
2018-01-15,77
2018-01-16,86
2018-01-17,88
2018-01-18,86
2018-01-19,80
2018-01-20,77
2018-01-21,74
2018-01-22,83
2018-01-23,82
2018-01-24,80
2018-01-25,80
2018-01-26,69
2018-01-27,66
2018-01-28,66
2018-01-29,78
2018-01-30,84
2018-01-31,88
2018-02-01,76
2018-02-02,71
2018-02-03,64
2018-02-04,61
2018-02-05,71
2018-02-06,73
2018-02-07,71
2018-02-08,70
2018-02-09,71
2018-02-10,61
2018-02-11,63
2018-02-12,69
2018-02-13,67
2018-02-14,73
2018-02-15,78
2018-02-16,74
2018-02-17,65
2018-02-18,60
2018-02-19,69
2018-02-20,68
2018-02-21,71
2018-02-22,69
2018-02-23,66
2018-02-24,59
2018-02-25,69
2018-02-26,74
2018-02-27,80
2018-02-28,80
2018-03-01,74
2018-03-02,75
2018-03-03,69
2018-03-04,63
2018-03-05,68
2018-03-06,70
2018-03-07,74
2018-03-08,68
2018-03-09,67
2018-03-10,62
2018-03-11,58
2018-03-12,69
2018-03-13,73
2018-03-14,79
2018-03-15,70
2018-03-16,68
2018-03-17,66
2018-03-18,63
2018-03-19,69
2018-03-20,75
2018-03-21,73
2018-03-22,69
2018-03-23,69
2018-03-24,64
2018-03-25,62
2018-03-26,68
2018-03-27,70
2018-03-28,73
2018-03-29,70
2018-03-30,67
2018-03-31,62
2018-04-01,71
2018-04-02,75
2018-04-03,67
2018-04-04,67
2018-04-05,74
2018-04-06,72
2018-04-07,71
2018-04-08,62
2018-04-09,69
2018-04-10,74
2018-04-11,74
2018-04-12,74
2018-04-13,73
2018-04-14,82
2018-04-15,71
2018-04-16,73
2018-04-17,70
2018-04-18,70
2018-04-19,67
2018-04-20,69
2018-04-21,64
2018-04-22,60
2018-04-23,79
2018-04-24,72
2018-04-25,72
2018-04-26,69
2018-04-27,72
2018-04-28,62
2018-04-29,61
2018-04-30,67
2018-05-01,66
2018-05-02,66
2018-05-03,68
2018-05-04,69
2018-05-05,61
2018-05-06,62
2018-05-07,65
2018-05-08,71
2018-05-09,71
2018-05-10,70
2018-05-11,67
2018-05-12,64
2018-05-13,63
2018-05-14,72
2018-05-15,100
2018-05-16,79
2018-05-17,76
2018-05-18,78
2018-05-19,83
2018-05-20,68
2018-05-21,72
2018-05-22,75
2018-05-23,71
2018-05-24,77
2018-05-25,75
2018-05-26,67
2018-05-27,68
2018-05-28,67
2018-05-29,73
2018-05-30,74
2018-05-31,80
2018-06-01,71
2018-06-02,64
2018-06-03,63
2018-06-04,72
2018-06-05,75
2018-06-06,75
2018-06-07,72
2018-06-08,78
2018-06-09,68
2018-06-10,69
2018-06-11,74
2018-06-12,78
2018-06-13,75
2018-06-14,78
