Category: All categories

Day,odisha: (Worldwide)
2017-11-14,10
2017-11-15,11
2017-11-16,11
2017-11-17,11
2017-11-18,12
2017-11-19,9
2017-11-20,10
2017-11-21,10
2017-11-22,10
2017-11-23,11
2017-11-24,10
2017-11-25,10
2017-11-26,8
2017-11-27,10
2017-11-28,11
2017-11-29,9
2017-11-30,10
2017-12-01,10
2017-12-02,11
2017-12-03,9
2017-12-04,10
2017-12-05,10
2017-12-06,10
2017-12-07,11
2017-12-08,11
2017-12-09,12
2017-12-10,9
2017-12-11,10
2017-12-12,10
2017-12-13,10
2017-12-14,10
2017-12-15,10
2017-12-16,11
2017-12-17,9
2017-12-18,11
2017-12-19,10
2017-12-20,10
2017-12-21,11
2017-12-22,10
2017-12-23,12
2017-12-24,10
2017-12-25,10
2017-12-26,11
2017-12-27,12
2017-12-28,10
2017-12-29,10
2017-12-30,11
2017-12-31,8
2018-01-01,9
2018-01-02,10
2018-01-03,10
2018-01-04,10
2018-01-05,9
2018-01-06,11
2018-01-07,8
2018-01-08,9
2018-01-09,9
2018-01-10,9
2018-01-11,11
2018-01-12,10
2018-01-13,10
2018-01-14,8
2018-01-15,10
2018-01-16,10
2018-01-17,9
2018-01-18,10
2018-01-19,10
2018-01-20,11
2018-01-21,8
2018-01-22,7
2018-01-23,10
2018-01-24,11
2018-01-25,10
2018-01-26,9
2018-01-27,10
2018-01-28,9
2018-01-29,10
2018-01-30,11
2018-01-31,10
2018-02-01,10
2018-02-02,9
2018-02-03,11
2018-02-04,9
2018-02-05,9
2018-02-06,9
2018-02-07,9
2018-02-08,10
2018-02-09,10
2018-02-10,10
2018-02-11,10
2018-02-12,10
2018-02-13,9
2018-02-14,8
2018-02-15,10
2018-02-16,10
2018-02-17,11
2018-02-18,9
2018-02-19,9
2018-02-20,9
2018-02-21,9
2018-02-22,10
2018-02-23,10
2018-02-24,11
2018-02-25,8
2018-02-26,10
2018-02-27,10
2018-02-28,11
2018-03-01,8
2018-03-02,7
2018-03-03,10
2018-03-04,9
2018-03-05,9
2018-03-06,10
2018-03-07,10
2018-03-08,10
2018-03-09,11
2018-03-10,11
2018-03-11,9
2018-03-12,10
2018-03-13,11
2018-03-14,11
2018-03-15,11
2018-03-16,11
2018-03-17,14
2018-03-18,11
2018-03-19,11
2018-03-20,13
2018-03-21,11
2018-03-22,11
2018-03-23,12
2018-03-24,12
2018-03-25,10
2018-03-26,12
2018-03-27,12
2018-03-28,12
2018-03-29,11
2018-03-30,12
2018-03-31,13
2018-04-01,11
2018-04-02,11
2018-04-03,12
2018-04-04,11
2018-04-05,13
2018-04-06,12
2018-04-07,11
2018-04-08,10
2018-04-09,11
2018-04-10,11
2018-04-11,10
2018-04-12,10
2018-04-13,11
2018-04-14,10
2018-04-15,10
2018-04-16,11
2018-04-17,10
2018-04-18,11
2018-04-19,10
2018-04-20,12
2018-04-21,12
2018-04-22,9
2018-04-23,10
2018-04-24,10
2018-04-25,10
2018-04-26,11
2018-04-27,13
2018-04-28,13
2018-04-29,11
2018-04-30,14
2018-05-01,16
2018-05-02,25
2018-05-03,14
2018-05-04,16
2018-05-05,23
2018-05-06,15
2018-05-07,100
2018-05-08,22
2018-05-09,14
2018-05-10,13
2018-05-11,12
2018-05-12,12
2018-05-13,10
2018-05-14,13
2018-05-15,11
2018-05-16,11
2018-05-17,12
2018-05-18,12
2018-05-19,33
2018-05-20,13
2018-05-21,13
2018-05-22,13
2018-05-23,14
2018-05-24,14
2018-05-25,15
2018-05-26,20
2018-05-27,13
2018-05-28,16
2018-05-29,17
2018-05-30,15
2018-05-31,18
2018-06-01,18
2018-06-02,20
2018-06-03,16
2018-06-04,20
2018-06-05,19
2018-06-06,16
2018-06-07,15
2018-06-08,15
2018-06-09,43
2018-06-10,16
2018-06-11,15
2018-06-12,16
2018-06-13,16
2018-06-14,14
