Category: All categories

Day,of: (Worldwide)
2017-11-14,95
2017-11-15,94
2017-11-16,93
2017-11-17,85
2017-11-18,81
2017-11-19,83
2017-11-20,89
2017-11-21,90
2017-11-22,83
2017-11-23,75
2017-11-24,74
2017-11-25,77
2017-11-26,80
2017-11-27,88
2017-11-28,89
2017-11-29,93
2017-11-30,90
2017-12-01,86
2017-12-02,78
2017-12-03,79
2017-12-04,91
2017-12-05,92
2017-12-06,96
2017-12-07,96
2017-12-08,90
2017-12-09,80
2017-12-10,84
2017-12-11,93
2017-12-12,93
2017-12-13,92
2017-12-14,87
2017-12-15,82
2017-12-16,77
2017-12-17,81
2017-12-18,87
2017-12-19,82
2017-12-20,81
2017-12-21,81
2017-12-22,73
2017-12-23,74
2017-12-24,72
2017-12-25,70
2017-12-26,74
2017-12-27,77
2017-12-28,76
2017-12-29,77
2017-12-30,78
2017-12-31,78
2018-01-01,77
2018-01-02,79
2018-01-03,84
2018-01-04,81
2018-01-05,84
2018-01-06,83
2018-01-07,80
2018-01-08,87
2018-01-09,88
2018-01-10,88
2018-01-11,85
2018-01-12,86
2018-01-13,77
2018-01-14,83
2018-01-15,74
2018-01-16,84
2018-01-17,90
2018-01-18,91
2018-01-19,88
2018-01-20,79
2018-01-21,83
2018-01-22,87
2018-01-23,92
2018-01-24,100
2018-01-25,85
2018-01-26,85
2018-01-27,79
2018-01-28,88
2018-01-29,89
2018-01-30,96
2018-01-31,97
2018-02-01,97
2018-02-02,86
2018-02-03,82
2018-02-04,85
2018-02-05,89
2018-02-06,94
2018-02-07,87
2018-02-08,93
2018-02-09,90
2018-02-10,77
2018-02-11,85
2018-02-12,91
2018-02-13,92
2018-02-14,86
2018-02-15,87
2018-02-16,84
2018-02-17,78
2018-02-18,83
2018-02-19,89
2018-02-20,89
2018-02-21,91
2018-02-22,91
2018-02-23,88
2018-02-24,78
2018-02-25,87
2018-02-26,91
2018-02-27,95
2018-02-28,88
2018-03-01,89
2018-03-02,83
2018-03-03,77
2018-03-04,81
2018-03-05,94
2018-03-06,93
2018-03-07,93
2018-03-08,89
2018-03-09,86
2018-03-10,79
2018-03-11,83
2018-03-12,87
2018-03-13,88
2018-03-14,91
2018-03-15,87
2018-03-16,84
2018-03-17,77
2018-03-18,79
2018-03-19,91
2018-03-20,92
2018-03-21,89
2018-03-22,91
2018-03-23,85
2018-03-24,83
2018-03-25,83
2018-03-26,87
2018-03-27,94
2018-03-28,93
2018-03-29,92
2018-03-30,83
2018-03-31,75
2018-04-01,82
2018-04-02,89
2018-04-03,89
2018-04-04,85
2018-04-05,89
2018-04-06,84
2018-04-07,82
2018-04-08,80
2018-04-09,94
2018-04-10,90
2018-04-11,92
2018-04-12,86
2018-04-13,84
2018-04-14,72
2018-04-15,81
2018-04-16,89
2018-04-17,90
2018-04-18,87
2018-04-19,90
2018-04-20,84
2018-04-21,80
2018-04-22,78
2018-04-23,88
2018-04-24,89
2018-04-25,86
2018-04-26,88
2018-04-27,86
2018-04-28,76
2018-04-29,82
2018-04-30,97
2018-05-01,93
2018-05-02,87
2018-05-03,86
2018-05-04,86
2018-05-05,75
2018-05-06,81
2018-05-07,89
2018-05-08,92
2018-05-09,81
2018-05-10,87
2018-05-11,82
2018-05-12,74
2018-05-13,76
2018-05-14,87
2018-05-15,89
2018-05-16,87
2018-05-17,87
2018-05-18,84
2018-05-19,82
2018-05-20,81
2018-05-21,89
2018-05-22,89
2018-05-23,86
2018-05-24,87
2018-05-25,80
2018-05-26,74
2018-05-27,77
2018-05-28,76
2018-05-29,83
2018-05-30,90
2018-05-31,85
2018-06-01,77
2018-06-02,78
2018-06-03,78
2018-06-04,83
2018-06-05,85
2018-06-06,82
2018-06-07,83
2018-06-08,77
2018-06-09,77
2018-06-10,79
2018-06-11,81
2018-06-12,85
2018-06-13,81
2018-06-14,82
