Category: All categories

Day,official: (Worldwide)
2017-11-14,57
2017-11-15,59
2017-11-16,56
2017-11-17,60
2017-11-18,60
2017-11-19,60
2017-11-20,58
2017-11-21,58
2017-11-22,58
2017-11-23,55
2017-11-24,58
2017-11-25,59
2017-11-26,62
2017-11-27,60
2017-11-28,61
2017-11-29,58
2017-11-30,63
2017-12-01,66
2017-12-02,60
2017-12-03,59
2017-12-04,58
2017-12-05,61
2017-12-06,63
2017-12-07,61
2017-12-08,63
2017-12-09,62
2017-12-10,62
2017-12-11,61
2017-12-12,62
2017-12-13,61
2017-12-14,60
2017-12-15,60
2017-12-16,61
2017-12-17,59
2017-12-18,60
2017-12-19,56
2017-12-20,56
2017-12-21,58
2017-12-22,55
2017-12-23,53
2017-12-24,55
2017-12-25,56
2017-12-26,57
2017-12-27,57
2017-12-28,56
2017-12-29,58
2017-12-30,55
2017-12-31,53
2018-01-01,59
2018-01-02,57
2018-01-03,58
2018-01-04,58
2018-01-05,57
2018-01-06,58
2018-01-07,58
2018-01-08,58
2018-01-09,57
2018-01-10,57
2018-01-11,56
2018-01-12,56
2018-01-13,54
2018-01-14,57
2018-01-15,57
2018-01-16,55
2018-01-17,59
2018-01-18,56
2018-01-19,57
2018-01-20,56
2018-01-21,55
2018-01-22,57
2018-01-23,56
2018-01-24,55
2018-01-25,58
2018-01-26,56
2018-01-27,57
2018-01-28,59
2018-01-29,57
2018-01-30,58
2018-01-31,56
2018-02-01,60
2018-02-02,57
2018-02-03,58
2018-02-04,56
2018-02-05,58
2018-02-06,59
2018-02-07,60
2018-02-08,59
2018-02-09,57
2018-02-10,58
2018-02-11,57
2018-02-12,70
2018-02-13,68
2018-02-14,66
2018-02-15,59
2018-02-16,64
2018-02-17,60
2018-02-18,57
2018-02-19,58
2018-02-20,59
2018-02-21,59
2018-02-22,61
2018-02-23,59
2018-02-24,62
2018-02-25,57
2018-02-26,60
2018-02-27,56
2018-02-28,54
2018-03-01,57
2018-03-02,55
2018-03-03,56
2018-03-04,54
2018-03-05,56
2018-03-06,58
2018-03-07,59
2018-03-08,57
2018-03-09,58
2018-03-10,56
2018-03-11,57
2018-03-12,57
2018-03-13,58
2018-03-14,57
2018-03-15,57
2018-03-16,56
2018-03-17,60
2018-03-18,54
2018-03-19,57
2018-03-20,60
2018-03-21,56
2018-03-22,57
2018-03-23,56
2018-03-24,57
2018-03-25,55
2018-03-26,56
2018-03-27,56
2018-03-28,59
2018-03-29,58
2018-03-30,57
2018-03-31,56
2018-04-01,54
2018-04-02,59
2018-04-03,58
2018-04-04,58
2018-04-05,57
2018-04-06,57
2018-04-07,57
2018-04-08,60
2018-04-09,61
2018-04-10,56
2018-04-11,56
2018-04-12,60
2018-04-13,62
2018-04-14,55
2018-04-15,53
2018-04-16,60
2018-04-17,57
2018-04-18,58
2018-04-19,55
2018-04-20,54
2018-04-21,57
2018-04-22,56
2018-04-23,58
2018-04-24,62
2018-04-25,58
2018-04-26,58
2018-04-27,59
2018-04-28,57
2018-04-29,57
2018-04-30,60
2018-05-01,59
2018-05-02,58
2018-05-03,57
2018-05-04,58
2018-05-05,60
2018-05-06,59
2018-05-07,56
2018-05-08,58
2018-05-09,64
2018-05-10,61
2018-05-11,58
2018-05-12,58
2018-05-13,53
2018-05-14,61
2018-05-15,66
2018-05-16,62
2018-05-17,63
2018-05-18,62
2018-05-19,67
2018-05-20,65
2018-05-21,100
2018-05-22,77
2018-05-23,67
2018-05-24,64
2018-05-25,68
2018-05-26,69
2018-05-27,65
2018-05-28,58
2018-05-29,65
2018-05-30,67
2018-05-31,63
2018-06-01,64
2018-06-02,62
2018-06-03,61
2018-06-04,67
2018-06-05,64
2018-06-06,68
2018-06-07,64
2018-06-08,69
2018-06-09,67
2018-06-10,65
2018-06-11,64
2018-06-12,66
2018-06-13,69
2018-06-14,68
