Category: All categories

Day,on: (Worldwide)
2017-11-14,74
2017-11-15,80
2017-11-16,78
2017-11-17,74
2017-11-18,75
2017-11-19,79
2017-11-20,75
2017-11-21,76
2017-11-22,73
2017-11-23,84
2017-11-24,75
2017-11-25,77
2017-11-26,80
2017-11-27,71
2017-11-28,79
2017-11-29,76
2017-11-30,77
2017-12-01,76
2017-12-02,75
2017-12-03,79
2017-12-04,74
2017-12-05,76
2017-12-06,76
2017-12-07,75
2017-12-08,75
2017-12-09,77
2017-12-10,77
2017-12-11,75
2017-12-12,74
2017-12-13,76
2017-12-14,73
2017-12-15,70
2017-12-16,72
2017-12-17,73
2017-12-18,70
2017-12-19,73
2017-12-20,70
2017-12-21,74
2017-12-22,70
2017-12-23,72
2017-12-24,80
2017-12-25,100
2017-12-26,79
2017-12-27,75
2017-12-28,72
2017-12-29,74
2017-12-30,81
2017-12-31,81
2018-01-01,83
2018-01-02,75
2018-01-03,70
2018-01-04,74
2018-01-05,74
2018-01-06,80
2018-01-07,82
2018-01-08,77
2018-01-09,74
2018-01-10,66
2018-01-11,75
2018-01-12,74
2018-01-13,74
2018-01-14,79
2018-01-15,73
2018-01-16,69
2018-01-17,74
2018-01-18,74
2018-01-19,75
2018-01-20,78
2018-01-21,81
2018-01-22,74
2018-01-23,73
2018-01-24,79
2018-01-25,76
2018-01-26,70
2018-01-27,74
2018-01-28,80
2018-01-29,76
2018-01-30,74
2018-01-31,72
2018-02-01,73
2018-02-02,72
2018-02-03,74
2018-02-04,79
2018-02-05,73
2018-02-06,73
2018-02-07,75
2018-02-08,74
2018-02-09,75
2018-02-10,73
2018-02-11,80
2018-02-12,72
2018-02-13,75
2018-02-14,75
2018-02-15,73
2018-02-16,73
2018-02-17,74
2018-02-18,75
2018-02-19,75
2018-02-20,72
2018-02-21,72
2018-02-22,77
2018-02-23,75
2018-02-24,76
2018-02-25,77
2018-02-26,75
2018-02-27,72
2018-02-28,71
2018-03-01,70
2018-03-02,72
2018-03-03,76
2018-03-04,75
2018-03-05,76
2018-03-06,73
2018-03-07,72
2018-03-08,73
2018-03-09,74
2018-03-10,73
2018-03-11,79
2018-03-12,74
2018-03-13,70
2018-03-14,72
2018-03-15,74
2018-03-16,76
2018-03-17,75
2018-03-18,73
2018-03-19,77
2018-03-20,73
2018-03-21,76
2018-03-22,72
2018-03-23,70
2018-03-24,78
2018-03-25,84
2018-03-26,74
2018-03-27,74
2018-03-28,76
2018-03-29,80
2018-03-30,82
2018-03-31,77
2018-04-01,83
2018-04-02,81
2018-04-03,76
2018-04-04,75
2018-04-05,73
2018-04-06,73
2018-04-07,77
2018-04-08,75
2018-04-09,76
2018-04-10,75
2018-04-11,75
2018-04-12,73
2018-04-13,72
2018-04-14,76
2018-04-15,77
2018-04-16,75
2018-04-17,75
2018-04-18,76
2018-04-19,71
2018-04-20,71
2018-04-21,69
2018-04-22,75
2018-04-23,75
2018-04-24,72
2018-04-25,74
2018-04-26,72
2018-04-27,71
2018-04-28,73
2018-04-29,72
2018-04-30,76
2018-05-01,74
2018-05-02,72
2018-05-03,70
2018-05-04,69
2018-05-05,72
2018-05-06,75
2018-05-07,72
2018-05-08,70
2018-05-09,73
2018-05-10,73
2018-05-11,70
2018-05-12,72
2018-05-13,73
2018-05-14,70
2018-05-15,71
2018-05-16,73
2018-05-17,77
2018-05-18,69
2018-05-19,76
2018-05-20,74
2018-05-21,79
2018-05-22,72
2018-05-23,72
2018-05-24,73
2018-05-25,72
2018-05-26,74
2018-05-27,74
2018-05-28,73
2018-05-29,72
2018-05-30,78
2018-05-31,74
2018-06-01,76
2018-06-02,74
2018-06-03,80
2018-06-04,72
2018-06-05,74
2018-06-06,73
2018-06-07,71
2018-06-08,72
2018-06-09,79
2018-06-10,77
2018-06-11,73
2018-06-12,73
2018-06-13,75
2018-06-14,73
