Category: All categories

Day,plus: (Worldwide)
2017-11-14,82
2017-11-15,84
2017-11-16,81
2017-11-17,85
2017-11-18,87
2017-11-19,91
2017-11-20,82
2017-11-21,83
2017-11-22,83
2017-11-23,84
2017-11-24,100
2017-11-25,96
2017-11-26,91
2017-11-27,86
2017-11-28,86
2017-11-29,82
2017-11-30,84
2017-12-01,82
2017-12-02,84
2017-12-03,85
2017-12-04,84
2017-12-05,85
2017-12-06,81
2017-12-07,80
2017-12-08,82
2017-12-09,84
2017-12-10,85
2017-12-11,85
2017-12-12,84
2017-12-13,82
2017-12-14,81
2017-12-15,80
2017-12-16,83
2017-12-17,87
2017-12-18,82
2017-12-19,79
2017-12-20,82
2017-12-21,83
2017-12-22,81
2017-12-23,84
2017-12-24,79
2017-12-25,90
2017-12-26,93
2017-12-27,92
2017-12-28,87
2017-12-29,89
2017-12-30,87
2017-12-31,75
2018-01-01,79
2018-01-02,83
2018-01-03,84
2018-01-04,86
2018-01-05,83
2018-01-06,83
2018-01-07,82
2018-01-08,81
2018-01-09,83
2018-01-10,83
2018-01-11,81
2018-01-12,80
2018-01-13,81
2018-01-14,86
2018-01-15,80
2018-01-16,77
2018-01-17,78
2018-01-18,84
2018-01-19,78
2018-01-20,83
2018-01-21,80
2018-01-22,82
2018-01-23,80
2018-01-24,78
2018-01-25,77
2018-01-26,77
2018-01-27,80
2018-01-28,79
2018-01-29,83
2018-01-30,79
2018-01-31,81
2018-02-01,81
2018-02-02,82
2018-02-03,80
2018-02-04,79
2018-02-05,76
2018-02-06,83
2018-02-07,81
2018-02-08,81
2018-02-09,84
2018-02-10,79
2018-02-11,84
2018-02-12,79
2018-02-13,79
2018-02-14,78
2018-02-15,83
2018-02-16,84
2018-02-17,87
2018-02-18,80
2018-02-19,80
2018-02-20,81
2018-02-21,78
2018-02-22,85
2018-02-23,80
2018-02-24,87
2018-02-25,82
2018-02-26,88
2018-02-27,85
2018-02-28,85
2018-03-01,87
2018-03-02,87
2018-03-03,85
2018-03-04,85
2018-03-05,81
2018-03-06,82
2018-03-07,84
2018-03-08,82
2018-03-09,82
2018-03-10,84
2018-03-11,82
2018-03-12,82
2018-03-13,80
2018-03-14,83
2018-03-15,83
2018-03-16,82
2018-03-17,86
2018-03-18,89
2018-03-19,80
2018-03-20,80
2018-03-21,81
2018-03-22,80
2018-03-23,79
2018-03-24,79
2018-03-25,85
2018-03-26,81
2018-03-27,82
2018-03-28,88
2018-03-29,86
2018-03-30,85
2018-03-31,82
2018-04-01,82
2018-04-02,84
2018-04-03,84
2018-04-04,83
2018-04-05,83
2018-04-06,79
2018-04-07,84
2018-04-08,79
2018-04-09,80
2018-04-10,82
2018-04-11,81
2018-04-12,79
2018-04-13,81
2018-04-14,83
2018-04-15,82
2018-04-16,78
2018-04-17,80
2018-04-18,79
2018-04-19,81
2018-04-20,79
2018-04-21,81
2018-04-22,81
2018-04-23,83
2018-04-24,79
2018-04-25,79
2018-04-26,79
2018-04-27,76
2018-04-28,79
2018-04-29,79
2018-04-30,81
2018-05-01,80
2018-05-02,81
2018-05-03,81
2018-05-04,80
2018-05-05,76
2018-05-06,85
2018-05-07,79
2018-05-08,81
2018-05-09,81
2018-05-10,90
2018-05-11,83
2018-05-12,81
2018-05-13,82
2018-05-14,80
2018-05-15,82
2018-05-16,84
2018-05-17,85
2018-05-18,84
2018-05-19,81
2018-05-20,84
2018-05-21,83
2018-05-22,84
2018-05-23,84
2018-05-24,82
2018-05-25,79
2018-05-26,84
2018-05-27,87
2018-05-28,87
2018-05-29,87
2018-05-30,88
2018-05-31,87
2018-06-01,80
2018-06-02,84
2018-06-03,84
2018-06-04,81
2018-06-05,82
2018-06-06,80
2018-06-07,79
2018-06-08,80
2018-06-09,83
2018-06-10,87
2018-06-11,82
2018-06-12,86
2018-06-13,85
2018-06-14,80
