Category: All categories

Day,powers: (Worldwide)
2017-11-14,40
2017-11-15,41
2017-11-16,40
2017-11-17,38
2017-11-18,34
2017-11-19,38
2017-11-20,37
2017-11-21,35
2017-11-22,32
2017-11-23,28
2017-11-24,29
2017-11-25,33
2017-11-26,37
2017-11-27,41
2017-11-28,42
2017-11-29,42
2017-11-30,42
2017-12-01,43
2017-12-02,32
2017-12-03,37
2017-12-04,41
2017-12-05,42
2017-12-06,41
2017-12-07,46
2017-12-08,42
2017-12-09,35
2017-12-10,35
2017-12-11,40
2017-12-12,43
2017-12-13,46
2017-12-14,44
2017-12-15,41
2017-12-16,35
2017-12-17,35
2017-12-18,37
2017-12-19,38
2017-12-20,38
2017-12-21,34
2017-12-22,30
2017-12-23,30
2017-12-24,31
2017-12-25,30
2017-12-26,29
2017-12-27,31
2017-12-28,31
2017-12-29,32
2017-12-30,36
2017-12-31,34
2018-01-01,36
2018-01-02,32
2018-01-03,34
2018-01-04,33
2018-01-05,37
2018-01-06,38
2018-01-07,33
2018-01-08,36
2018-01-09,37
2018-01-10,39
2018-01-11,40
2018-01-12,36
2018-01-13,34
2018-01-14,32
2018-01-15,31
2018-01-16,34
2018-01-17,39
2018-01-18,39
2018-01-19,42
2018-01-20,34
2018-01-21,34
2018-01-22,38
2018-01-23,39
2018-01-24,40
2018-01-25,41
2018-01-26,42
2018-01-27,32
2018-01-28,32
2018-01-29,39
2018-01-30,45
2018-01-31,40
2018-02-01,43
2018-02-02,40
2018-02-03,35
2018-02-04,34
2018-02-05,40
2018-02-06,41
2018-02-07,40
2018-02-08,46
2018-02-09,39
2018-02-10,36
2018-02-11,36
2018-02-12,43
2018-02-13,43
2018-02-14,43
2018-02-15,41
2018-02-16,37
2018-02-17,34
2018-02-18,34
2018-02-19,37
2018-02-20,42
2018-02-21,41
2018-02-22,44
2018-02-23,42
2018-02-24,35
2018-02-25,36
2018-02-26,41
2018-02-27,41
2018-02-28,41
2018-03-01,41
2018-03-02,40
2018-03-03,32
2018-03-04,35
2018-03-05,42
2018-03-06,42
2018-03-07,43
2018-03-08,45
2018-03-09,45
2018-03-10,35
2018-03-11,38
2018-03-12,38
2018-03-13,40
2018-03-14,40
2018-03-15,37
2018-03-16,37
2018-03-17,36
2018-03-18,35
2018-03-19,42
2018-03-20,41
2018-03-21,39
2018-03-22,41
2018-03-23,39
2018-03-24,34
2018-03-25,34
2018-03-26,38
2018-03-27,38
2018-03-28,38
2018-03-29,38
2018-03-30,34
2018-03-31,32
2018-04-01,32
2018-04-02,39
2018-04-03,39
2018-04-04,36
2018-04-05,41
2018-04-06,41
2018-04-07,35
2018-04-08,35
2018-04-09,42
2018-04-10,46
2018-04-11,41
2018-04-12,40
2018-04-13,40
2018-04-14,43
2018-04-15,38
2018-04-16,42
2018-04-17,50
2018-04-18,43
2018-04-19,45
2018-04-20,38
2018-04-21,61
2018-04-22,100
2018-04-23,60
2018-04-24,53
2018-04-25,53
2018-04-26,51
2018-04-27,56
2018-04-28,69
2018-04-29,77
2018-04-30,76
2018-05-01,76
2018-05-02,61
2018-05-03,57
2018-05-04,52
2018-05-05,45
2018-05-06,49
2018-05-07,61
2018-05-08,48
2018-05-09,48
2018-05-10,49
2018-05-11,43
2018-05-12,38
2018-05-13,42
2018-05-14,44
2018-05-15,40
2018-05-16,40
2018-05-17,41
2018-05-18,37
2018-05-19,35
2018-05-20,37
2018-05-21,43
2018-05-22,42
2018-05-23,37
2018-05-24,38
2018-05-25,36
2018-05-26,34
2018-05-27,37
2018-05-28,31
2018-05-29,36
2018-05-30,35
2018-05-31,34
2018-06-01,36
2018-06-02,36
2018-06-03,34
2018-06-04,32
2018-06-05,32
2018-06-06,33
2018-06-07,33
2018-06-08,33
2018-06-09,33
2018-06-10,35
2018-06-11,33
2018-06-12,33
2018-06-13,31
2018-06-14,31
