Category: All categories

Day,public: (Worldwide)
2017-11-14,75
2017-11-15,74
2017-11-16,75
2017-11-17,71
2017-11-18,58
2017-11-19,58
2017-11-20,72
2017-11-21,73
2017-11-22,69
2017-11-23,60
2017-11-24,61
2017-11-25,54
2017-11-26,56
2017-11-27,74
2017-11-28,74
2017-11-29,74
2017-11-30,73
2017-12-01,67
2017-12-02,55
2017-12-03,56
2017-12-04,75
2017-12-05,76
2017-12-06,74
2017-12-07,74
2017-12-08,68
2017-12-09,56
2017-12-10,55
2017-12-11,72
2017-12-12,75
2017-12-13,75
2017-12-14,77
2017-12-15,72
2017-12-16,54
2017-12-17,57
2017-12-18,75
2017-12-19,70
2017-12-20,70
2017-12-21,70
2017-12-22,64
2017-12-23,52
2017-12-24,47
2017-12-25,46
2017-12-26,62
2017-12-27,68
2017-12-28,65
2017-12-29,64
2017-12-30,58
2017-12-31,63
2018-01-01,64
2018-01-02,82
2018-01-03,79
2018-01-04,100
2018-01-05,87
2018-01-06,60
2018-01-07,63
2018-01-08,91
2018-01-09,88
2018-01-10,78
2018-01-11,77
2018-01-12,75
2018-01-13,58
2018-01-14,56
2018-01-15,74
2018-01-16,79
2018-01-17,96
2018-01-18,82
2018-01-19,73
2018-01-20,59
2018-01-21,59
2018-01-22,78
2018-01-23,79
2018-01-24,79
2018-01-25,78
2018-01-26,73
2018-01-27,61
2018-01-28,56
2018-01-29,80
2018-01-30,87
2018-01-31,77
2018-02-01,80
2018-02-02,78
2018-02-03,59
2018-02-04,57
2018-02-05,80
2018-02-06,81
2018-02-07,90
2018-02-08,83
2018-02-09,71
2018-02-10,59
2018-02-11,59
2018-02-12,80
2018-02-13,77
2018-02-14,73
2018-02-15,73
2018-02-16,71
2018-02-17,59
2018-02-18,60
2018-02-19,74
2018-02-20,80
2018-02-21,78
2018-02-22,80
2018-02-23,74
2018-02-24,61
2018-02-25,58
2018-02-26,79
2018-02-27,78
2018-02-28,77
2018-03-01,78
2018-03-02,79
2018-03-03,59
2018-03-04,61
2018-03-05,82
2018-03-06,83
2018-03-07,95
2018-03-08,87
2018-03-09,78
2018-03-10,58
2018-03-11,62
2018-03-12,85
2018-03-13,86
2018-03-14,76
2018-03-15,79
2018-03-16,69
2018-03-17,58
2018-03-18,57
2018-03-19,80
2018-03-20,90
2018-03-21,94
2018-03-22,88
2018-03-23,73
2018-03-24,61
2018-03-25,60
2018-03-26,80
2018-03-27,84
2018-03-28,80
2018-03-29,82
2018-03-30,76
2018-03-31,61
2018-04-01,60
2018-04-02,85
2018-04-03,81
2018-04-04,77
2018-04-05,78
2018-04-06,73
2018-04-07,58
2018-04-08,58
2018-04-09,82
2018-04-10,81
2018-04-11,76
2018-04-12,75
2018-04-13,72
2018-04-14,55
2018-04-15,59
2018-04-16,79
2018-04-17,77
2018-04-18,76
2018-04-19,76
2018-04-20,71
2018-04-21,57
2018-04-22,57
2018-04-23,78
2018-04-24,75
2018-04-25,76
2018-04-26,73
2018-04-27,72
2018-04-28,57
2018-04-29,60
2018-04-30,83
2018-05-01,78
2018-05-02,75
2018-05-03,73
2018-05-04,72
2018-05-05,53
2018-05-06,62
2018-05-07,79
2018-05-08,73
2018-05-09,75
2018-05-10,71
2018-05-11,66
2018-05-12,56
2018-05-13,52
2018-05-14,74
2018-05-15,88
2018-05-16,83
2018-05-17,76
2018-05-18,70
2018-05-19,60
2018-05-20,56
2018-05-21,75
2018-05-22,78
2018-05-23,82
2018-05-24,74
2018-05-25,71
2018-05-26,60
2018-05-27,58
2018-05-28,69
2018-05-29,78
2018-05-30,76
2018-05-31,77
2018-06-01,73
2018-06-02,60
2018-06-03,61
2018-06-04,77
2018-06-05,75
2018-06-06,77
2018-06-07,74
2018-06-08,68
2018-06-09,59
2018-06-10,61
2018-06-11,79
2018-06-12,74
2018-06-13,77
2018-06-14,74
