Category: All categories

Day,serials: (Worldwide)
2017-11-14,92
2017-11-15,88
2017-11-16,84
2017-11-17,89
2017-11-18,85
2017-11-19,69
2017-11-20,76
2017-11-21,81
2017-11-22,82
2017-11-23,82
2017-11-24,81
2017-11-25,85
2017-11-26,78
2017-11-27,75
2017-11-28,87
2017-11-29,85
2017-11-30,89
2017-12-01,89
2017-12-02,82
2017-12-03,70
2017-12-04,73
2017-12-05,82
2017-12-06,84
2017-12-07,84
2017-12-08,85
2017-12-09,84
2017-12-10,68
2017-12-11,71
2017-12-12,80
2017-12-13,81
2017-12-14,82
2017-12-15,83
2017-12-16,80
2017-12-17,68
2017-12-18,73
2017-12-19,81
2017-12-20,100
2017-12-21,95
2017-12-22,93
2017-12-23,90
2017-12-24,77
2017-12-25,88
2017-12-26,93
2017-12-27,92
2017-12-28,86
2017-12-29,89
2017-12-30,84
2017-12-31,64
2018-01-01,73
2018-01-02,79
2018-01-03,78
2018-01-04,80
2018-01-05,85
2018-01-06,82
2018-01-07,69
2018-01-08,73
2018-01-09,79
2018-01-10,79
2018-01-11,79
2018-01-12,82
2018-01-13,78
2018-01-14,69
2018-01-15,63
2018-01-16,75
2018-01-17,73
2018-01-18,76
2018-01-19,76
2018-01-20,78
2018-01-21,65
2018-01-22,66
2018-01-23,75
2018-01-24,74
2018-01-25,73
2018-01-26,76
2018-01-27,73
2018-01-28,60
2018-01-29,67
2018-01-30,73
2018-01-31,74
2018-02-01,75
2018-02-02,76
2018-02-03,77
2018-02-04,61
2018-02-05,68
2018-02-06,73
2018-02-07,75
2018-02-08,81
2018-02-09,77
2018-02-10,76
2018-02-11,61
2018-02-12,68
2018-02-13,73
2018-02-14,75
2018-02-15,73
2018-02-16,83
2018-02-17,85
2018-02-18,65
2018-02-19,71
2018-02-20,76
2018-02-21,80
2018-02-22,80
2018-02-23,79
2018-02-24,81
2018-02-25,60
2018-02-26,72
2018-02-27,75
2018-02-28,72
2018-03-01,73
2018-03-02,81
2018-03-03,71
2018-03-04,60
2018-03-05,66
2018-03-06,70
2018-03-07,75
2018-03-08,75
2018-03-09,77
2018-03-10,79
2018-03-11,61
2018-03-12,70
2018-03-13,75
2018-03-14,74
2018-03-15,82
2018-03-16,82
2018-03-17,77
2018-03-18,65
2018-03-19,72
2018-03-20,77
2018-03-21,87
2018-03-22,75
2018-03-23,82
2018-03-24,81
2018-03-25,66
2018-03-26,77
2018-03-27,88
2018-03-28,94
2018-03-29,88
2018-03-30,94
2018-03-31,83
2018-04-01,73
2018-04-02,84
2018-04-03,85
2018-04-04,88
2018-04-05,93
2018-04-06,100
2018-04-07,92
2018-04-08,68
2018-04-09,76
2018-04-10,87
2018-04-11,90
2018-04-12,92
2018-04-13,89
2018-04-14,81
2018-04-15,66
2018-04-16,86
2018-04-17,93
2018-04-18,82
2018-04-19,95
2018-04-20,94
2018-04-21,90
2018-04-22,69
2018-04-23,81
2018-04-24,86
2018-04-25,92
2018-04-26,90
2018-04-27,94
2018-04-28,87
2018-04-29,64
2018-04-30,80
2018-05-01,93
2018-05-02,87
2018-05-03,87
2018-05-04,96
2018-05-05,84
2018-05-06,65
2018-05-07,82
2018-05-08,89
2018-05-09,86
2018-05-10,88
2018-05-11,88
2018-05-12,80
2018-05-13,61
2018-05-14,75
2018-05-15,80
2018-05-16,85
2018-05-17,90
2018-05-18,84
2018-05-19,80
2018-05-20,66
2018-05-21,78
2018-05-22,90
2018-05-23,87
2018-05-24,88
2018-05-25,93
2018-05-26,82
2018-05-27,67
2018-05-28,80
2018-05-29,92
2018-05-30,97
2018-05-31,89
2018-06-01,96
2018-06-02,95
2018-06-03,72
2018-06-04,91
2018-06-05,100
2018-06-06,94
2018-06-07,94
2018-06-08,94
2018-06-09,93
2018-06-10,78
2018-06-11,84
2018-06-12,92
2018-06-13,92
2018-06-14,92
