Category: All categories

Day,sham: (Worldwide)
2017-11-14,56
2017-11-15,54
2017-11-16,57
2017-11-17,58
2017-11-18,59
2017-11-19,61
2017-11-20,50
2017-11-21,58
2017-11-22,55
2017-11-23,59
2017-11-24,61
2017-11-25,66
2017-11-26,67
2017-11-27,55
2017-11-28,56
2017-11-29,54
2017-11-30,56
2017-12-01,53
2017-12-02,59
2017-12-03,60
2017-12-04,53
2017-12-05,57
2017-12-06,54
2017-12-07,53
2017-12-08,56
2017-12-09,57
2017-12-10,59
2017-12-11,53
2017-12-12,53
2017-12-13,55
2017-12-14,56
2017-12-15,54
2017-12-16,59
2017-12-17,55
2017-12-18,54
2017-12-19,55
2017-12-20,55
2017-12-21,55
2017-12-22,56
2017-12-23,57
2017-12-24,60
2017-12-25,61
2017-12-26,60
2017-12-27,61
2017-12-28,57
2017-12-29,61
2017-12-30,61
2017-12-31,63
2018-01-01,57
2018-01-02,55
2018-01-03,56
2018-01-04,57
2018-01-05,58
2018-01-06,58
2018-01-07,60
2018-01-08,54
2018-01-09,54
2018-01-10,52
2018-01-11,57
2018-01-12,55
2018-01-13,58
2018-01-14,59
2018-01-15,55
2018-01-16,53
2018-01-17,57
2018-01-18,63
2018-01-19,59
2018-01-20,60
2018-01-21,58
2018-01-22,56
2018-01-23,58
2018-01-24,58
2018-01-25,54
2018-01-26,57
2018-01-27,53
2018-01-28,58
2018-01-29,56
2018-01-30,54
2018-01-31,56
2018-02-01,54
2018-02-02,54
2018-02-03,58
2018-02-04,56
2018-02-05,51
2018-02-06,52
2018-02-07,56
2018-02-08,65
2018-02-09,59
2018-02-10,55
2018-02-11,59
2018-02-12,56
2018-02-13,52
2018-02-14,54
2018-02-15,53
2018-02-16,53
2018-02-17,56
2018-02-18,55
2018-02-19,51
2018-02-20,48
2018-02-21,57
2018-02-22,61
2018-02-23,65
2018-02-24,59
2018-02-25,61
2018-02-26,70
2018-02-27,66
2018-02-28,67
2018-03-01,68
2018-03-02,74
2018-03-03,71
2018-03-04,68
2018-03-05,63
2018-03-06,61
2018-03-07,66
2018-03-08,62
2018-03-09,67
2018-03-10,61
2018-03-11,71
2018-03-12,63
2018-03-13,64
2018-03-14,66
2018-03-15,71
2018-03-16,66
2018-03-17,66
2018-03-18,62
2018-03-19,62
2018-03-20,63
2018-03-21,64
2018-03-22,58
2018-03-23,59
2018-03-24,62
2018-03-25,68
2018-03-26,53
2018-03-27,53
2018-03-28,57
2018-03-29,62
2018-03-30,64
2018-03-31,60
2018-04-01,62
2018-04-02,57
2018-04-03,58
2018-04-04,53
2018-04-05,56
2018-04-06,57
2018-04-07,58
2018-04-08,59
2018-04-09,67
2018-04-10,54
2018-04-11,64
2018-04-12,100
2018-04-13,96
2018-04-14,96
2018-04-15,74
2018-04-16,62
2018-04-17,63
2018-04-18,66
2018-04-19,63
2018-04-20,75
2018-04-21,73
2018-04-22,65
2018-04-23,57
2018-04-24,64
2018-04-25,56
2018-04-26,69
2018-04-27,62
2018-04-28,63
2018-04-29,62
2018-04-30,56
2018-05-01,58
2018-05-02,56
2018-05-03,55
2018-05-04,56
2018-05-05,63
2018-05-06,68
2018-05-07,69
2018-05-08,69
2018-05-09,66
2018-05-10,71
2018-05-11,73
2018-05-12,67
2018-05-13,63
2018-05-14,63
2018-05-15,60
2018-05-16,58
2018-05-17,65
2018-05-18,64
2018-05-19,61
2018-05-20,65
2018-05-21,70
2018-05-22,65
2018-05-23,63
2018-05-24,69
2018-05-25,66
2018-05-26,67
2018-05-27,65
2018-05-28,64
2018-05-29,67
2018-05-30,66
2018-05-31,69
2018-06-01,60
2018-06-02,64
2018-06-03,74
2018-06-04,61
2018-06-05,62
2018-06-06,59
2018-06-07,65
2018-06-08,66
2018-06-09,64
2018-06-10,74
2018-06-11,62
2018-06-12,66
2018-06-13,64
2018-06-14,62
