Category: All categories

Day,sharma: (Worldwide)
2017-11-14,19
2017-11-15,18
2017-11-16,18
2017-11-17,18
2017-11-18,19
2017-11-19,19
2017-11-20,16
2017-11-21,16
2017-11-22,18
2017-11-23,17
2017-11-24,19
2017-11-25,21
2017-11-26,24
2017-11-27,17
2017-11-28,17
2017-11-29,17
2017-11-30,17
2017-12-01,16
2017-12-02,22
2017-12-03,21
2017-12-04,16
2017-12-05,16
2017-12-06,20
2017-12-07,26
2017-12-08,29
2017-12-09,32
2017-12-10,31
2017-12-11,65
2017-12-12,89
2017-12-13,100
2017-12-14,57
2017-12-15,43
2017-12-16,40
2017-12-17,36
2017-12-18,25
2017-12-19,24
2017-12-20,27
2017-12-21,32
2017-12-22,50
2017-12-23,44
2017-12-24,38
2017-12-25,31
2017-12-26,31
2017-12-27,32
2017-12-28,27
2017-12-29,25
2017-12-30,26
2017-12-31,25
2018-01-01,25
2018-01-02,21
2018-01-03,21
2018-01-04,19
2018-01-05,21
2018-01-06,22
2018-01-07,22
2018-01-08,19
2018-01-09,18
2018-01-10,18
2018-01-11,18
2018-01-12,18
2018-01-13,22
2018-01-14,22
2018-01-15,19
2018-01-16,18
2018-01-17,18
2018-01-18,18
2018-01-19,19
2018-01-20,20
2018-01-21,21
2018-01-22,16
2018-01-23,17
2018-01-24,17
2018-01-25,16
2018-01-26,16
2018-01-27,21
2018-01-28,20
2018-01-29,17
2018-01-30,17
2018-01-31,17
2018-02-01,17
2018-02-02,18
2018-02-03,19
2018-02-04,20
2018-02-05,17
2018-02-06,17
2018-02-07,19
2018-02-08,18
2018-02-09,17
2018-02-10,21
2018-02-11,20
2018-02-12,17
2018-02-13,21
2018-02-14,18
2018-02-15,16
2018-02-16,17
2018-02-17,20
2018-02-18,19
2018-02-19,17
2018-02-20,18
2018-02-21,17
2018-02-22,17
2018-02-23,17
2018-02-24,21
2018-02-25,18
2018-02-26,16
2018-02-27,16
2018-02-28,15
2018-03-01,16
2018-03-02,20
2018-03-03,23
2018-03-04,22
2018-03-05,18
2018-03-06,18
2018-03-07,18
2018-03-08,17
2018-03-09,18
2018-03-10,20
2018-03-11,21
2018-03-12,18
2018-03-13,17
2018-03-14,19
2018-03-15,18
2018-03-16,18
2018-03-17,21
2018-03-18,24
2018-03-19,20
2018-03-20,19
2018-03-21,18
2018-03-22,19
2018-03-23,19
2018-03-24,24
2018-03-25,31
2018-03-26,25
2018-03-27,21
2018-03-28,20
2018-03-29,20
2018-03-30,21
2018-03-31,22
2018-04-01,26
2018-04-02,21
2018-04-03,19
2018-04-04,19
2018-04-05,20
2018-04-06,21
2018-04-07,29
2018-04-08,27
2018-04-09,22
2018-04-10,21
2018-04-11,21
2018-04-12,23
2018-04-13,23
2018-04-14,28
2018-04-15,25
2018-04-16,19
2018-04-17,22
2018-04-18,20
2018-04-19,20
2018-04-20,20
2018-04-21,24
2018-04-22,24
2018-04-23,20
2018-04-24,21
2018-04-25,21
2018-04-26,20
2018-04-27,19
2018-04-28,26
2018-04-29,26
2018-04-30,28
2018-05-01,35
2018-05-02,23
2018-05-03,20
2018-05-04,20
2018-05-05,22
2018-05-06,23
2018-05-07,19
2018-05-08,20
2018-05-09,21
2018-05-10,20
2018-05-11,21
2018-05-12,27
2018-05-13,23
2018-05-14,20
2018-05-15,18
2018-05-16,20
2018-05-17,19
2018-05-18,20
2018-05-19,21
2018-05-20,24
2018-05-21,20
2018-05-22,19
2018-05-23,18
2018-05-24,20
2018-05-25,20
2018-05-26,22
2018-05-27,24
2018-05-28,20
2018-05-29,19
2018-05-30,21
2018-05-31,21
2018-06-01,20
2018-06-02,23
2018-06-03,23
2018-06-04,18
2018-06-05,20
2018-06-06,20
2018-06-07,19
2018-06-08,19
2018-06-09,22
2018-06-10,22
2018-06-11,19
2018-06-12,21
2018-06-13,20
2018-06-14,21
