Category: All categories

Day,song: (Worldwide)
2017-11-14,64
2017-11-15,62
2017-11-16,68
2017-11-17,68
2017-11-18,77
2017-11-19,81
2017-11-20,61
2017-11-21,63
2017-11-22,65
2017-11-23,67
2017-11-24,69
2017-11-25,75
2017-11-26,77
2017-11-27,63
2017-11-28,63
2017-11-29,66
2017-11-30,66
2017-12-01,71
2017-12-02,81
2017-12-03,79
2017-12-04,61
2017-12-05,64
2017-12-06,64
2017-12-07,67
2017-12-08,71
2017-12-09,81
2017-12-10,83
2017-12-11,62
2017-12-12,65
2017-12-13,69
2017-12-14,69
2017-12-15,73
2017-12-16,81
2017-12-17,84
2017-12-18,70
2017-12-19,69
2017-12-20,74
2017-12-21,77
2017-12-22,77
2017-12-23,88
2017-12-24,100
2017-12-25,91
2017-12-26,75
2017-12-27,71
2017-12-28,71
2017-12-29,77
2017-12-30,86
2017-12-31,96
2018-01-01,84
2018-01-02,66
2018-01-03,65
2018-01-04,66
2018-01-05,66
2018-01-06,77
2018-01-07,77
2018-01-08,62
2018-01-09,63
2018-01-10,63
2018-01-11,70
2018-01-12,74
2018-01-13,83
2018-01-14,81
2018-01-15,67
2018-01-16,64
2018-01-17,65
2018-01-18,68
2018-01-19,73
2018-01-20,81
2018-01-21,84
2018-01-22,64
2018-01-23,69
2018-01-24,72
2018-01-25,70
2018-01-26,73
2018-01-27,80
2018-01-28,82
2018-01-29,67
2018-01-30,65
2018-01-31,67
2018-02-01,64
2018-02-02,71
2018-02-03,81
2018-02-04,78
2018-02-05,64
2018-02-06,66
2018-02-07,65
2018-02-08,67
2018-02-09,70
2018-02-10,77
2018-02-11,84
2018-02-12,72
2018-02-13,69
2018-02-14,70
2018-02-15,67
2018-02-16,73
2018-02-17,81
2018-02-18,80
2018-02-19,67
2018-02-20,65
2018-02-21,65
2018-02-22,68
2018-02-23,72
2018-02-24,82
2018-02-25,79
2018-02-26,65
2018-02-27,67
2018-02-28,64
2018-03-01,71
2018-03-02,73
2018-03-03,80
2018-03-04,77
2018-03-05,65
2018-03-06,62
2018-03-07,65
2018-03-08,64
2018-03-09,72
2018-03-10,81
2018-03-11,84
2018-03-12,64
2018-03-13,67
2018-03-14,67
2018-03-15,69
2018-03-16,75
2018-03-17,85
2018-03-18,81
2018-03-19,68
2018-03-20,70
2018-03-21,69
2018-03-22,70
2018-03-23,69
2018-03-24,87
2018-03-25,81
2018-03-26,68
2018-03-27,68
2018-03-28,71
2018-03-29,75
2018-03-30,81
2018-03-31,81
2018-04-01,85
2018-04-02,66
2018-04-03,65
2018-04-04,67
2018-04-05,66
2018-04-06,71
2018-04-07,81
2018-04-08,80
2018-04-09,65
2018-04-10,67
2018-04-11,65
2018-04-12,63
2018-04-13,72
2018-04-14,83
2018-04-15,80
2018-04-16,66
2018-04-17,67
2018-04-18,68
2018-04-19,68
2018-04-20,71
2018-04-21,83
2018-04-22,83
2018-04-23,66
2018-04-24,67
2018-04-25,64
2018-04-26,66
2018-04-27,75
2018-04-28,84
2018-04-29,78
2018-04-30,72
2018-05-01,73
2018-05-02,70
2018-05-03,69
2018-05-04,71
2018-05-05,83
2018-05-06,85
2018-05-07,66
2018-05-08,63
2018-05-09,69
2018-05-10,72
2018-05-11,73
2018-05-12,93
2018-05-13,89
2018-05-14,67
2018-05-15,68
2018-05-16,68
2018-05-17,72
2018-05-18,74
2018-05-19,83
2018-05-20,84
2018-05-21,68
2018-05-22,67
2018-05-23,70
2018-05-24,76
2018-05-25,76
2018-05-26,89
2018-05-27,86
2018-05-28,74
2018-05-29,70
2018-05-30,73
2018-05-31,85
2018-06-01,87
2018-06-02,93
2018-06-03,90
2018-06-04,68
2018-06-05,70
2018-06-06,69
2018-06-07,69
2018-06-08,73
2018-06-09,86
2018-06-10,89
2018-06-11,66
2018-06-12,67
2018-06-13,66
2018-06-14,76
