Category: All categories

Day,tamil: (Worldwide)
2017-11-14,73
2017-11-15,72
2017-11-16,74
2017-11-17,82
2017-11-18,84
2017-11-19,87
2017-11-20,70
2017-11-21,74
2017-11-22,69
2017-11-23,76
2017-11-24,78
2017-11-25,81
2017-11-26,85
2017-11-27,72
2017-11-28,72
2017-11-29,70
2017-11-30,74
2017-12-01,84
2017-12-02,83
2017-12-03,85
2017-12-04,70
2017-12-05,70
2017-12-06,72
2017-12-07,72
2017-12-08,80
2017-12-09,88
2017-12-10,81
2017-12-11,71
2017-12-12,72
2017-12-13,72
2017-12-14,76
2017-12-15,79
2017-12-16,87
2017-12-17,83
2017-12-18,78
2017-12-19,75
2017-12-20,75
2017-12-21,80
2017-12-22,91
2017-12-23,92
2017-12-24,100
2017-12-25,97
2017-12-26,88
2017-12-27,82
2017-12-28,80
2017-12-29,87
2017-12-30,94
2017-12-31,86
2018-01-01,81
2018-01-02,77
2018-01-03,76
2018-01-04,76
2018-01-05,75
2018-01-06,82
2018-01-07,80
2018-01-08,71
2018-01-09,73
2018-01-10,72
2018-01-11,70
2018-01-12,81
2018-01-13,83
2018-01-14,79
2018-01-15,70
2018-01-16,69
2018-01-17,71
2018-01-18,69
2018-01-19,75
2018-01-20,84
2018-01-21,81
2018-01-22,67
2018-01-23,68
2018-01-24,68
2018-01-25,74
2018-01-26,77
2018-01-27,86
2018-01-28,85
2018-01-29,67
2018-01-30,74
2018-01-31,73
2018-02-01,70
2018-02-02,73
2018-02-03,82
2018-02-04,78
2018-02-05,71
2018-02-06,69
2018-02-07,71
2018-02-08,72
2018-02-09,75
2018-02-10,85
2018-02-11,81
2018-02-12,74
2018-02-13,73
2018-02-14,72
2018-02-15,71
2018-02-16,79
2018-02-17,89
2018-02-18,79
2018-02-19,68
2018-02-20,71
2018-02-21,70
2018-02-22,78
2018-02-23,77
2018-02-24,86
2018-02-25,79
2018-02-26,71
2018-02-27,75
2018-02-28,68
2018-03-01,73
2018-03-02,77
2018-03-03,83
2018-03-04,74
2018-03-05,69
2018-03-06,71
2018-03-07,75
2018-03-08,75
2018-03-09,77
2018-03-10,84
2018-03-11,80
2018-03-12,71
2018-03-13,68
2018-03-14,73
2018-03-15,80
2018-03-16,78
2018-03-17,91
2018-03-18,77
2018-03-19,74
2018-03-20,75
2018-03-21,72
2018-03-22,77
2018-03-23,76
2018-03-24,87
2018-03-25,82
2018-03-26,73
2018-03-27,73
2018-03-28,69
2018-03-29,81
2018-03-30,82
2018-03-31,84
2018-04-01,82
2018-04-02,73
2018-04-03,75
2018-04-04,72
2018-04-05,73
2018-04-06,74
2018-04-07,80
2018-04-08,76
2018-04-09,71
2018-04-10,71
2018-04-11,67
2018-04-12,71
2018-04-13,82
2018-04-14,89
2018-04-15,80
2018-04-16,71
2018-04-17,69
2018-04-18,73
2018-04-19,73
2018-04-20,73
2018-04-21,80
2018-04-22,75
2018-04-23,68
2018-04-24,68
2018-04-25,70
2018-04-26,71
2018-04-27,80
2018-04-28,85
2018-04-29,79
2018-04-30,73
2018-05-01,71
2018-05-02,67
2018-05-03,76
2018-05-04,77
2018-05-05,82
2018-05-06,81
2018-05-07,70
2018-05-08,74
2018-05-09,71
2018-05-10,74
2018-05-11,76
2018-05-12,82
2018-05-13,79
2018-05-14,73
2018-05-15,76
2018-05-16,76
2018-05-17,72
2018-05-18,76
2018-05-19,86
2018-05-20,76
2018-05-21,76
2018-05-22,74
2018-05-23,73
2018-05-24,72
2018-05-25,73
2018-05-26,82
2018-05-27,77
2018-05-28,75
2018-05-29,75
2018-05-30,74
2018-05-31,78
2018-06-01,75
2018-06-02,85
2018-06-03,79
2018-06-04,73
2018-06-05,71
2018-06-06,73
2018-06-07,84
2018-06-08,82
2018-06-09,92
2018-06-10,85
2018-06-11,75
2018-06-12,77
2018-06-13,79
2018-06-14,79
