Category: All categories

Day,life: (Worldwide)
2017-11-14,95
2017-11-15,96
2017-11-16,91
2017-11-17,93
2017-11-18,89
2017-11-19,92
2017-11-20,93
2017-11-21,91
2017-11-22,90
2017-11-23,83
2017-11-24,82
2017-11-25,85
2017-11-26,89
2017-11-27,87
2017-11-28,93
2017-11-29,92
2017-11-30,91
2017-12-01,90
2017-12-02,90
2017-12-03,89
2017-12-04,90
2017-12-05,96
2017-12-06,94
2017-12-07,88
2017-12-08,90
2017-12-09,85
2017-12-10,92
2017-12-11,91
2017-12-12,93
2017-12-13,91
2017-12-14,88
2017-12-15,88
2017-12-16,87
2017-12-17,91
2017-12-18,87
2017-12-19,91
2017-12-20,90
2017-12-21,88
2017-12-22,87
2017-12-23,85
2017-12-24,87
2017-12-25,89
2017-12-26,87
2017-12-27,91
2017-12-28,84
2017-12-29,87
2017-12-30,90
2017-12-31,88
2018-01-01,90
2018-01-02,88
2018-01-03,91
2018-01-04,87
2018-01-05,91
2018-01-06,91
2018-01-07,91
2018-01-08,91
2018-01-09,94
2018-01-10,92
2018-01-11,93
2018-01-12,95
2018-01-13,87
2018-01-14,89
2018-01-15,89
2018-01-16,90
2018-01-17,89
2018-01-18,100
2018-01-19,92
2018-01-20,95
2018-01-21,95
2018-01-22,94
2018-01-23,93
2018-01-24,93
2018-01-25,94
2018-01-26,88
2018-01-27,87
2018-01-28,89
2018-01-29,94
2018-01-30,93
2018-01-31,90
2018-02-01,95
2018-02-02,91
2018-02-03,87
2018-02-04,93
2018-02-05,100
2018-02-06,97
2018-02-07,88
2018-02-08,95
2018-02-09,89
2018-02-10,85
2018-02-11,94
2018-02-12,93
2018-02-13,89
2018-02-14,87
2018-02-15,86
2018-02-16,87
2018-02-17,86
2018-02-18,89
2018-02-19,89
2018-02-20,90
2018-02-21,91
2018-02-22,93
2018-02-23,94
2018-02-24,87
2018-02-25,87
2018-02-26,93
2018-02-27,91
2018-02-28,89
2018-03-01,92
2018-03-02,88
2018-03-03,89
2018-03-04,95
2018-03-05,93
2018-03-06,94
2018-03-07,95
2018-03-08,90
2018-03-09,92
2018-03-10,89
2018-03-11,88
2018-03-12,91
2018-03-13,91
2018-03-14,91
2018-03-15,94
2018-03-16,91
2018-03-17,85
2018-03-18,89
2018-03-19,91
2018-03-20,91
2018-03-21,92
2018-03-22,87
2018-03-23,90
2018-03-24,95
2018-03-25,92
2018-03-26,91
2018-03-27,92
2018-03-28,92
2018-03-29,89
2018-03-30,87
2018-03-31,82
2018-04-01,87
2018-04-02,89
2018-04-03,92
2018-04-04,89
2018-04-05,89
2018-04-06,86
2018-04-07,83
2018-04-08,85
2018-04-09,90
2018-04-10,87
2018-04-11,89
2018-04-12,90
2018-04-13,91
2018-04-14,82
2018-04-15,88
2018-04-16,89
2018-04-17,89
2018-04-18,87
2018-04-19,90
2018-04-20,92
2018-04-21,85
2018-04-22,88
2018-04-23,94
2018-04-24,93
2018-04-25,91
2018-04-26,88
2018-04-27,87
2018-04-28,83
2018-04-29,85
2018-04-30,92
2018-05-01,90
2018-05-02,91
2018-05-03,89
2018-05-04,88
2018-05-05,80
2018-05-06,90
2018-05-07,86
2018-05-08,89
2018-05-09,88
2018-05-10,89
2018-05-11,90
2018-05-12,87
2018-05-13,84
2018-05-14,92
2018-05-15,86
2018-05-16,86
2018-05-17,88
2018-05-18,88
2018-05-19,87
2018-05-20,91
2018-05-21,88
2018-05-22,92
2018-05-23,87
2018-05-24,89
2018-05-25,87
2018-05-26,85
2018-05-27,92
2018-05-28,83
2018-05-29,88
2018-05-30,93
2018-05-31,91
2018-06-01,89
2018-06-02,88
2018-06-03,89
2018-06-04,86
2018-06-05,90
2018-06-06,86
2018-06-07,86
2018-06-08,87
2018-06-09,88
2018-06-10,87
2018-06-11,87
2018-06-12,87
2018-06-13,86
2018-06-14,81
