Category: All categories

Day,vs: (Worldwide)
2017-11-14,56
2017-11-15,57
2017-11-16,61
2017-11-17,51
2017-11-18,73
2017-11-19,67
2017-11-20,56
2017-11-21,47
2017-11-22,49
2017-11-23,53
2017-11-24,58
2017-11-25,76
2017-11-26,72
2017-11-27,61
2017-11-28,49
2017-11-29,48
2017-11-30,46
2017-12-01,49
2017-12-02,67
2017-12-03,76
2017-12-04,54
2017-12-05,53
2017-12-06,56
2017-12-07,46
2017-12-08,50
2017-12-09,56
2017-12-10,80
2017-12-11,53
2017-12-12,49
2017-12-13,61
2017-12-14,46
2017-12-15,42
2017-12-16,54
2017-12-17,66
2017-12-18,46
2017-12-19,46
2017-12-20,52
2017-12-21,43
2017-12-22,54
2017-12-23,74
2017-12-24,56
2017-12-25,45
2017-12-26,49
2017-12-27,45
2017-12-28,43
2017-12-29,46
2017-12-30,50
2017-12-31,50
2018-01-01,46
2018-01-02,51
2018-01-03,48
2018-01-04,47
2018-01-05,57
2018-01-06,66
2018-01-07,65
2018-01-08,58
2018-01-09,66
2018-01-10,45
2018-01-11,48
2018-01-12,46
2018-01-13,57
2018-01-14,79
2018-01-15,61
2018-01-16,61
2018-01-17,53
2018-01-18,44
2018-01-19,44
2018-01-20,54
2018-01-21,73
2018-01-22,56
2018-01-23,46
2018-01-24,54
2018-01-25,59
2018-01-26,57
2018-01-27,65
2018-01-28,61
2018-01-29,44
2018-01-30,46
2018-01-31,48
2018-02-01,62
2018-02-02,47
2018-02-03,63
2018-02-04,72
2018-02-05,52
2018-02-06,44
2018-02-07,59
2018-02-08,49
2018-02-09,46
2018-02-10,73
2018-02-11,66
2018-02-12,47
2018-02-13,65
2018-02-14,72
2018-02-15,55
2018-02-16,59
2018-02-17,59
2018-02-18,69
2018-02-19,47
2018-02-20,61
2018-02-21,63
2018-02-22,53
2018-02-23,48
2018-02-24,65
2018-02-25,68
2018-02-26,46
2018-02-27,45
2018-02-28,46
2018-03-01,51
2018-03-02,47
2018-03-03,50
2018-03-04,73
2018-03-05,47
2018-03-06,72
2018-03-07,55
2018-03-08,56
2018-03-09,48
2018-03-10,69
2018-03-11,58
2018-03-12,52
2018-03-13,48
2018-03-14,66
2018-03-15,54
2018-03-16,49
2018-03-17,56
2018-03-18,77
2018-03-19,49
2018-03-20,42
2018-03-21,44
2018-03-22,46
2018-03-23,63
2018-03-24,67
2018-03-25,55
2018-03-26,47
2018-03-27,68
2018-03-28,54
2018-03-29,42
2018-03-30,45
2018-03-31,72
2018-04-01,69
2018-04-02,49
2018-04-03,61
2018-04-04,65
2018-04-05,50
2018-04-06,45
2018-04-07,67
2018-04-08,75
2018-04-09,50
2018-04-10,66
2018-04-11,72
2018-04-12,52
2018-04-13,47
2018-04-14,59
2018-04-15,70
2018-04-16,50
2018-04-17,50
2018-04-18,52
2018-04-19,49
2018-04-20,50
2018-04-21,64
2018-04-22,64
2018-04-23,51
2018-04-24,58
2018-04-25,74
2018-04-26,63
2018-04-27,51
2018-04-28,58
2018-04-29,68
2018-04-30,54
2018-05-01,66
2018-05-02,64
2018-05-03,60
2018-05-04,53
2018-05-05,64
2018-05-06,100
2018-05-07,50
2018-05-08,47
2018-05-09,54
2018-05-10,48
2018-05-11,50
2018-05-12,55
2018-05-13,69
2018-05-14,53
2018-05-15,49
2018-05-16,56
2018-05-17,55
2018-05-18,49
2018-05-19,64
2018-05-20,64
2018-05-21,48
2018-05-22,51
2018-05-23,52
2018-05-24,50
2018-05-25,58
2018-05-26,90
2018-05-27,68
2018-05-28,55
2018-05-29,59
2018-05-30,49
2018-05-31,52
2018-06-01,58
2018-06-02,58
2018-06-03,69
2018-06-04,52
2018-06-05,47
2018-06-06,47
2018-06-07,54
2018-06-08,48
2018-06-09,71
2018-06-10,58
2018-06-11,43
2018-06-12,40
2018-06-13,45
2018-06-14,70
