Category: All categories

Day,hindi: (Worldwide)
2017-11-14,66
2017-11-15,67
2017-11-16,68
2017-11-17,71
2017-11-18,75
2017-11-19,75
2017-11-20,64
2017-11-21,66
2017-11-22,64
2017-11-23,67
2017-11-24,64
2017-11-25,73
2017-11-26,71
2017-11-27,63
2017-11-28,68
2017-11-29,65
2017-11-30,68
2017-12-01,71
2017-12-02,74
2017-12-03,71
2017-12-04,62
2017-12-05,64
2017-12-06,69
2017-12-07,67
2017-12-08,70
2017-12-09,74
2017-12-10,74
2017-12-11,65
2017-12-12,67
2017-12-13,70
2017-12-14,69
2017-12-15,74
2017-12-16,79
2017-12-17,76
2017-12-18,74
2017-12-19,69
2017-12-20,70
2017-12-21,74
2017-12-22,75
2017-12-23,81
2017-12-24,84
2017-12-25,86
2017-12-26,79
2017-12-27,73
2017-12-28,73
2017-12-29,75
2017-12-30,86
2017-12-31,84
2018-01-01,76
2018-01-02,70
2018-01-03,70
2018-01-04,69
2018-01-05,74
2018-01-06,77
2018-01-07,76
2018-01-08,68
2018-01-09,68
2018-01-10,70
2018-01-11,71
2018-01-12,74
2018-01-13,78
2018-01-14,73
2018-01-15,68
2018-01-16,69
2018-01-17,68
2018-01-18,75
2018-01-19,72
2018-01-20,81
2018-01-21,84
2018-01-22,67
2018-01-23,71
2018-01-24,73
2018-01-25,75
2018-01-26,68
2018-01-27,78
2018-01-28,77
2018-01-29,69
2018-01-30,73
2018-01-31,76
2018-02-01,71
2018-02-02,77
2018-02-03,81
2018-02-04,74
2018-02-05,69
2018-02-06,72
2018-02-07,66
2018-02-08,75
2018-02-09,75
2018-02-10,80
2018-02-11,79
2018-02-12,71
2018-02-13,69
2018-02-14,71
2018-02-15,72
2018-02-16,74
2018-02-17,85
2018-02-18,77
2018-02-19,71
2018-02-20,68
2018-02-21,72
2018-02-22,77
2018-02-23,76
2018-02-24,86
2018-02-25,79
2018-02-26,75
2018-02-27,74
2018-02-28,70
2018-03-01,68
2018-03-02,68
2018-03-03,85
2018-03-04,85
2018-03-05,74
2018-03-06,73
2018-03-07,73
2018-03-08,77
2018-03-09,78
2018-03-10,83
2018-03-11,81
2018-03-12,72
2018-03-13,74
2018-03-14,78
2018-03-15,78
2018-03-16,79
2018-03-17,81
2018-03-18,79
2018-03-19,75
2018-03-20,76
2018-03-21,77
2018-03-22,74
2018-03-23,79
2018-03-24,89
2018-03-25,80
2018-03-26,72
2018-03-27,75
2018-03-28,77
2018-03-29,80
2018-03-30,83
2018-03-31,82
2018-04-01,82
2018-04-02,75
2018-04-03,73
2018-04-04,75
2018-04-05,79
2018-04-06,83
2018-04-07,85
2018-04-08,80
2018-04-09,73
2018-04-10,73
2018-04-11,74
2018-04-12,76
2018-04-13,76
2018-04-14,86
2018-04-15,83
2018-04-16,71
2018-04-17,76
2018-04-18,73
2018-04-19,78
2018-04-20,78
2018-04-21,84
2018-04-22,83
2018-04-23,72
2018-04-24,70
2018-04-25,77
2018-04-26,74
2018-04-27,79
2018-04-28,90
2018-04-29,88
2018-04-30,83
2018-05-01,79
2018-05-02,77
2018-05-03,78
2018-05-04,76
2018-05-05,85
2018-05-06,87
2018-05-07,78
2018-05-08,74
2018-05-09,77
2018-05-10,80
2018-05-11,80
2018-05-12,83
2018-05-13,88
2018-05-14,77
2018-05-15,86
2018-05-16,78
2018-05-17,82
2018-05-18,83
2018-05-19,95
2018-05-20,90
2018-05-21,84
2018-05-22,78
2018-05-23,81
2018-05-24,86
2018-05-25,87
2018-05-26,100
2018-05-27,93
2018-05-28,87
2018-05-29,82
2018-05-30,87
2018-05-31,90
2018-06-01,84
2018-06-02,96
2018-06-03,92
2018-06-04,78
2018-06-05,82
2018-06-06,83
2018-06-07,85
2018-06-08,83
2018-06-09,98
2018-06-10,93
2018-06-11,84
2018-06-12,85
2018-06-13,91
2018-06-14,85
