Category: All categories

Day,in: (Worldwide)
2017-11-14,91
2017-11-15,94
2017-11-16,88
2017-11-17,92
2017-11-18,86
2017-11-19,86
2017-11-20,91
2017-11-21,87
2017-11-22,87
2017-11-23,84
2017-11-24,77
2017-11-25,84
2017-11-26,86
2017-11-27,91
2017-11-28,90
2017-11-29,90
2017-11-30,88
2017-12-01,89
2017-12-02,82
2017-12-03,87
2017-12-04,87
2017-12-05,93
2017-12-06,91
2017-12-07,91
2017-12-08,95
2017-12-09,82
2017-12-10,89
2017-12-11,88
2017-12-12,89
2017-12-13,90
2017-12-14,82
2017-12-15,89
2017-12-16,81
2017-12-17,84
2017-12-18,86
2017-12-19,86
2017-12-20,88
2017-12-21,86
2017-12-22,82
2017-12-23,89
2017-12-24,82
2017-12-25,83
2017-12-26,86
2017-12-27,89
2017-12-28,86
2017-12-29,86
2017-12-30,89
2017-12-31,87
2018-01-01,93
2018-01-02,92
2018-01-03,91
2018-01-04,92
2018-01-05,88
2018-01-06,91
2018-01-07,90
2018-01-08,91
2018-01-09,94
2018-01-10,90
2018-01-11,95
2018-01-12,93
2018-01-13,87
2018-01-14,91
2018-01-15,89
2018-01-16,87
2018-01-17,93
2018-01-18,93
2018-01-19,93
2018-01-20,88
2018-01-21,88
2018-01-22,86
2018-01-23,94
2018-01-24,90
2018-01-25,90
2018-01-26,89
2018-01-27,86
2018-01-28,90
2018-01-29,92
2018-01-30,97
2018-01-31,94
2018-02-01,94
2018-02-02,88
2018-02-03,85
2018-02-04,85
2018-02-05,87
2018-02-06,94
2018-02-07,88
2018-02-08,94
2018-02-09,91
2018-02-10,85
2018-02-11,94
2018-02-12,92
2018-02-13,94
2018-02-14,94
2018-02-15,94
2018-02-16,90
2018-02-17,91
2018-02-18,89
2018-02-19,94
2018-02-20,93
2018-02-21,93
2018-02-22,94
2018-02-23,93
2018-02-24,89
2018-02-25,93
2018-02-26,92
2018-02-27,98
2018-02-28,92
2018-03-01,90
2018-03-02,90
2018-03-03,87
2018-03-04,89
2018-03-05,94
2018-03-06,91
2018-03-07,93
2018-03-08,90
2018-03-09,89
2018-03-10,92
2018-03-11,91
2018-03-12,94
2018-03-13,91
2018-03-14,92
2018-03-15,89
2018-03-16,91
2018-03-17,90
2018-03-18,88
2018-03-19,94
2018-03-20,90
2018-03-21,93
2018-03-22,95
2018-03-23,90
2018-03-24,90
2018-03-25,91
2018-03-26,93
2018-03-27,95
2018-03-28,97
2018-03-29,98
2018-03-30,96
2018-03-31,87
2018-04-01,91
2018-04-02,96
2018-04-03,93
2018-04-04,93
2018-04-05,96
2018-04-06,90
2018-04-07,89
2018-04-08,88
2018-04-09,94
2018-04-10,97
2018-04-11,93
2018-04-12,88
2018-04-13,93
2018-04-14,92
2018-04-15,97
2018-04-16,92
2018-04-17,95
2018-04-18,92
2018-04-19,92
2018-04-20,91
2018-04-21,86
2018-04-22,89
2018-04-23,96
2018-04-24,90
2018-04-25,92
2018-04-26,92
2018-04-27,93
2018-04-28,88
2018-04-29,87
2018-04-30,100
2018-05-01,99
2018-05-02,96
2018-05-03,91
2018-05-04,92
2018-05-05,88
2018-05-06,86
2018-05-07,93
2018-05-08,89
2018-05-09,97
2018-05-10,90
2018-05-11,91
2018-05-12,86
2018-05-13,85
2018-05-14,94
2018-05-15,95
2018-05-16,93
2018-05-17,95
2018-05-18,90
2018-05-19,90
2018-05-20,96
2018-05-21,95
2018-05-22,96
2018-05-23,94
2018-05-24,96
2018-05-25,95
2018-05-26,94
2018-05-27,91
2018-05-28,86
2018-05-29,96
2018-05-30,92
2018-05-31,96
2018-06-01,89
2018-06-02,99
2018-06-03,90
2018-06-04,93
2018-06-05,94
2018-06-06,94
2018-06-07,91
2018-06-08,92
2018-06-09,90
2018-06-10,95
2018-06-11,96
2018-06-12,95
2018-06-13,93
2018-06-14,96
