Category: All categories

Day,jeet: (Worldwide)
2017-11-14,72
2017-11-15,69
2017-11-16,68
2017-11-17,67
2017-11-18,56
2017-11-19,56
2017-11-20,52
2017-11-21,55
2017-11-22,55
2017-11-23,67
2017-11-24,62
2017-11-25,58
2017-11-26,54
2017-11-27,50
2017-11-28,61
2017-11-29,55
2017-11-30,67
2017-12-01,85
2017-12-02,64
2017-12-03,56
2017-12-04,49
2017-12-05,54
2017-12-06,51
2017-12-07,56
2017-12-08,65
2017-12-09,61
2017-12-10,59
2017-12-11,60
2017-12-12,61
2017-12-13,54
2017-12-14,64
2017-12-15,69
2017-12-16,63
2017-12-17,58
2017-12-18,75
2017-12-19,71
2017-12-20,68
2017-12-21,66
2017-12-22,73
2017-12-23,66
2017-12-24,65
2017-12-25,77
2017-12-26,75
2017-12-27,69
2017-12-28,67
2017-12-29,74
2017-12-30,73
2017-12-31,66
2018-01-01,60
2018-01-02,61
2018-01-03,61
2018-01-04,63
2018-01-05,62
2018-01-06,61
2018-01-07,59
2018-01-08,53
2018-01-09,58
2018-01-10,65
2018-01-11,70
2018-01-12,70
2018-01-13,64
2018-01-14,59
2018-01-15,54
2018-01-16,60
2018-01-17,63
2018-01-18,61
2018-01-19,61
2018-01-20,63
2018-01-21,59
2018-01-22,61
2018-01-23,64
2018-01-24,63
2018-01-25,60
2018-01-26,66
2018-01-27,65
2018-01-28,56
2018-01-29,59
2018-01-30,67
2018-01-31,67
2018-02-01,70
2018-02-02,70
2018-02-03,75
2018-02-04,66
2018-02-05,60
2018-02-06,64
2018-02-07,63
2018-02-08,66
2018-02-09,69
2018-02-10,77
2018-02-11,73
2018-02-12,94
2018-02-13,79
2018-02-14,71
2018-02-15,73
2018-02-16,72
2018-02-17,78
2018-02-18,74
2018-02-19,68
2018-02-20,67
2018-02-21,68
2018-02-22,76
2018-02-23,68
2018-02-24,73
2018-02-25,68
2018-02-26,58
2018-02-27,61
2018-02-28,62
2018-03-01,62
2018-03-02,63
2018-03-03,73
2018-03-04,73
2018-03-05,73
2018-03-06,64
2018-03-07,72
2018-03-08,75
2018-03-09,76
2018-03-10,83
2018-03-11,76
2018-03-12,64
2018-03-13,73
2018-03-14,82
2018-03-15,83
2018-03-16,79
2018-03-17,82
2018-03-18,70
2018-03-19,69
2018-03-20,72
2018-03-21,86
2018-03-22,77
2018-03-23,77
2018-03-24,82
2018-03-25,75
2018-03-26,66
2018-03-27,67
2018-03-28,70
2018-03-29,75
2018-03-30,75
2018-03-31,64
2018-04-01,71
2018-04-02,67
2018-04-03,66
2018-04-04,68
2018-04-05,68
2018-04-06,70
2018-04-07,75
2018-04-08,71
2018-04-09,63
2018-04-10,61
2018-04-11,62
2018-04-12,65
2018-04-13,69
2018-04-14,78
2018-04-15,71
2018-04-16,62
2018-04-17,64
2018-04-18,63
2018-04-19,67
2018-04-20,70
2018-04-21,76
2018-04-22,72
2018-04-23,64
2018-04-24,62
2018-04-25,66
2018-04-26,64
2018-04-27,70
2018-04-28,73
2018-04-29,78
2018-04-30,74
2018-05-01,73
2018-05-02,76
2018-05-03,78
2018-05-04,76
2018-05-05,83
2018-05-06,81
2018-05-07,64
2018-05-08,64
2018-05-09,68
2018-05-10,70
2018-05-11,74
2018-05-12,77
2018-05-13,80
2018-05-14,70
2018-05-15,78
2018-05-16,77
2018-05-17,81
2018-05-18,77
2018-05-19,87
2018-05-20,88
2018-05-21,72
2018-05-22,72
2018-05-23,76
2018-05-24,83
2018-05-25,78
2018-05-26,94
2018-05-27,87
2018-05-28,85
2018-05-29,81
2018-05-30,81
2018-05-31,87
2018-06-01,83
2018-06-02,90
2018-06-03,87
2018-06-04,77
2018-06-05,76
2018-06-06,71
2018-06-07,77
2018-06-08,86
2018-06-09,95
2018-06-10,100
2018-06-11,80
2018-06-12,79
2018-06-13,81
2018-06-14,91
