Category: All categories

Day,love: (Worldwide)
2017-11-14,57
2017-11-15,57
2017-11-16,59
2017-11-17,61
2017-11-18,68
2017-11-19,67
2017-11-20,59
2017-11-21,58
2017-11-22,59
2017-11-23,60
2017-11-24,59
2017-11-25,67
2017-11-26,68
2017-11-27,60
2017-11-28,59
2017-11-29,60
2017-11-30,58
2017-12-01,63
2017-12-02,68
2017-12-03,70
2017-12-04,58
2017-12-05,61
2017-12-06,59
2017-12-07,56
2017-12-08,63
2017-12-09,65
2017-12-10,69
2017-12-11,57
2017-12-12,61
2017-12-13,59
2017-12-14,58
2017-12-15,63
2017-12-16,69
2017-12-17,70
2017-12-18,60
2017-12-19,61
2017-12-20,62
2017-12-21,62
2017-12-22,65
2017-12-23,66
2017-12-24,74
2017-12-25,75
2017-12-26,64
2017-12-27,67
2017-12-28,59
2017-12-29,66
2017-12-30,72
2017-12-31,73
2018-01-01,69
2018-01-02,59
2018-01-03,62
2018-01-04,60
2018-01-05,61
2018-01-06,67
2018-01-07,66
2018-01-08,56
2018-01-09,57
2018-01-10,56
2018-01-11,60
2018-01-12,62
2018-01-13,66
2018-01-14,69
2018-01-15,58
2018-01-16,57
2018-01-17,58
2018-01-18,59
2018-01-19,59
2018-01-20,68
2018-01-21,67
2018-01-22,57
2018-01-23,60
2018-01-24,63
2018-01-25,62
2018-01-26,61
2018-01-27,71
2018-01-28,67
2018-01-29,59
2018-01-30,58
2018-01-31,62
2018-02-01,60
2018-02-02,63
2018-02-03,67
2018-02-04,70
2018-02-05,59
2018-02-06,61
2018-02-07,61
2018-02-08,66
2018-02-09,66
2018-02-10,71
2018-02-11,84
2018-02-12,70
2018-02-13,74
2018-02-14,100
2018-02-15,68
2018-02-16,67
2018-02-17,72
2018-02-18,71
2018-02-19,60
2018-02-20,62
2018-02-21,59
2018-02-22,59
2018-02-23,64
2018-02-24,67
2018-02-25,64
2018-02-26,57
2018-02-27,64
2018-02-28,56
2018-03-01,56
2018-03-02,58
2018-03-03,64
2018-03-04,68
2018-03-05,58
2018-03-06,57
2018-03-07,60
2018-03-08,58
2018-03-09,64
2018-03-10,69
2018-03-11,74
2018-03-12,60
2018-03-13,60
2018-03-14,59
2018-03-15,60
2018-03-16,63
2018-03-17,72
2018-03-18,73
2018-03-19,62
2018-03-20,63
2018-03-21,61
2018-03-22,62
2018-03-23,61
2018-03-24,72
2018-03-25,69
2018-03-26,59
2018-03-27,60
2018-03-28,60
2018-03-29,64
2018-03-30,69
2018-03-31,68
2018-04-01,71
2018-04-02,64
2018-04-03,61
2018-04-04,60
2018-04-05,61
2018-04-06,62
2018-04-07,65
2018-04-08,66
2018-04-09,61
2018-04-10,60
2018-04-11,61
2018-04-12,61
2018-04-13,64
2018-04-14,69
2018-04-15,70
2018-04-16,60
2018-04-17,60
2018-04-18,56
2018-04-19,61
2018-04-20,62
2018-04-21,68
2018-04-22,69
2018-04-23,62
2018-04-24,59
2018-04-25,61
2018-04-26,59
2018-04-27,62
2018-04-28,66
2018-04-29,68
2018-04-30,59
2018-05-01,64
2018-05-02,59
2018-05-03,58
2018-05-04,64
2018-05-05,66
2018-05-06,68
2018-05-07,59
2018-05-08,60
2018-05-09,62
2018-05-10,62
2018-05-11,62
2018-05-12,70
2018-05-13,70
2018-05-14,62
2018-05-15,59
2018-05-16,62
2018-05-17,60
2018-05-18,72
2018-05-19,73
2018-05-20,72
2018-05-21,62
2018-05-22,64
2018-05-23,62
2018-05-24,62
2018-05-25,65
2018-05-26,72
2018-05-27,70
2018-05-28,64
2018-05-29,65
2018-05-30,67
2018-05-31,68
2018-06-01,67
2018-06-02,72
2018-06-03,73
2018-06-04,74
2018-06-05,75
2018-06-06,68
2018-06-07,66
2018-06-08,68
2018-06-09,79
2018-06-10,79
2018-06-11,72
2018-06-12,75
2018-06-13,72
2018-06-14,67
