Category: All categories

Day,movie: (Worldwide)
2017-11-14,55
2017-11-15,57
2017-11-16,60
2017-11-17,67
2017-11-18,84
2017-11-19,84
2017-11-20,58
2017-11-21,59
2017-11-22,61
2017-11-23,61
2017-11-24,68
2017-11-25,82
2017-11-26,79
2017-11-27,58
2017-11-28,56
2017-11-29,55
2017-11-30,58
2017-12-01,62
2017-12-02,78
2017-12-03,77
2017-12-04,56
2017-12-05,56
2017-12-06,57
2017-12-07,59
2017-12-08,67
2017-12-09,78
2017-12-10,78
2017-12-11,56
2017-12-12,55
2017-12-13,56
2017-12-14,60
2017-12-15,69
2017-12-16,82
2017-12-17,80
2017-12-18,61
2017-12-19,62
2017-12-20,63
2017-12-21,68
2017-12-22,81
2017-12-23,87
2017-12-24,94
2017-12-25,100
2017-12-26,88
2017-12-27,81
2017-12-28,77
2017-12-29,81
2017-12-30,90
2017-12-31,86
2018-01-01,84
2018-01-02,69
2018-01-03,66
2018-01-04,63
2018-01-05,68
2018-01-06,86
2018-01-07,82
2018-01-08,61
2018-01-09,59
2018-01-10,60
2018-01-11,62
2018-01-12,74
2018-01-13,85
2018-01-14,81
2018-01-15,65
2018-01-16,60
2018-01-17,59
2018-01-18,59
2018-01-19,64
2018-01-20,87
2018-01-21,80
2018-01-22,57
2018-01-23,58
2018-01-24,58
2018-01-25,65
2018-01-26,77
2018-01-27,86
2018-01-28,88
2018-01-29,61
2018-01-30,59
2018-01-31,58
2018-02-01,60
2018-02-02,65
2018-02-03,82
2018-02-04,76
2018-02-05,59
2018-02-06,66
2018-02-07,55
2018-02-08,61
2018-02-09,67
2018-02-10,85
2018-02-11,86
2018-02-12,62
2018-02-13,57
2018-02-14,60
2018-02-15,63
2018-02-16,71
2018-02-17,88
2018-02-18,86
2018-02-19,67
2018-02-20,61
2018-02-21,57
2018-02-22,60
2018-02-23,66
2018-02-24,84
2018-02-25,86
2018-02-26,59
2018-02-27,56
2018-02-28,54
2018-03-01,58
2018-03-02,68
2018-03-03,83
2018-03-04,81
2018-03-05,62
2018-03-06,57
2018-03-07,58
2018-03-08,61
2018-03-09,66
2018-03-10,83
2018-03-11,83
2018-03-12,57
2018-03-13,61
2018-03-14,61
2018-03-15,60
2018-03-16,69
2018-03-17,84
2018-03-18,83
2018-03-19,61
2018-03-20,61
2018-03-21,61
2018-03-22,61
2018-03-23,66
2018-03-24,89
2018-03-25,84
2018-03-26,64
2018-03-27,60
2018-03-28,64
2018-03-29,68
2018-03-30,84
2018-03-31,88
2018-04-01,94
2018-04-02,70
2018-04-03,62
2018-04-04,61
2018-04-05,62
2018-04-06,69
2018-04-07,81
2018-04-08,81
2018-04-09,61
2018-04-10,57
2018-04-11,61
2018-04-12,58
2018-04-13,66
2018-04-14,83
2018-04-15,83
2018-04-16,59
2018-04-17,57
2018-04-18,54
2018-04-19,59
2018-04-20,67
2018-04-21,77
2018-04-22,77
2018-04-23,58
2018-04-24,58
2018-04-25,56
2018-04-26,58
2018-04-27,72
2018-04-28,88
2018-04-29,85
2018-04-30,69
2018-05-01,66
2018-05-02,59
2018-05-03,59
2018-05-04,68
2018-05-05,80
2018-05-06,80
2018-05-07,60
2018-05-08,60
2018-05-09,60
2018-05-10,58
2018-05-11,69
2018-05-12,84
2018-05-13,80
2018-05-14,63
2018-05-15,62
2018-05-16,59
2018-05-17,60
2018-05-18,64
2018-05-19,81
2018-05-20,80
2018-05-21,63
2018-05-22,59
2018-05-23,58
2018-05-24,62
2018-05-25,70
2018-05-26,90
2018-05-27,85
2018-05-28,72
2018-05-29,66
2018-05-30,61
2018-05-31,65
2018-06-01,66
2018-06-02,83
2018-06-03,84
2018-06-04,61
2018-06-05,62
2018-06-06,62
2018-06-07,68
2018-06-08,69
2018-06-09,84
2018-06-10,88
2018-06-11,64
2018-06-12,63
2018-06-13,62
2018-06-14,63
