Category: All categories

Day,movies: (Worldwide)
2017-11-14,50
2017-11-15,52
2017-11-16,53
2017-11-17,61
2017-11-18,87
2017-11-19,82
2017-11-20,54
2017-11-21,55
2017-11-22,59
2017-11-23,62
2017-11-24,68
2017-11-25,82
2017-11-26,78
2017-11-27,52
2017-11-28,51
2017-11-29,52
2017-11-30,55
2017-12-01,57
2017-12-02,79
2017-12-03,76
2017-12-04,51
2017-12-05,51
2017-12-06,52
2017-12-07,50
2017-12-08,62
2017-12-09,80
2017-12-10,77
2017-12-11,54
2017-12-12,52
2017-12-13,53
2017-12-14,56
2017-12-15,64
2017-12-16,82
2017-12-17,81
2017-12-18,58
2017-12-19,57
2017-12-20,57
2017-12-21,64
2017-12-22,76
2017-12-23,86
2017-12-24,90
2017-12-25,100
2017-12-26,93
2017-12-27,83
2017-12-28,76
2017-12-29,81
2017-12-30,94
2017-12-31,85
2018-01-01,94
2018-01-02,66
2018-01-03,63
2018-01-04,63
2018-01-05,67
2018-01-06,83
2018-01-07,82
2018-01-08,61
2018-01-09,55
2018-01-10,55
2018-01-11,55
2018-01-12,72
2018-01-13,86
2018-01-14,81
2018-01-15,65
2018-01-16,53
2018-01-17,53
2018-01-18,55
2018-01-19,63
2018-01-20,85
2018-01-21,79
2018-01-22,54
2018-01-23,53
2018-01-24,53
2018-01-25,55
2018-01-26,64
2018-01-27,86
2018-01-28,81
2018-01-29,54
2018-01-30,52
2018-01-31,52
2018-02-01,51
2018-02-02,65
2018-02-03,78
2018-02-04,76
2018-02-05,54
2018-02-06,52
2018-02-07,52
2018-02-08,57
2018-02-09,63
2018-02-10,82
2018-02-11,89
2018-02-12,58
2018-02-13,51
2018-02-14,54
2018-02-15,53
2018-02-16,66
2018-02-17,88
2018-02-18,80
2018-02-19,62
2018-02-20,53
2018-02-21,51
2018-02-22,57
2018-02-23,62
2018-02-24,83
2018-02-25,80
2018-02-26,54
2018-02-27,51
2018-02-28,49
2018-03-01,53
2018-03-02,64
2018-03-03,79
2018-03-04,77
2018-03-05,57
2018-03-06,49
2018-03-07,50
2018-03-08,51
2018-03-09,61
2018-03-10,80
2018-03-11,76
2018-03-12,51
2018-03-13,54
2018-03-14,52
2018-03-15,51
2018-03-16,63
2018-03-17,80
2018-03-18,78
2018-03-19,49
2018-03-20,51
2018-03-21,54
2018-03-22,53
2018-03-23,61
2018-03-24,83
2018-03-25,74
2018-03-26,54
2018-03-27,56
2018-03-28,56
2018-03-29,61
2018-03-30,75
2018-03-31,81
2018-04-01,86
2018-04-02,63
2018-04-03,54
2018-04-04,54
2018-04-05,56
2018-04-06,65
2018-04-07,78
2018-04-08,76
2018-04-09,53
2018-04-10,48
2018-04-11,47
2018-04-12,51
2018-04-13,60
2018-04-14,77
2018-04-15,81
2018-04-16,52
2018-04-17,49
2018-04-18,46
2018-04-19,52
2018-04-20,60
2018-04-21,78
2018-04-22,72
2018-04-23,55
2018-04-24,50
2018-04-25,49
2018-04-26,51
2018-04-27,67
2018-04-28,86
2018-04-29,79
2018-04-30,60
2018-05-01,60
2018-05-02,51
2018-05-03,54
2018-05-04,63
2018-05-05,76
2018-05-06,76
2018-05-07,54
2018-05-08,51
2018-05-09,50
2018-05-10,53
2018-05-11,57
2018-05-12,75
2018-05-13,73
2018-05-14,54
2018-05-15,52
2018-05-16,50
2018-05-17,50
2018-05-18,59
2018-05-19,76
2018-05-20,73
2018-05-21,53
2018-05-22,51
2018-05-23,49
2018-05-24,51
2018-05-25,60
2018-05-26,77
2018-05-27,77
2018-05-28,64
2018-05-29,52
2018-05-30,53
2018-05-31,56
2018-06-01,60
2018-06-02,74
2018-06-03,76
2018-06-04,54
2018-06-05,52
2018-06-06,51
2018-06-07,56
2018-06-08,61
2018-06-09,76
2018-06-10,80
2018-06-11,59
2018-06-12,56
2018-06-13,56
2018-06-14,57
