Category: All categories

Day,nadu: (Worldwide)
2017-11-14,48
2017-11-15,48
2017-11-16,48
2017-11-17,50
2017-11-18,54
2017-11-19,46
2017-11-20,48
2017-11-21,46
2017-11-22,48
2017-11-23,49
2017-11-24,47
2017-11-25,51
2017-11-26,50
2017-11-27,49
2017-11-28,48
2017-11-29,50
2017-11-30,59
2017-12-01,59
2017-12-02,56
2017-12-03,48
2017-12-04,49
2017-12-05,60
2017-12-06,54
2017-12-07,49
2017-12-08,51
2017-12-09,52
2017-12-10,44
2017-12-11,45
2017-12-12,47
2017-12-13,47
2017-12-14,46
2017-12-15,48
2017-12-16,55
2017-12-17,49
2017-12-18,47
2017-12-19,55
2017-12-20,49
2017-12-21,56
2017-12-22,52
2017-12-23,55
2017-12-24,78
2017-12-25,61
2017-12-26,54
2017-12-27,55
2017-12-28,56
2017-12-29,53
2017-12-30,55
2017-12-31,59
2018-01-01,50
2018-01-02,52
2018-01-03,53
2018-01-04,51
2018-01-05,51
2018-01-06,53
2018-01-07,47
2018-01-08,51
2018-01-09,49
2018-01-10,53
2018-01-11,54
2018-01-12,54
2018-01-13,50
2018-01-14,44
2018-01-15,45
2018-01-16,48
2018-01-17,49
2018-01-18,50
2018-01-19,48
2018-01-20,62
2018-01-21,52
2018-01-22,50
2018-01-23,50
2018-01-24,51
2018-01-25,52
2018-01-26,47
2018-01-27,53
2018-01-28,46
2018-01-29,45
2018-01-30,50
2018-01-31,47
2018-02-01,47
2018-02-02,48
2018-02-03,49
2018-02-04,44
2018-02-05,46
2018-02-06,45
2018-02-07,48
2018-02-08,48
2018-02-09,47
2018-02-10,52
2018-02-11,46
2018-02-12,46
2018-02-13,49
2018-02-14,43
2018-02-15,45
2018-02-16,50
2018-02-17,50
2018-02-18,44
2018-02-19,51
2018-02-20,46
2018-02-21,44
2018-02-22,47
2018-02-23,49
2018-02-24,50
2018-02-25,42
2018-02-26,44
2018-02-27,54
2018-02-28,45
2018-03-01,45
2018-03-02,44
2018-03-03,47
2018-03-04,42
2018-03-05,45
2018-03-06,43
2018-03-07,46
2018-03-08,43
2018-03-09,47
2018-03-10,50
2018-03-11,46
2018-03-12,46
2018-03-13,46
2018-03-14,46
2018-03-15,46
2018-03-16,48
2018-03-17,50
2018-03-18,45
2018-03-19,47
2018-03-20,45
2018-03-21,46
2018-03-22,46
2018-03-23,47
2018-03-24,50
2018-03-25,44
2018-03-26,44
2018-03-27,48
2018-03-28,49
2018-03-29,49
2018-03-30,48
2018-03-31,50
2018-04-01,47
2018-04-02,62
2018-04-03,52
2018-04-04,53
2018-04-05,54
2018-04-06,48
2018-04-07,50
2018-04-08,46
2018-04-09,48
2018-04-10,48
2018-04-11,49
2018-04-12,52
2018-04-13,47
2018-04-14,49
2018-04-15,48
2018-04-16,52
2018-04-17,49
2018-04-18,53
2018-04-19,47
2018-04-20,52
2018-04-21,51
2018-04-22,41
2018-04-23,46
2018-04-24,48
2018-04-25,47
2018-04-26,51
2018-04-27,48
2018-04-28,54
2018-04-29,45
2018-04-30,47
2018-05-01,47
2018-05-02,46
2018-05-03,48
2018-05-04,51
2018-05-05,51
2018-05-06,48
2018-05-07,51
2018-05-08,47
2018-05-09,50
2018-05-10,48
2018-05-11,50
2018-05-12,54
2018-05-13,46
2018-05-14,47
2018-05-15,54
2018-05-16,87
2018-05-17,59
2018-05-18,55
2018-05-19,57
2018-05-20,50
2018-05-21,55
2018-05-22,56
2018-05-23,100
2018-05-24,65
2018-05-25,60
2018-05-26,61
2018-05-27,56
2018-05-28,55
2018-05-29,56
2018-05-30,59
2018-05-31,55
2018-06-01,56
2018-06-02,61
2018-06-03,54
2018-06-04,59
2018-06-05,58
2018-06-06,53
2018-06-07,57
2018-06-08,57
2018-06-09,60
2018-06-10,55
2018-06-11,51
2018-06-12,55
2018-06-13,58
2018-06-14,60
