Category: All categories

Day,productions: (Worldwide)
2017-11-14,95
2017-11-15,96
2017-11-16,92
2017-11-17,90
2017-11-18,72
2017-11-19,72
2017-11-20,89
2017-11-21,88
2017-11-22,88
2017-11-23,73
2017-11-24,69
2017-11-25,66
2017-11-26,67
2017-11-27,92
2017-11-28,91
2017-11-29,89
2017-11-30,92
2017-12-01,83
2017-12-02,75
2017-12-03,73
2017-12-04,88
2017-12-05,91
2017-12-06,88
2017-12-07,85
2017-12-08,89
2017-12-09,73
2017-12-10,69
2017-12-11,83
2017-12-12,87
2017-12-13,87
2017-12-14,89
2017-12-15,82
2017-12-16,71
2017-12-17,69
2017-12-18,77
2017-12-19,82
2017-12-20,86
2017-12-21,81
2017-12-22,71
2017-12-23,61
2017-12-24,54
2017-12-25,54
2017-12-26,62
2017-12-27,67
2017-12-28,71
2017-12-29,73
2017-12-30,69
2017-12-31,71
2018-01-01,62
2018-01-02,79
2018-01-03,85
2018-01-04,86
2018-01-05,91
2018-01-06,75
2018-01-07,75
2018-01-08,96
2018-01-09,97
2018-01-10,93
2018-01-11,100
2018-01-12,95
2018-01-13,74
2018-01-14,74
2018-01-15,87
2018-01-16,89
2018-01-17,94
2018-01-18,95
2018-01-19,95
2018-01-20,78
2018-01-21,81
2018-01-22,95
2018-01-23,94
2018-01-24,98
2018-01-25,89
2018-01-26,90
2018-01-27,75
2018-01-28,77
2018-01-29,94
2018-01-30,93
2018-01-31,93
2018-02-01,94
2018-02-02,92
2018-02-03,71
2018-02-04,72
2018-02-05,92
2018-02-06,97
2018-02-07,94
2018-02-08,95
2018-02-09,89
2018-02-10,71
2018-02-11,72
2018-02-12,94
2018-02-13,92
2018-02-14,88
2018-02-15,84
2018-02-16,86
2018-02-17,72
2018-02-18,70
2018-02-19,86
2018-02-20,93
2018-02-21,94
2018-02-22,94
2018-02-23,83
2018-02-24,73
2018-02-25,69
2018-02-26,94
2018-02-27,93
2018-02-28,88
2018-03-01,88
2018-03-02,86
2018-03-03,71
2018-03-04,73
2018-03-05,90
2018-03-06,89
2018-03-07,95
2018-03-08,88
2018-03-09,90
2018-03-10,74
2018-03-11,70
2018-03-12,90
2018-03-13,90
2018-03-14,93
2018-03-15,92
2018-03-16,80
2018-03-17,73
2018-03-18,73
2018-03-19,92
2018-03-20,90
2018-03-21,90
2018-03-22,90
2018-03-23,82
2018-03-24,69
2018-03-25,69
2018-03-26,88
2018-03-27,91
2018-03-28,93
2018-03-29,88
2018-03-30,79
2018-03-31,69
2018-04-01,63
2018-04-02,85
2018-04-03,94
2018-04-04,91
2018-04-05,92
2018-04-06,92
2018-04-07,72
2018-04-08,73
2018-04-09,92
2018-04-10,93
2018-04-11,93
2018-04-12,92
2018-04-13,87
2018-04-14,75
2018-04-15,73
2018-04-16,90
2018-04-17,92
2018-04-18,93
2018-04-19,89
2018-04-20,85
2018-04-21,67
2018-04-22,66
2018-04-23,92
2018-04-24,86
2018-04-25,88
2018-04-26,85
2018-04-27,85
2018-04-28,67
2018-04-29,67
2018-04-30,90
2018-05-01,89
2018-05-02,90
2018-05-03,83
2018-05-04,84
2018-05-05,68
2018-05-06,65
2018-05-07,84
2018-05-08,87
2018-05-09,89
2018-05-10,84
2018-05-11,81
2018-05-12,66
2018-05-13,64
2018-05-14,94
2018-05-15,92
2018-05-16,89
2018-05-17,82
2018-05-18,80
2018-05-19,63
2018-05-20,69
2018-05-21,86
2018-05-22,91
2018-05-23,89
2018-05-24,85
2018-05-25,78
2018-05-26,61
2018-05-27,66
2018-05-28,71
2018-05-29,87
2018-05-30,84
2018-05-31,88
2018-06-01,80
2018-06-02,72
2018-06-03,73
2018-06-04,84
2018-06-05,87
2018-06-06,84
2018-06-07,80
2018-06-08,80
2018-06-09,68
2018-06-10,68
2018-06-11,86
2018-06-12,95
2018-06-13,91
2018-06-14,86
