Category: All categories

Day,race: (Worldwide)
2017-11-14,20
2017-11-15,20
2017-11-16,20
2017-11-17,20
2017-11-18,22
2017-11-19,27
2017-11-20,21
2017-11-21,19
2017-11-22,18
2017-11-23,19
2017-11-24,19
2017-11-25,22
2017-11-26,24
2017-11-27,21
2017-11-28,21
2017-11-29,19
2017-11-30,19
2017-12-01,19
2017-12-02,21
2017-12-03,21
2017-12-04,19
2017-12-05,20
2017-12-06,24
2017-12-07,20
2017-12-08,21
2017-12-09,21
2017-12-10,23
2017-12-11,20
2017-12-12,45
2017-12-13,100
2017-12-14,21
2017-12-15,20
2017-12-16,20
2017-12-17,21
2017-12-18,17
2017-12-19,17
2017-12-20,17
2017-12-21,18
2017-12-22,16
2017-12-23,19
2017-12-24,19
2017-12-25,19
2017-12-26,21
2017-12-27,21
2017-12-28,18
2017-12-29,18
2017-12-30,20
2017-12-31,20
2018-01-01,21
2018-01-02,20
2018-01-03,22
2018-01-04,22
2018-01-05,21
2018-01-06,22
2018-01-07,22
2018-01-08,19
2018-01-09,19
2018-01-10,19
2018-01-11,22
2018-01-12,21
2018-01-13,24
2018-01-14,23
2018-01-15,20
2018-01-16,19
2018-01-17,19
2018-01-18,22
2018-01-19,22
2018-01-20,23
2018-01-21,23
2018-01-22,19
2018-01-23,20
2018-01-24,20
2018-01-25,23
2018-01-26,28
2018-01-27,26
2018-01-28,26
2018-01-29,21
2018-01-30,20
2018-01-31,22
2018-02-01,22
2018-02-02,26
2018-02-03,25
2018-02-04,27
2018-02-05,20
2018-02-06,20
2018-02-07,20
2018-02-08,23
2018-02-09,25
2018-02-10,26
2018-02-11,27
2018-02-12,21
2018-02-13,21
2018-02-14,20
2018-02-15,23
2018-02-16,27
2018-02-17,28
2018-02-18,31
2018-02-19,23
2018-02-20,22
2018-02-21,22
2018-02-22,28
2018-02-23,29
2018-02-24,28
2018-02-25,30
2018-02-26,24
2018-02-27,21
2018-02-28,20
2018-03-01,21
2018-03-02,25
2018-03-03,26
2018-03-04,30
2018-03-05,23
2018-03-06,23
2018-03-07,22
2018-03-08,21
2018-03-09,26
2018-03-10,27
2018-03-11,29
2018-03-12,23
2018-03-13,22
2018-03-14,25
2018-03-15,23
2018-03-16,29
2018-03-17,27
2018-03-18,30
2018-03-19,24
2018-03-20,23
2018-03-21,24
2018-03-22,23
2018-03-23,28
2018-03-24,45
2018-03-25,35
2018-03-26,28
2018-03-27,24
2018-03-28,23
2018-03-29,24
2018-03-30,26
2018-03-31,25
2018-04-01,25
2018-04-02,24
2018-04-03,22
2018-04-04,21
2018-04-05,23
2018-04-06,26
2018-04-07,29
2018-04-08,34
2018-04-09,25
2018-04-10,22
2018-04-11,22
2018-04-12,22
2018-04-13,27
2018-04-14,35
2018-04-15,41
2018-04-16,27
2018-04-17,22
2018-04-18,21
2018-04-19,22
2018-04-20,25
2018-04-21,28
2018-04-22,32
2018-04-23,24
2018-04-24,21
2018-04-25,22
2018-04-26,21
2018-04-27,26
2018-04-28,29
2018-04-29,33
2018-04-30,25
2018-05-01,24
2018-05-02,22
2018-05-03,23
2018-05-04,29
2018-05-05,42
2018-05-06,34
2018-05-07,25
2018-05-08,23
2018-05-09,24
2018-05-10,22
2018-05-11,24
2018-05-12,29
2018-05-13,30
2018-05-14,23
2018-05-15,27
2018-05-16,29
2018-05-17,25
2018-05-18,31
2018-05-19,44
2018-05-20,38
2018-05-21,29
2018-05-22,29
2018-05-23,26
2018-05-24,27
2018-05-25,30
2018-05-26,34
2018-05-27,41
2018-05-28,29
2018-05-29,26
2018-05-30,27
2018-05-31,27
2018-06-01,31
2018-06-02,36
2018-06-03,38
2018-06-04,27
2018-06-05,27
2018-06-06,36
2018-06-07,26
2018-06-08,32
2018-06-09,54
2018-06-10,47
2018-06-11,31
2018-06-12,28
2018-06-13,30
2018-06-14,35
