Category: All categories

Day,rani: (Worldwide)
2017-11-14,68
2017-11-15,73
2017-11-16,77
2017-11-17,82
2017-11-18,92
2017-11-19,93
2017-11-20,81
2017-11-21,78
2017-11-22,78
2017-11-23,73
2017-11-24,80
2017-11-25,80
2017-11-26,80
2017-11-27,71
2017-11-28,76
2017-11-29,77
2017-11-30,75
2017-12-01,78
2017-12-02,72
2017-12-03,71
2017-12-04,63
2017-12-05,73
2017-12-06,70
2017-12-07,70
2017-12-08,72
2017-12-09,77
2017-12-10,74
2017-12-11,62
2017-12-12,65
2017-12-13,64
2017-12-14,62
2017-12-15,63
2017-12-16,67
2017-12-17,70
2017-12-18,56
2017-12-19,67
2017-12-20,69
2017-12-21,69
2017-12-22,70
2017-12-23,75
2017-12-24,78
2017-12-25,78
2017-12-26,71
2017-12-27,71
2017-12-28,68
2017-12-29,73
2017-12-30,79
2017-12-31,80
2018-01-01,73
2018-01-02,66
2018-01-03,65
2018-01-04,63
2018-01-05,61
2018-01-06,79
2018-01-07,74
2018-01-08,61
2018-01-09,63
2018-01-10,64
2018-01-11,65
2018-01-12,68
2018-01-13,70
2018-01-14,64
2018-01-15,57
2018-01-16,59
2018-01-17,61
2018-01-18,62
2018-01-19,63
2018-01-20,77
2018-01-21,73
2018-01-22,61
2018-01-23,65
2018-01-24,68
2018-01-25,81
2018-01-26,78
2018-01-27,87
2018-01-28,84
2018-01-29,71
2018-01-30,71
2018-01-31,69
2018-02-01,67
2018-02-02,66
2018-02-03,75
2018-02-04,79
2018-02-05,64
2018-02-06,65
2018-02-07,63
2018-02-08,72
2018-02-09,70
2018-02-10,75
2018-02-11,77
2018-02-12,62
2018-02-13,64
2018-02-14,66
2018-02-15,66
2018-02-16,65
2018-02-17,72
2018-02-18,69
2018-02-19,67
2018-02-20,65
2018-02-21,67
2018-02-22,68
2018-02-23,68
2018-02-24,72
2018-02-25,78
2018-02-26,61
2018-02-27,66
2018-02-28,65
2018-03-01,65
2018-03-02,68
2018-03-03,76
2018-03-04,77
2018-03-05,66
2018-03-06,62
2018-03-07,68
2018-03-08,67
2018-03-09,69
2018-03-10,76
2018-03-11,71
2018-03-12,63
2018-03-13,64
2018-03-14,65
2018-03-15,69
2018-03-16,70
2018-03-17,88
2018-03-18,100
2018-03-19,78
2018-03-20,72
2018-03-21,81
2018-03-22,78
2018-03-23,81
2018-03-24,93
2018-03-25,84
2018-03-26,70
2018-03-27,74
2018-03-28,76
2018-03-29,76
2018-03-30,81
2018-03-31,76
2018-04-01,76
2018-04-02,70
2018-04-03,66
2018-04-04,66
2018-04-05,70
2018-04-06,73
2018-04-07,74
2018-04-08,69
2018-04-09,62
2018-04-10,62
2018-04-11,68
2018-04-12,62
2018-04-13,66
2018-04-14,68
2018-04-15,69
2018-04-16,62
2018-04-17,63
2018-04-18,62
2018-04-19,62
2018-04-20,64
2018-04-21,73
2018-04-22,62
2018-04-23,62
2018-04-24,60
2018-04-25,60
2018-04-26,61
2018-04-27,66
2018-04-28,73
2018-04-29,72
2018-04-30,66
2018-05-01,69
2018-05-02,66
2018-05-03,71
2018-05-04,74
2018-05-05,75
2018-05-06,72
2018-05-07,66
2018-05-08,66
2018-05-09,68
2018-05-10,68
2018-05-11,67
2018-05-12,76
2018-05-13,69
2018-05-14,65
2018-05-15,64
2018-05-16,64
2018-05-17,63
2018-05-18,64
2018-05-19,71
2018-05-20,71
2018-05-21,69
2018-05-22,67
2018-05-23,66
2018-05-24,67
2018-05-25,70
2018-05-26,79
2018-05-27,76
2018-05-28,67
2018-05-29,68
2018-05-30,73
2018-05-31,70
2018-06-01,68
2018-06-02,80
2018-06-03,78
2018-06-04,68
2018-06-05,68
2018-06-06,67
2018-06-07,61
2018-06-08,72
2018-06-09,80
2018-06-10,83
2018-06-11,67
2018-06-12,69
2018-06-13,72
2018-06-14,68
