Category: All categories

Day,sab: (Worldwide)
2017-11-14,72
2017-11-15,70
2017-11-16,71
2017-11-17,72
2017-11-18,73
2017-11-19,74
2017-11-20,70
2017-11-21,73
2017-11-22,77
2017-11-23,72
2017-11-24,71
2017-11-25,78
2017-11-26,78
2017-11-27,75
2017-11-28,80
2017-11-29,76
2017-11-30,79
2017-12-01,84
2017-12-02,82
2017-12-03,77
2017-12-04,70
2017-12-05,77
2017-12-06,73
2017-12-07,74
2017-12-08,77
2017-12-09,82
2017-12-10,78
2017-12-11,72
2017-12-12,73
2017-12-13,73
2017-12-14,69
2017-12-15,72
2017-12-16,76
2017-12-17,79
2017-12-18,70
2017-12-19,71
2017-12-20,76
2017-12-21,79
2017-12-22,79
2017-12-23,83
2017-12-24,85
2017-12-25,85
2017-12-26,81
2017-12-27,75
2017-12-28,76
2017-12-29,76
2017-12-30,82
2017-12-31,80
2018-01-01,76
2018-01-02,71
2018-01-03,70
2018-01-04,70
2018-01-05,75
2018-01-06,75
2018-01-07,77
2018-01-08,74
2018-01-09,76
2018-01-10,74
2018-01-11,81
2018-01-12,84
2018-01-13,80
2018-01-14,81
2018-01-15,78
2018-01-16,73
2018-01-17,78
2018-01-18,78
2018-01-19,81
2018-01-20,77
2018-01-21,81
2018-01-22,73
2018-01-23,79
2018-01-24,73
2018-01-25,80
2018-01-26,82
2018-01-27,80
2018-01-28,76
2018-01-29,75
2018-01-30,79
2018-01-31,78
2018-02-01,78
2018-02-02,83
2018-02-03,83
2018-02-04,78
2018-02-05,74
2018-02-06,75
2018-02-07,78
2018-02-08,81
2018-02-09,81
2018-02-10,86
2018-02-11,85
2018-02-12,77
2018-02-13,78
2018-02-14,82
2018-02-15,80
2018-02-16,77
2018-02-17,82
2018-02-18,76
2018-02-19,78
2018-02-20,77
2018-02-21,79
2018-02-22,80
2018-02-23,84
2018-02-24,82
2018-02-25,81
2018-02-26,76
2018-02-27,77
2018-02-28,75
2018-03-01,80
2018-03-02,76
2018-03-03,81
2018-03-04,80
2018-03-05,75
2018-03-06,78
2018-03-07,79
2018-03-08,77
2018-03-09,79
2018-03-10,83
2018-03-11,80
2018-03-12,74
2018-03-13,79
2018-03-14,75
2018-03-15,83
2018-03-16,82
2018-03-17,89
2018-03-18,84
2018-03-19,81
2018-03-20,83
2018-03-21,91
2018-03-22,89
2018-03-23,84
2018-03-24,89
2018-03-25,82
2018-03-26,80
2018-03-27,82
2018-03-28,82
2018-03-29,86
2018-03-30,93
2018-03-31,90
2018-04-01,92
2018-04-02,79
2018-04-03,77
2018-04-04,79
2018-04-05,80
2018-04-06,81
2018-04-07,83
2018-04-08,85
2018-04-09,77
2018-04-10,76
2018-04-11,78
2018-04-12,78
2018-04-13,86
2018-04-14,93
2018-04-15,78
2018-04-16,75
2018-04-17,76
2018-04-18,76
2018-04-19,80
2018-04-20,82
2018-04-21,90
2018-04-22,88
2018-04-23,80
2018-04-24,78
2018-04-25,78
2018-04-26,77
2018-04-27,82
2018-04-28,86
2018-04-29,88
2018-04-30,85
2018-05-01,96
2018-05-02,81
2018-05-03,83
2018-05-04,81
2018-05-05,87
2018-05-06,86
2018-05-07,79
2018-05-08,79
2018-05-09,80
2018-05-10,81
2018-05-11,85
2018-05-12,90
2018-05-13,92
2018-05-14,82
2018-05-15,83
2018-05-16,89
2018-05-17,87
2018-05-18,92
2018-05-19,89
2018-05-20,88
2018-05-21,84
2018-05-22,88
2018-05-23,83
2018-05-24,84
2018-05-25,95
2018-05-26,93
2018-05-27,94
2018-05-28,88
2018-05-29,97
2018-05-30,99
2018-05-31,92
2018-06-01,97
2018-06-02,94
2018-06-03,93
2018-06-04,90
2018-06-05,89
2018-06-06,93
2018-06-07,87
2018-06-08,91
2018-06-09,100
2018-06-10,100
2018-06-11,93
2018-06-12,90
2018-06-13,91
2018-06-14,95
