Category: All categories

Day,show: (Worldwide)
2017-11-14,61
2017-11-15,69
2017-11-16,65
2017-11-17,68
2017-11-18,82
2017-11-19,74
2017-11-20,70
2017-11-21,65
2017-11-22,64
2017-11-23,70
2017-11-24,66
2017-11-25,70
2017-11-26,70
2017-11-27,66
2017-11-28,67
2017-11-29,87
2017-11-30,74
2017-12-01,74
2017-12-02,75
2017-12-03,74
2017-12-04,61
2017-12-05,64
2017-12-06,64
2017-12-07,63
2017-12-08,65
2017-12-09,69
2017-12-10,65
2017-12-11,66
2017-12-12,62
2017-12-13,60
2017-12-14,60
2017-12-15,67
2017-12-16,66
2017-12-17,66
2017-12-18,66
2017-12-19,61
2017-12-20,62
2017-12-21,65
2017-12-22,67
2017-12-23,70
2017-12-24,67
2017-12-25,74
2017-12-26,66
2017-12-27,64
2017-12-28,65
2017-12-29,70
2017-12-30,72
2017-12-31,72
2018-01-01,77
2018-01-02,68
2018-01-03,67
2018-01-04,71
2018-01-05,71
2018-01-06,72
2018-01-07,73
2018-01-08,73
2018-01-09,72
2018-01-10,68
2018-01-11,70
2018-01-12,74
2018-01-13,81
2018-01-14,80
2018-01-15,72
2018-01-16,67
2018-01-17,67
2018-01-18,69
2018-01-19,73
2018-01-20,80
2018-01-21,76
2018-01-22,68
2018-01-23,71
2018-01-24,69
2018-01-25,74
2018-01-26,78
2018-01-27,79
2018-01-28,74
2018-01-29,76
2018-01-30,68
2018-01-31,67
2018-02-01,68
2018-02-02,74
2018-02-03,78
2018-02-04,87
2018-02-05,100
2018-02-06,63
2018-02-07,68
2018-02-08,68
2018-02-09,73
2018-02-10,77
2018-02-11,75
2018-02-12,68
2018-02-13,64
2018-02-14,71
2018-02-15,65
2018-02-16,70
2018-02-17,76
2018-02-18,71
2018-02-19,69
2018-02-20,67
2018-02-21,62
2018-02-22,66
2018-02-23,74
2018-02-24,77
2018-02-25,72
2018-02-26,68
2018-02-27,59
2018-02-28,63
2018-03-01,67
2018-03-02,70
2018-03-03,75
2018-03-04,71
2018-03-05,68
2018-03-06,64
2018-03-07,64
2018-03-08,67
2018-03-09,71
2018-03-10,75
2018-03-11,78
2018-03-12,68
2018-03-13,67
2018-03-14,65
2018-03-15,64
2018-03-16,66
2018-03-17,72
2018-03-18,72
2018-03-19,71
2018-03-20,65
2018-03-21,64
2018-03-22,68
2018-03-23,69
2018-03-24,78
2018-03-25,75
2018-03-26,70
2018-03-27,68
2018-03-28,73
2018-03-29,78
2018-03-30,81
2018-03-31,78
2018-04-01,78
2018-04-02,71
2018-04-03,67
2018-04-04,66
2018-04-05,64
2018-04-06,69
2018-04-07,73
2018-04-08,72
2018-04-09,69
2018-04-10,64
2018-04-11,61
2018-04-12,61
2018-04-13,66
2018-04-14,72
2018-04-15,68
2018-04-16,64
2018-04-17,63
2018-04-18,63
2018-04-19,63
2018-04-20,66
2018-04-21,70
2018-04-22,67
2018-04-23,63
2018-04-24,58
2018-04-25,61
2018-04-26,64
2018-04-27,70
2018-04-28,72
2018-04-29,68
2018-04-30,64
2018-05-01,63
2018-05-02,61
2018-05-03,63
2018-05-04,66
2018-05-05,67
2018-05-06,68
2018-05-07,60
2018-05-08,59
2018-05-09,62
2018-05-10,59
2018-05-11,66
2018-05-12,66
2018-05-13,67
2018-05-14,65
2018-05-15,59
2018-05-16,64
2018-05-17,63
2018-05-18,68
2018-05-19,72
2018-05-20,71
2018-05-21,72
2018-05-22,66
2018-05-23,60
2018-05-24,65
2018-05-25,69
2018-05-26,72
2018-05-27,71
2018-05-28,66
2018-05-29,64
2018-05-30,66
2018-05-31,66
2018-06-01,65
2018-06-02,71
2018-06-03,72
2018-06-04,62
2018-06-05,63
2018-06-06,63
2018-06-07,63
2018-06-08,67
2018-06-09,74
2018-06-10,72
2018-06-11,64
2018-06-12,64
2018-06-13,65
2018-06-14,61
