Category: All categories

Day,shows: (Worldwide)
2017-11-14,78
2017-11-15,78
2017-11-16,77
2017-11-17,75
2017-11-18,83
2017-11-19,88
2017-11-20,74
2017-11-21,70
2017-11-22,72
2017-11-23,68
2017-11-24,69
2017-11-25,85
2017-11-26,91
2017-11-27,74
2017-11-28,82
2017-11-29,75
2017-11-30,76
2017-12-01,71
2017-12-02,81
2017-12-03,83
2017-12-04,76
2017-12-05,75
2017-12-06,74
2017-12-07,74
2017-12-08,73
2017-12-09,78
2017-12-10,80
2017-12-11,73
2017-12-12,73
2017-12-13,73
2017-12-14,70
2017-12-15,72
2017-12-16,78
2017-12-17,88
2017-12-18,75
2017-12-19,74
2017-12-20,73
2017-12-21,71
2017-12-22,71
2017-12-23,76
2017-12-24,73
2017-12-25,75
2017-12-26,75
2017-12-27,81
2017-12-28,82
2017-12-29,82
2017-12-30,91
2017-12-31,88
2018-01-01,98
2018-01-02,84
2018-01-03,84
2018-01-04,83
2018-01-05,83
2018-01-06,91
2018-01-07,100
2018-01-08,87
2018-01-09,77
2018-01-10,81
2018-01-11,80
2018-01-12,83
2018-01-13,89
2018-01-14,94
2018-01-15,84
2018-01-16,79
2018-01-17,80
2018-01-18,80
2018-01-19,76
2018-01-20,90
2018-01-21,91
2018-01-22,80
2018-01-23,80
2018-01-24,77
2018-01-25,75
2018-01-26,80
2018-01-27,86
2018-01-28,91
2018-01-29,81
2018-01-30,80
2018-01-31,72
2018-02-01,76
2018-02-02,78
2018-02-03,85
2018-02-04,94
2018-02-05,89
2018-02-06,78
2018-02-07,76
2018-02-08,78
2018-02-09,76
2018-02-10,86
2018-02-11,95
2018-02-12,81
2018-02-13,74
2018-02-14,69
2018-02-15,73
2018-02-16,80
2018-02-17,91
2018-02-18,91
2018-02-19,83
2018-02-20,77
2018-02-21,75
2018-02-22,76
2018-02-23,79
2018-02-24,84
2018-02-25,90
2018-02-26,79
2018-02-27,78
2018-02-28,74
2018-03-01,77
2018-03-02,79
2018-03-03,84
2018-03-04,87
2018-03-05,77
2018-03-06,74
2018-03-07,75
2018-03-08,76
2018-03-09,75
2018-03-10,89
2018-03-11,92
2018-03-12,75
2018-03-13,77
2018-03-14,75
2018-03-15,73
2018-03-16,74
2018-03-17,84
2018-03-18,90
2018-03-19,78
2018-03-20,80
2018-03-21,78
2018-03-22,78
2018-03-23,78
2018-03-24,86
2018-03-25,94
2018-03-26,79
2018-03-27,78
2018-03-28,81
2018-03-29,84
2018-03-30,84
2018-03-31,85
2018-04-01,82
2018-04-02,82
2018-04-03,79
2018-04-04,80
2018-04-05,77
2018-04-06,78
2018-04-07,88
2018-04-08,89
2018-04-09,80
2018-04-10,75
2018-04-11,73
2018-04-12,75
2018-04-13,72
2018-04-14,79
2018-04-15,89
2018-04-16,78
2018-04-17,74
2018-04-18,70
2018-04-19,74
2018-04-20,73
2018-04-21,80
2018-04-22,81
2018-04-23,75
2018-04-24,69
2018-04-25,74
2018-04-26,69
2018-04-27,72
2018-04-28,79
2018-04-29,81
2018-04-30,76
2018-05-01,75
2018-05-02,68
2018-05-03,73
2018-05-04,71
2018-05-05,76
2018-05-06,86
2018-05-07,74
2018-05-08,71
2018-05-09,71
2018-05-10,72
2018-05-11,77
2018-05-12,91
2018-05-13,84
2018-05-14,78
2018-05-15,76
2018-05-16,75
2018-05-17,76
2018-05-18,75
2018-05-19,82
2018-05-20,88
2018-05-21,74
2018-05-22,72
2018-05-23,70
2018-05-24,71
2018-05-25,70
2018-05-26,75
2018-05-27,86
2018-05-28,76
2018-05-29,71
2018-05-30,72
2018-05-31,76
2018-06-01,72
2018-06-02,82
2018-06-03,87
2018-06-04,71
2018-06-05,75
2018-06-06,70
2018-06-07,69
2018-06-08,75
2018-06-09,85
2018-06-10,90
2018-06-11,77
2018-06-12,73
2018-06-13,76
2018-06-14,73
