Category: All categories

Day,singer: (Worldwide)
2017-11-14,47
2017-11-15,48
2017-11-16,49
2017-11-17,54
2017-11-18,64
2017-11-19,68
2017-11-20,54
2017-11-21,46
2017-11-22,50
2017-11-23,53
2017-11-24,53
2017-11-25,60
2017-11-26,60
2017-11-27,48
2017-11-28,48
2017-11-29,45
2017-11-30,49
2017-12-01,49
2017-12-02,63
2017-12-03,66
2017-12-04,48
2017-12-05,59
2017-12-06,49
2017-12-07,48
2017-12-08,67
2017-12-09,64
2017-12-10,60
2017-12-11,46
2017-12-12,45
2017-12-13,49
2017-12-14,48
2017-12-15,49
2017-12-16,60
2017-12-17,59
2017-12-18,49
2017-12-19,51
2017-12-20,59
2017-12-21,52
2017-12-22,55
2017-12-23,63
2017-12-24,65
2017-12-25,65
2017-12-26,50
2017-12-27,49
2017-12-28,49
2017-12-29,57
2017-12-30,60
2017-12-31,67
2018-01-01,73
2018-01-02,45
2018-01-03,45
2018-01-04,46
2018-01-05,49
2018-01-06,56
2018-01-07,61
2018-01-08,44
2018-01-09,44
2018-01-10,45
2018-01-11,51
2018-01-12,54
2018-01-13,61
2018-01-14,62
2018-01-15,90
2018-01-16,100
2018-01-17,61
2018-01-18,57
2018-01-19,60
2018-01-20,72
2018-01-21,71
2018-01-22,50
2018-01-23,50
2018-01-24,54
2018-01-25,53
2018-01-26,59
2018-01-27,64
2018-01-28,67
2018-01-29,62
2018-01-30,49
2018-01-31,50
2018-02-01,52
2018-02-02,56
2018-02-03,63
2018-02-04,74
2018-02-05,56
2018-02-06,49
2018-02-07,48
2018-02-08,51
2018-02-09,54
2018-02-10,69
2018-02-11,73
2018-02-12,55
2018-02-13,54
2018-02-14,50
2018-02-15,51
2018-02-16,52
2018-02-17,64
2018-02-18,67
2018-02-19,53
2018-02-20,48
2018-02-21,47
2018-02-22,49
2018-02-23,60
2018-02-24,68
2018-02-25,66
2018-02-26,54
2018-02-27,47
2018-02-28,45
2018-03-01,48
2018-03-02,50
2018-03-03,59
2018-03-04,67
2018-03-05,50
2018-03-06,47
2018-03-07,47
2018-03-08,47
2018-03-09,53
2018-03-10,67
2018-03-11,68
2018-03-12,51
2018-03-13,49
2018-03-14,46
2018-03-15,48
2018-03-16,55
2018-03-17,63
2018-03-18,67
2018-03-19,55
2018-03-20,50
2018-03-21,52
2018-03-22,50
2018-03-23,51
2018-03-24,66
2018-03-25,67
2018-03-26,51
2018-03-27,52
2018-03-28,50
2018-03-29,53
2018-03-30,59
2018-03-31,64
2018-04-01,68
2018-04-02,55
2018-04-03,50
2018-04-04,51
2018-04-05,49
2018-04-06,52
2018-04-07,62
2018-04-08,63
2018-04-09,50
2018-04-10,49
2018-04-11,50
2018-04-12,52
2018-04-13,54
2018-04-14,64
2018-04-15,69
2018-04-16,56
2018-04-17,53
2018-04-18,48
2018-04-19,49
2018-04-20,58
2018-04-21,67
2018-04-22,66
2018-04-23,52
2018-04-24,49
2018-04-25,48
2018-04-26,48
2018-04-27,51
2018-04-28,60
2018-04-29,66
2018-04-30,57
2018-05-01,50
2018-05-02,44
2018-05-03,47
2018-05-04,48
2018-05-05,56
2018-05-06,65
2018-05-07,52
2018-05-08,51
2018-05-09,46
2018-05-10,48
2018-05-11,54
2018-05-12,69
2018-05-13,59
2018-05-14,47
2018-05-15,43
2018-05-16,44
2018-05-17,45
2018-05-18,48
2018-05-19,55
2018-05-20,58
2018-05-21,52
2018-05-22,48
2018-05-23,43
2018-05-24,47
2018-05-25,48
2018-05-26,61
2018-05-27,63
2018-05-28,56
2018-05-29,49
2018-05-30,45
2018-05-31,47
2018-06-01,50
2018-06-02,63
2018-06-03,70
2018-06-04,55
2018-06-05,51
2018-06-06,47
2018-06-07,50
2018-06-08,51
2018-06-09,64
2018-06-10,71
2018-06-11,60
2018-06-12,52
2018-06-13,51
2018-06-14,54
