Category: All categories

Day,songs: (Worldwide)
2017-11-14,59
2017-11-15,61
2017-11-16,60
2017-11-17,66
2017-11-18,75
2017-11-19,77
2017-11-20,59
2017-11-21,64
2017-11-22,61
2017-11-23,62
2017-11-24,62
2017-11-25,73
2017-11-26,77
2017-11-27,59
2017-11-28,59
2017-11-29,60
2017-11-30,63
2017-12-01,67
2017-12-02,79
2017-12-03,76
2017-12-04,60
2017-12-05,61
2017-12-06,63
2017-12-07,64
2017-12-08,64
2017-12-09,76
2017-12-10,77
2017-12-11,62
2017-12-12,63
2017-12-13,63
2017-12-14,65
2017-12-15,67
2017-12-16,80
2017-12-17,77
2017-12-18,62
2017-12-19,68
2017-12-20,71
2017-12-21,73
2017-12-22,76
2017-12-23,89
2017-12-24,99
2017-12-25,100
2017-12-26,76
2017-12-27,68
2017-12-28,67
2017-12-29,67
2017-12-30,79
2017-12-31,91
2018-01-01,77
2018-01-02,58
2018-01-03,58
2018-01-04,58
2018-01-05,60
2018-01-06,71
2018-01-07,70
2018-01-08,56
2018-01-09,57
2018-01-10,59
2018-01-11,61
2018-01-12,64
2018-01-13,74
2018-01-14,75
2018-01-15,61
2018-01-16,58
2018-01-17,57
2018-01-18,61
2018-01-19,66
2018-01-20,77
2018-01-21,75
2018-01-22,55
2018-01-23,58
2018-01-24,57
2018-01-25,61
2018-01-26,66
2018-01-27,71
2018-01-28,74
2018-01-29,58
2018-01-30,61
2018-01-31,58
2018-02-01,58
2018-02-02,64
2018-02-03,68
2018-02-04,73
2018-02-05,57
2018-02-06,57
2018-02-07,58
2018-02-08,61
2018-02-09,64
2018-02-10,72
2018-02-11,75
2018-02-12,60
2018-02-13,67
2018-02-14,61
2018-02-15,62
2018-02-16,62
2018-02-17,77
2018-02-18,74
2018-02-19,58
2018-02-20,57
2018-02-21,55
2018-02-22,56
2018-02-23,66
2018-02-24,74
2018-02-25,70
2018-02-26,55
2018-02-27,57
2018-02-28,55
2018-03-01,62
2018-03-02,66
2018-03-03,74
2018-03-04,74
2018-03-05,55
2018-03-06,57
2018-03-07,56
2018-03-08,57
2018-03-09,63
2018-03-10,78
2018-03-11,74
2018-03-12,59
2018-03-13,57
2018-03-14,58
2018-03-15,62
2018-03-16,65
2018-03-17,78
2018-03-18,74
2018-03-19,61
2018-03-20,61
2018-03-21,62
2018-03-22,64
2018-03-23,65
2018-03-24,77
2018-03-25,76
2018-03-26,60
2018-03-27,60
2018-03-28,62
2018-03-29,71
2018-03-30,74
2018-03-31,73
2018-04-01,79
2018-04-02,65
2018-04-03,59
2018-04-04,57
2018-04-05,60
2018-04-06,63
2018-04-07,70
2018-04-08,73
2018-04-09,55
2018-04-10,59
2018-04-11,59
2018-04-12,58
2018-04-13,64
2018-04-14,71
2018-04-15,71
2018-04-16,57
2018-04-17,58
2018-04-18,57
2018-04-19,62
2018-04-20,65
2018-04-21,77
2018-04-22,75
2018-04-23,61
2018-04-24,56
2018-04-25,59
2018-04-26,61
2018-04-27,66
2018-04-28,69
2018-04-29,69
2018-04-30,60
2018-05-01,63
2018-05-02,57
2018-05-03,59
2018-05-04,61
2018-05-05,69
2018-05-06,73
2018-05-07,58
2018-05-08,58
2018-05-09,59
2018-05-10,61
2018-05-11,62
2018-05-12,76
2018-05-13,65
2018-05-14,57
2018-05-15,57
2018-05-16,56
2018-05-17,58
2018-05-18,59
2018-05-19,64
2018-05-20,68
2018-05-21,59
2018-05-22,57
2018-05-23,57
2018-05-24,62
2018-05-25,61
2018-05-26,71
2018-05-27,70
2018-05-28,58
2018-05-29,58
2018-05-30,60
2018-05-31,62
2018-06-01,62
2018-06-02,71
2018-06-03,70
2018-06-04,57
2018-06-05,57
2018-06-06,56
2018-06-07,58
2018-06-08,64
2018-06-09,75
2018-06-10,71
2018-06-11,56
2018-06-12,57
2018-06-13,59
2018-06-14,59
