Category: All categories

Day,status: (Worldwide)
2017-11-14,76
2017-11-15,77
2017-11-16,76
2017-11-17,77
2017-11-18,80
2017-11-19,71
2017-11-20,75
2017-11-21,74
2017-11-22,77
2017-11-23,72
2017-11-24,73
2017-11-25,77
2017-11-26,78
2017-11-27,76
2017-11-28,77
2017-11-29,70
2017-11-30,80
2017-12-01,79
2017-12-02,75
2017-12-03,75
2017-12-04,70
2017-12-05,77
2017-12-06,75
2017-12-07,81
2017-12-08,79
2017-12-09,80
2017-12-10,79
2017-12-11,78
2017-12-12,74
2017-12-13,78
2017-12-14,78
2017-12-15,78
2017-12-16,81
2017-12-17,74
2017-12-18,78
2017-12-19,80
2017-12-20,82
2017-12-21,87
2017-12-22,92
2017-12-23,95
2017-12-24,87
2017-12-25,92
2017-12-26,86
2017-12-27,86
2017-12-28,86
2017-12-29,86
2017-12-30,91
2017-12-31,95
2018-01-01,88
2018-01-02,88
2018-01-03,95
2018-01-04,93
2018-01-05,88
2018-01-06,87
2018-01-07,85
2018-01-08,81
2018-01-09,82
2018-01-10,75
2018-01-11,78
2018-01-12,83
2018-01-13,83
2018-01-14,73
2018-01-15,73
2018-01-16,75
2018-01-17,82
2018-01-18,82
2018-01-19,81
2018-01-20,83
2018-01-21,76
2018-01-22,75
2018-01-23,79
2018-01-24,82
2018-01-25,84
2018-01-26,78
2018-01-27,80
2018-01-28,88
2018-01-29,80
2018-01-30,81
2018-01-31,77
2018-02-01,78
2018-02-02,84
2018-02-03,80
2018-02-04,80
2018-02-05,83
2018-02-06,85
2018-02-07,89
2018-02-08,92
2018-02-09,95
2018-02-10,90
2018-02-11,88
2018-02-12,92
2018-02-13,90
2018-02-14,90
2018-02-15,91
2018-02-16,99
2018-02-17,100
2018-02-18,89
2018-02-19,96
2018-02-20,97
2018-02-21,93
2018-02-22,93
2018-02-23,90
2018-02-24,88
2018-02-25,78
2018-02-26,86
2018-02-27,88
2018-02-28,89
2018-03-01,95
2018-03-02,90
2018-03-03,85
2018-03-04,83
2018-03-05,82
2018-03-06,80
2018-03-07,81
2018-03-08,82
2018-03-09,87
2018-03-10,84
2018-03-11,80
2018-03-12,78
2018-03-13,80
2018-03-14,81
2018-03-15,80
2018-03-16,84
2018-03-17,79
2018-03-18,76
2018-03-19,75
2018-03-20,82
2018-03-21,85
2018-03-22,82
2018-03-23,79
2018-03-24,82
2018-03-25,77
2018-03-26,76
2018-03-27,80
2018-03-28,83
2018-03-29,87
2018-03-30,86
2018-03-31,86
2018-04-01,78
2018-04-02,83
2018-04-03,79
2018-04-04,77
2018-04-05,79
2018-04-06,84
2018-04-07,81
2018-04-08,72
2018-04-09,77
2018-04-10,78
2018-04-11,78
2018-04-12,86
2018-04-13,84
2018-04-14,82
2018-04-15,80
2018-04-16,81
2018-04-17,78
2018-04-18,78
2018-04-19,80
2018-04-20,80
2018-04-21,87
2018-04-22,79
2018-04-23,81
2018-04-24,80
2018-04-25,78
2018-04-26,81
2018-04-27,89
2018-04-28,90
2018-04-29,78
2018-04-30,80
2018-05-01,82
2018-05-02,77
2018-05-03,77
2018-05-04,78
2018-05-05,83
2018-05-06,78
2018-05-07,77
2018-05-08,77
2018-05-09,80
2018-05-10,81
2018-05-11,79
2018-05-12,86
2018-05-13,90
2018-05-14,78
2018-05-15,83
2018-05-16,79
2018-05-17,78
2018-05-18,77
2018-05-19,81
2018-05-20,78
2018-05-21,82
2018-05-22,80
2018-05-23,77
2018-05-24,82
2018-05-25,82
2018-05-26,86
2018-05-27,75
2018-05-28,76
2018-05-29,74
2018-05-30,77
2018-05-31,82
2018-06-01,84
2018-06-02,85
2018-06-03,76
2018-06-04,76
2018-06-05,77
2018-06-06,74
2018-06-07,76
2018-06-08,82
2018-06-09,87
2018-06-10,80
2018-06-11,78
2018-06-12,80
2018-06-13,80
2018-06-14,80
