Category: All categories

Day,telugu: (Worldwide)
2017-11-14,68
2017-11-15,70
2017-11-16,66
2017-11-17,74
2017-11-18,82
2017-11-19,82
2017-11-20,67
2017-11-21,67
2017-11-22,67
2017-11-23,68
2017-11-24,70
2017-11-25,78
2017-11-26,77
2017-11-27,64
2017-11-28,67
2017-11-29,67
2017-11-30,70
2017-12-01,74
2017-12-02,81
2017-12-03,78
2017-12-04,63
2017-12-05,68
2017-12-06,69
2017-12-07,67
2017-12-08,74
2017-12-09,78
2017-12-10,79
2017-12-11,71
2017-12-12,70
2017-12-13,71
2017-12-14,72
2017-12-15,80
2017-12-16,86
2017-12-17,87
2017-12-18,69
2017-12-19,75
2017-12-20,75
2017-12-21,83
2017-12-22,91
2017-12-23,93
2017-12-24,98
2017-12-25,94
2017-12-26,84
2017-12-27,80
2017-12-28,77
2017-12-29,82
2017-12-30,87
2017-12-31,88
2018-01-01,78
2018-01-02,73
2018-01-03,72
2018-01-04,70
2018-01-05,71
2018-01-06,77
2018-01-07,81
2018-01-08,70
2018-01-09,73
2018-01-10,82
2018-01-11,77
2018-01-12,88
2018-01-13,91
2018-01-14,82
2018-01-15,68
2018-01-16,70
2018-01-17,73
2018-01-18,72
2018-01-19,75
2018-01-20,88
2018-01-21,85
2018-01-22,67
2018-01-23,72
2018-01-24,74
2018-01-25,77
2018-01-26,81
2018-01-27,88
2018-01-28,86
2018-01-29,74
2018-01-30,71
2018-01-31,74
2018-02-01,72
2018-02-02,79
2018-02-03,88
2018-02-04,82
2018-02-05,69
2018-02-06,72
2018-02-07,72
2018-02-08,76
2018-02-09,82
2018-02-10,87
2018-02-11,90
2018-02-12,76
2018-02-13,77
2018-02-14,77
2018-02-15,76
2018-02-16,81
2018-02-17,89
2018-02-18,81
2018-02-19,70
2018-02-20,74
2018-02-21,71
2018-02-22,70
2018-02-23,78
2018-02-24,81
2018-02-25,82
2018-02-26,69
2018-02-27,74
2018-02-28,70
2018-03-01,70
2018-03-02,79
2018-03-03,81
2018-03-04,76
2018-03-05,67
2018-03-06,70
2018-03-07,68
2018-03-08,68
2018-03-09,78
2018-03-10,87
2018-03-11,86
2018-03-12,69
2018-03-13,71
2018-03-14,70
2018-03-15,74
2018-03-16,81
2018-03-17,92
2018-03-18,91
2018-03-19,77
2018-03-20,76
2018-03-21,76
2018-03-22,76
2018-03-23,81
2018-03-24,92
2018-03-25,89
2018-03-26,77
2018-03-27,77
2018-03-28,76
2018-03-29,74
2018-03-30,100
2018-03-31,93
2018-04-01,94
2018-04-02,81
2018-04-03,75
2018-04-04,72
2018-04-05,81
2018-04-06,81
2018-04-07,88
2018-04-08,84
2018-04-09,75
2018-04-10,72
2018-04-11,72
2018-04-12,78
2018-04-13,82
2018-04-14,88
2018-04-15,89
2018-04-16,75
2018-04-17,69
2018-04-18,76
2018-04-19,72
2018-04-20,85
2018-04-21,89
2018-04-22,87
2018-04-23,79
2018-04-24,74
2018-04-25,71
2018-04-26,74
2018-04-27,82
2018-04-28,89
2018-04-29,83
2018-04-30,78
2018-05-01,78
2018-05-02,71
2018-05-03,72
2018-05-04,87
2018-05-05,91
2018-05-06,88
2018-05-07,73
2018-05-08,72
2018-05-09,75
2018-05-10,78
2018-05-11,83
2018-05-12,88
2018-05-13,85
2018-05-14,78
2018-05-15,83
2018-05-16,80
2018-05-17,76
2018-05-18,81
2018-05-19,89
2018-05-20,88
2018-05-21,78
2018-05-22,78
2018-05-23,76
2018-05-24,79
2018-05-25,87
2018-05-26,99
2018-05-27,89
2018-05-28,80
2018-05-29,77
2018-05-30,79
2018-05-31,80
2018-06-01,90
2018-06-02,93
2018-06-03,91
2018-06-04,79
2018-06-05,79
2018-06-06,77
2018-06-07,86
2018-06-08,82
2018-06-09,99
2018-06-10,100
2018-06-11,93
2018-06-12,95
2018-06-13,97
2018-06-14,92
