Category: All categories

Day,the: (Worldwide)
2017-11-14,90
2017-11-15,90
2017-11-16,88
2017-11-17,86
2017-11-18,87
2017-11-19,90
2017-11-20,81
2017-11-21,85
2017-11-22,85
2017-11-23,80
2017-11-24,77
2017-11-25,81
2017-11-26,92
2017-11-27,91
2017-11-28,93
2017-11-29,89
2017-11-30,90
2017-12-01,87
2017-12-02,84
2017-12-03,93
2017-12-04,88
2017-12-05,86
2017-12-06,91
2017-12-07,89
2017-12-08,94
2017-12-09,88
2017-12-10,93
2017-12-11,93
2017-12-12,95
2017-12-13,91
2017-12-14,88
2017-12-15,91
2017-12-16,88
2017-12-17,93
2017-12-18,87
2017-12-19,84
2017-12-20,85
2017-12-21,81
2017-12-22,82
2017-12-23,84
2017-12-24,84
2017-12-25,89
2017-12-26,84
2017-12-27,83
2017-12-28,81
2017-12-29,84
2017-12-30,87
2017-12-31,83
2018-01-01,97
2018-01-02,85
2018-01-03,86
2018-01-04,80
2018-01-05,85
2018-01-06,88
2018-01-07,92
2018-01-08,87
2018-01-09,88
2018-01-10,84
2018-01-11,91
2018-01-12,89
2018-01-13,86
2018-01-14,95
2018-01-15,88
2018-01-16,90
2018-01-17,100
2018-01-18,88
2018-01-19,88
2018-01-20,90
2018-01-21,94
2018-01-22,89
2018-01-23,85
2018-01-24,90
2018-01-25,89
2018-01-26,88
2018-01-27,86
2018-01-28,94
2018-01-29,90
2018-01-30,91
2018-01-31,94
2018-02-01,92
2018-02-02,87
2018-02-03,88
2018-02-04,99
2018-02-05,93
2018-02-06,87
2018-02-07,89
2018-02-08,88
2018-02-09,90
2018-02-10,85
2018-02-11,96
2018-02-12,89
2018-02-13,86
2018-02-14,88
2018-02-15,86
2018-02-16,83
2018-02-17,88
2018-02-18,93
2018-02-19,86
2018-02-20,85
2018-02-21,86
2018-02-22,87
2018-02-23,85
2018-02-24,87
2018-02-25,90
2018-02-26,94
2018-02-27,90
2018-02-28,81
2018-03-01,86
2018-03-02,88
2018-03-03,85
2018-03-04,88
2018-03-05,92
2018-03-06,90
2018-03-07,100
2018-03-08,88
2018-03-09,86
2018-03-10,85
2018-03-11,87
2018-03-12,87
2018-03-13,83
2018-03-14,86
2018-03-15,87
2018-03-16,89
2018-03-17,85
2018-03-18,90
2018-03-19,84
2018-03-20,84
2018-03-21,83
2018-03-22,82
2018-03-23,81
2018-03-24,87
2018-03-25,90
2018-03-26,83
2018-03-27,85
2018-03-28,90
2018-03-29,86
2018-03-30,87
2018-03-31,88
2018-04-01,92
2018-04-02,90
2018-04-03,86
2018-04-04,86
2018-04-05,81
2018-04-06,87
2018-04-07,87
2018-04-08,91
2018-04-09,90
2018-04-10,93
2018-04-11,88
2018-04-12,88
2018-04-13,86
2018-04-14,88
2018-04-15,90
2018-04-16,86
2018-04-17,85
2018-04-18,86
2018-04-19,84
2018-04-20,82
2018-04-21,85
2018-04-22,87
2018-04-23,83
2018-04-24,81
2018-04-25,87
2018-04-26,87
2018-04-27,89
2018-04-28,81
2018-04-29,90
2018-04-30,95
2018-05-01,90
2018-05-02,84
2018-05-03,85
2018-05-04,88
2018-05-05,80
2018-05-06,87
2018-05-07,86
2018-05-08,83
2018-05-09,83
2018-05-10,83
2018-05-11,84
2018-05-12,83
2018-05-13,83
2018-05-14,85
2018-05-15,84
2018-05-16,85
2018-05-17,84
2018-05-18,82
2018-05-19,91
2018-05-20,90
2018-05-21,85
2018-05-22,86
2018-05-23,84
2018-05-24,83
2018-05-25,80
2018-05-26,84
2018-05-27,82
2018-05-28,79
2018-05-29,81
2018-05-30,81
2018-05-31,82
2018-06-01,80
2018-06-02,81
2018-06-03,89
2018-06-04,78
2018-06-05,81
2018-06-06,78
2018-06-07,79
2018-06-08,78
2018-06-09,81
2018-06-10,85
2018-06-11,81
2018-06-12,79
2018-06-13,78
2018-06-14,78
