Category: All categories

Day,today: (Worldwide)
2017-11-14,46
2017-11-15,51
2017-11-16,49
2017-11-17,50
2017-11-18,64
2017-11-19,62
2017-11-20,48
2017-11-21,44
2017-11-22,50
2017-11-23,63
2017-11-24,59
2017-11-25,65
2017-11-26,65
2017-11-27,45
2017-11-28,46
2017-11-29,54
2017-11-30,57
2017-12-01,56
2017-12-02,69
2017-12-03,63
2017-12-04,48
2017-12-05,55
2017-12-06,57
2017-12-07,57
2017-12-08,61
2017-12-09,65
2017-12-10,75
2017-12-11,58
2017-12-12,55
2017-12-13,58
2017-12-14,54
2017-12-15,53
2017-12-16,61
2017-12-17,71
2017-12-18,58
2017-12-19,50
2017-12-20,52
2017-12-21,51
2017-12-22,58
2017-12-23,69
2017-12-24,75
2017-12-25,85
2017-12-26,70
2017-12-27,57
2017-12-28,49
2017-12-29,58
2017-12-30,66
2017-12-31,86
2018-01-01,100
2018-01-02,62
2018-01-03,61
2018-01-04,63
2018-01-05,66
2018-01-06,67
2018-01-07,71
2018-01-08,58
2018-01-09,54
2018-01-10,53
2018-01-11,50
2018-01-12,56
2018-01-13,68
2018-01-14,72
2018-01-15,64
2018-01-16,59
2018-01-17,62
2018-01-18,54
2018-01-19,53
2018-01-20,66
2018-01-21,81
2018-01-22,59
2018-01-23,55
2018-01-24,54
2018-01-25,57
2018-01-26,52
2018-01-27,60
2018-01-28,51
2018-01-29,48
2018-01-30,55
2018-01-31,77
2018-02-01,56
2018-02-02,55
2018-02-03,57
2018-02-04,56
2018-02-05,58
2018-02-06,64
2018-02-07,64
2018-02-08,58
2018-02-09,60
2018-02-10,68
2018-02-11,61
2018-02-12,58
2018-02-13,55
2018-02-14,59
2018-02-15,59
2018-02-16,60
2018-02-17,65
2018-02-18,57
2018-02-19,60
2018-02-20,55
2018-02-21,54
2018-02-22,52
2018-02-23,53
2018-02-24,62
2018-02-25,56
2018-02-26,53
2018-02-27,56
2018-02-28,61
2018-03-01,69
2018-03-02,72
2018-03-03,69
2018-03-04,57
2018-03-05,51
2018-03-06,54
2018-03-07,57
2018-03-08,58
2018-03-09,53
2018-03-10,65
2018-03-11,59
2018-03-12,52
2018-03-13,55
2018-03-14,61
2018-03-15,55
2018-03-16,58
2018-03-17,68
2018-03-18,71
2018-03-19,54
2018-03-20,57
2018-03-21,61
2018-03-22,55
2018-03-23,60
2018-03-24,65
2018-03-25,56
2018-03-26,52
2018-03-27,52
2018-03-28,52
2018-03-29,56
2018-03-30,71
2018-03-31,74
2018-04-01,82
2018-04-02,69
2018-04-03,59
2018-04-04,58
2018-04-05,59
2018-04-06,60
2018-04-07,76
2018-04-08,70
2018-04-09,59
2018-04-10,64
2018-04-11,64
2018-04-12,62
2018-04-13,63
2018-04-14,85
2018-04-15,77
2018-04-16,67
2018-04-17,63
2018-04-18,64
2018-04-19,62
2018-04-20,65
2018-04-21,76
2018-04-22,70
2018-04-23,60
2018-04-24,62
2018-04-25,66
2018-04-26,61
2018-04-27,64
2018-04-28,74
2018-04-29,72
2018-04-30,64
2018-05-01,67
2018-05-02,63
2018-05-03,68
2018-05-04,64
2018-05-05,82
2018-05-06,77
2018-05-07,70
2018-05-08,66
2018-05-09,65
2018-05-10,61
2018-05-11,64
2018-05-12,76
2018-05-13,74
2018-05-14,62
2018-05-15,70
2018-05-16,67
2018-05-17,65
2018-05-18,67
2018-05-19,87
2018-05-20,73
2018-05-21,62
2018-05-22,65
2018-05-23,62
2018-05-24,58
2018-05-25,69
2018-05-26,75
2018-05-27,79
2018-05-28,74
2018-05-29,59
2018-05-30,61
2018-05-31,63
2018-06-01,65
2018-06-02,66
2018-06-03,64
2018-06-04,58
2018-06-05,57
2018-06-06,59
2018-06-07,58
2018-06-08,60
2018-06-09,73
2018-06-10,66
2018-06-11,55
2018-06-12,55
2018-06-13,58
2018-06-14,64
