Category: All categories

Day,tv: (Worldwide)
2017-11-14,57
2017-11-15,58
2017-11-16,56
2017-11-17,59
2017-11-18,81
2017-11-19,83
2017-11-20,62
2017-11-21,60
2017-11-22,61
2017-11-23,68
2017-11-24,77
2017-11-25,82
2017-11-26,88
2017-11-27,66
2017-11-28,61
2017-11-29,56
2017-11-30,55
2017-12-01,61
2017-12-02,75
2017-12-03,77
2017-12-04,57
2017-12-05,58
2017-12-06,61
2017-12-07,57
2017-12-08,61
2017-12-09,74
2017-12-10,82
2017-12-11,59
2017-12-12,61
2017-12-13,62
2017-12-14,54
2017-12-15,59
2017-12-16,72
2017-12-17,83
2017-12-18,65
2017-12-19,59
2017-12-20,59
2017-12-21,60
2017-12-22,63
2017-12-23,82
2017-12-24,81
2017-12-25,92
2017-12-26,86
2017-12-27,76
2017-12-28,71
2017-12-29,71
2017-12-30,79
2017-12-31,77
2018-01-01,100
2018-01-02,72
2018-01-03,66
2018-01-04,66
2018-01-05,65
2018-01-06,78
2018-01-07,83
2018-01-08,64
2018-01-09,61
2018-01-10,59
2018-01-11,59
2018-01-12,61
2018-01-13,72
2018-01-14,80
2018-01-15,66
2018-01-16,60
2018-01-17,60
2018-01-18,60
2018-01-19,60
2018-01-20,77
2018-01-21,82
2018-01-22,60
2018-01-23,63
2018-01-24,61
2018-01-25,61
2018-01-26,61
2018-01-27,80
2018-01-28,83
2018-01-29,62
2018-01-30,61
2018-01-31,58
2018-02-01,58
2018-02-02,59
2018-02-03,76
2018-02-04,83
2018-02-05,64
2018-02-06,59
2018-02-07,59
2018-02-08,58
2018-02-09,62
2018-02-10,79
2018-02-11,84
2018-02-12,65
2018-02-13,64
2018-02-14,66
2018-02-15,60
2018-02-16,60
2018-02-17,76
2018-02-18,77
2018-02-19,61
2018-02-20,62
2018-02-21,55
2018-02-22,58
2018-02-23,60
2018-02-24,72
2018-02-25,83
2018-02-26,59
2018-02-27,59
2018-02-28,58
2018-03-01,59
2018-03-02,59
2018-03-03,74
2018-03-04,79
2018-03-05,60
2018-03-06,64
2018-03-07,61
2018-03-08,59
2018-03-09,56
2018-03-10,72
2018-03-11,78
2018-03-12,57
2018-03-13,57
2018-03-14,63
2018-03-15,59
2018-03-16,59
2018-03-17,75
2018-03-18,81
2018-03-19,55
2018-03-20,57
2018-03-21,59
2018-03-22,55
2018-03-23,64
2018-03-24,74
2018-03-25,75
2018-03-26,60
2018-03-27,62
2018-03-28,57
2018-03-29,60
2018-03-30,67
2018-03-31,76
2018-04-01,80
2018-04-02,71
2018-04-03,64
2018-04-04,61
2018-04-05,57
2018-04-06,57
2018-04-07,76
2018-04-08,80
2018-04-09,59
2018-04-10,59
2018-04-11,58
2018-04-12,53
2018-04-13,55
2018-04-14,69
2018-04-15,77
2018-04-16,56
2018-04-17,55
2018-04-18,53
2018-04-19,51
2018-04-20,53
2018-04-21,65
2018-04-22,73
2018-04-23,57
2018-04-24,55
2018-04-25,57
2018-04-26,51
2018-04-27,53
2018-04-28,64
2018-04-29,70
2018-04-30,57
2018-05-01,65
2018-05-02,54
2018-05-03,54
2018-05-04,54
2018-05-05,62
2018-05-06,76
2018-05-07,50
2018-05-08,54
2018-05-09,53
2018-05-10,56
2018-05-11,54
2018-05-12,68
2018-05-13,75
2018-05-14,57
2018-05-15,64
2018-05-16,58
2018-05-17,58
2018-05-18,54
2018-05-19,75
2018-05-20,70
2018-05-21,60
2018-05-22,52
2018-05-23,54
2018-05-24,54
2018-05-25,58
2018-05-26,77
2018-05-27,73
2018-05-28,63
2018-05-29,58
2018-05-30,57
2018-05-31,57
2018-06-01,57
2018-06-02,70
2018-06-03,76
2018-06-04,58
2018-06-05,56
2018-06-06,53
2018-06-07,54
2018-06-08,55
2018-06-09,67
2018-06-10,76
2018-06-11,57
2018-06-12,58
2018-06-13,58
2018-06-14,80
