Category: All categories

Day,viral: (Worldwide)
2017-11-14,44
2017-11-15,46
2017-11-16,46
2017-11-17,41
2017-11-18,41
2017-11-19,38
2017-11-20,37
2017-11-21,36
2017-11-22,40
2017-11-23,33
2017-11-24,34
2017-11-25,37
2017-11-26,35
2017-11-27,37
2017-11-28,38
2017-11-29,39
2017-11-30,37
2017-12-01,37
2017-12-02,32
2017-12-03,34
2017-12-04,36
2017-12-05,36
2017-12-06,37
2017-12-07,38
2017-12-08,39
2017-12-09,36
2017-12-10,33
2017-12-11,42
2017-12-12,44
2017-12-13,42
2017-12-14,45
2017-12-15,41
2017-12-16,44
2017-12-17,38
2017-12-18,39
2017-12-19,36
2017-12-20,40
2017-12-21,40
2017-12-22,40
2017-12-23,39
2017-12-24,37
2017-12-25,34
2017-12-26,35
2017-12-27,43
2017-12-28,45
2017-12-29,39
2017-12-30,62
2017-12-31,52
2018-01-01,48
2018-01-02,47
2018-01-03,59
2018-01-04,66
2018-01-05,84
2018-01-06,100
2018-01-07,84
2018-01-08,85
2018-01-09,76
2018-01-10,64
2018-01-11,62
2018-01-12,61
2018-01-13,59
2018-01-14,55
2018-01-15,55
2018-01-16,52
2018-01-17,48
2018-01-18,55
2018-01-19,50
2018-01-20,50
2018-01-21,40
2018-01-22,44
2018-01-23,47
2018-01-24,51
2018-01-25,52
2018-01-26,48
2018-01-27,45
2018-01-28,41
2018-01-29,48
2018-01-30,49
2018-01-31,47
2018-02-01,44
2018-02-02,41
2018-02-03,40
2018-02-04,44
2018-02-05,45
2018-02-06,48
2018-02-07,48
2018-02-08,48
2018-02-09,42
2018-02-10,41
2018-02-11,44
2018-02-12,60
2018-02-13,54
2018-02-14,53
2018-02-15,52
2018-02-16,48
2018-02-17,48
2018-02-18,44
2018-02-19,47
2018-02-20,61
2018-02-21,68
2018-02-22,68
2018-02-23,59
2018-02-24,53
2018-02-25,46
2018-02-26,47
2018-02-27,47
2018-02-28,48
2018-03-01,47
2018-03-02,43
2018-03-03,44
2018-03-04,39
2018-03-05,40
2018-03-06,42
2018-03-07,42
2018-03-08,45
2018-03-09,46
2018-03-10,44
2018-03-11,44
2018-03-12,48
2018-03-13,47
2018-03-14,48
2018-03-15,46
2018-03-16,46
2018-03-17,44
2018-03-18,42
2018-03-19,43
2018-03-20,47
2018-03-21,49
2018-03-22,49
2018-03-23,44
2018-03-24,41
2018-03-25,40
2018-03-26,45
2018-03-27,44
2018-03-28,48
2018-03-29,45
2018-03-30,40
2018-03-31,39
2018-04-01,37
2018-04-02,43
2018-04-03,48
2018-04-04,47
2018-04-05,53
2018-04-06,47
2018-04-07,47
2018-04-08,41
2018-04-09,43
2018-04-10,46
2018-04-11,45
2018-04-12,43
2018-04-13,42
2018-04-14,39
2018-04-15,39
2018-04-16,43
2018-04-17,45
2018-04-18,49
2018-04-19,43
2018-04-20,41
2018-04-21,42
2018-04-22,39
2018-04-23,45
2018-04-24,43
2018-04-25,43
2018-04-26,43
2018-04-27,44
2018-04-28,47
2018-04-29,40
2018-04-30,49
2018-05-01,44
2018-05-02,40
2018-05-03,45
2018-05-04,42
2018-05-05,42
2018-05-06,42
2018-05-07,40
2018-05-08,41
2018-05-09,42
2018-05-10,42
2018-05-11,40
2018-05-12,40
2018-05-13,38
2018-05-14,42
2018-05-15,35
2018-05-16,37
2018-05-17,39
2018-05-18,47
2018-05-19,39
2018-05-20,37
2018-05-21,40
2018-05-22,42
2018-05-23,41
2018-05-24,43
2018-05-25,37
2018-05-26,40
2018-05-27,38
2018-05-28,38
2018-05-29,41
2018-05-30,42
2018-05-31,43
2018-06-01,41
2018-06-02,39
2018-06-03,40
2018-06-04,38
2018-06-05,43
2018-06-06,45
2018-06-07,43
2018-06-08,45
2018-06-09,43
2018-06-10,43
2018-06-11,43
2018-06-12,42
2018-06-13,47
2018-06-14,42
