Category: All categories

Day,with: (Worldwide)
2017-11-14,97
2017-11-15,94
2017-11-16,94
2017-11-17,91
2017-11-18,93
2017-11-19,100
2017-11-20,95
2017-11-21,95
2017-11-22,97
2017-11-23,88
2017-11-24,84
2017-11-25,91
2017-11-26,96
2017-11-27,94
2017-11-28,93
2017-11-29,96
2017-11-30,96
2017-12-01,93
2017-12-02,94
2017-12-03,94
2017-12-04,91
2017-12-05,95
2017-12-06,96
2017-12-07,91
2017-12-08,94
2017-12-09,92
2017-12-10,91
2017-12-11,91
2017-12-12,95
2017-12-13,95
2017-12-14,93
2017-12-15,90
2017-12-16,89
2017-12-17,94
2017-12-18,89
2017-12-19,89
2017-12-20,89
2017-12-21,93
2017-12-22,90
2017-12-23,88
2017-12-24,94
2017-12-25,89
2017-12-26,90
2017-12-27,91
2017-12-28,91
2017-12-29,92
2017-12-30,96
2017-12-31,94
2018-01-01,92
2018-01-02,90
2018-01-03,94
2018-01-04,89
2018-01-05,87
2018-01-06,96
2018-01-07,96
2018-01-08,87
2018-01-09,91
2018-01-10,92
2018-01-11,99
2018-01-12,91
2018-01-13,90
2018-01-14,95
2018-01-15,89
2018-01-16,90
2018-01-17,92
2018-01-18,95
2018-01-19,94
2018-01-20,92
2018-01-21,95
2018-01-22,94
2018-01-23,95
2018-01-24,92
2018-01-25,88
2018-01-26,89
2018-01-27,89
2018-01-28,98
2018-01-29,91
2018-01-30,92
2018-01-31,93
2018-02-01,93
2018-02-02,91
2018-02-03,91
2018-02-04,93
2018-02-05,89
2018-02-06,92
2018-02-07,92
2018-02-08,94
2018-02-09,92
2018-02-10,91
2018-02-11,96
2018-02-12,93
2018-02-13,94
2018-02-14,90
2018-02-15,89
2018-02-16,88
2018-02-17,93
2018-02-18,94
2018-02-19,96
2018-02-20,95
2018-02-21,95
2018-02-22,91
2018-02-23,94
2018-02-24,94
2018-02-25,89
2018-02-26,92
2018-02-27,96
2018-02-28,87
2018-03-01,91
2018-03-02,83
2018-03-03,93
2018-03-04,88
2018-03-05,90
2018-03-06,94
2018-03-07,91
2018-03-08,92
2018-03-09,91
2018-03-10,88
2018-03-11,93
2018-03-12,91
2018-03-13,87
2018-03-14,90
2018-03-15,88
2018-03-16,89
2018-03-17,87
2018-03-18,88
2018-03-19,94
2018-03-20,89
2018-03-21,91
2018-03-22,88
2018-03-23,84
2018-03-24,90
2018-03-25,95
2018-03-26,92
2018-03-27,93
2018-03-28,95
2018-03-29,91
2018-03-30,93
2018-03-31,89
2018-04-01,91
2018-04-02,93
2018-04-03,92
2018-04-04,90
2018-04-05,89
2018-04-06,87
2018-04-07,93
2018-04-08,90
2018-04-09,96
2018-04-10,92
2018-04-11,91
2018-04-12,90
2018-04-13,92
2018-04-14,90
2018-04-15,95
2018-04-16,91
2018-04-17,92
2018-04-18,92
2018-04-19,87
2018-04-20,89
2018-04-21,85
2018-04-22,90
2018-04-23,90
2018-04-24,89
2018-04-25,91
2018-04-26,91
2018-04-27,86
2018-04-28,85
2018-04-29,92
2018-04-30,91
2018-05-01,93
2018-05-02,90
2018-05-03,90
2018-05-04,92
2018-05-05,90
2018-05-06,93
2018-05-07,91
2018-05-08,89
2018-05-09,90
2018-05-10,89
2018-05-11,84
2018-05-12,83
2018-05-13,85
2018-05-14,87
2018-05-15,89
2018-05-16,90
2018-05-17,89
2018-05-18,82
2018-05-19,81
2018-05-20,89
2018-05-21,86
2018-05-22,93
2018-05-23,89
2018-05-24,89
2018-05-25,84
2018-05-26,83
2018-05-27,87
2018-05-28,83
2018-05-29,87
2018-05-30,90
2018-05-31,90
2018-06-01,86
2018-06-02,90
2018-06-03,90
2018-06-04,88
2018-06-05,89
2018-06-06,86
2018-06-07,84
2018-06-08,85
2018-06-09,88
2018-06-10,90
2018-06-11,88
2018-06-12,91
2018-06-13,94
2018-06-14,86
